_rank|_name|_score|_link|head|emotion|color shade|eye|clothing|house of|texture|unique|class|name|backdrop|mouth
269|BitToonDAO #63|257.3130987493713|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/63|Viking Hat|None|Morning Galaxie|3D Goggles|T-Shirt|Tiger|Metal||||Oxygen Tank|Pacifier
270|BitToonDAO #327|257.12577361936013|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/327|Farmer Hat|None|Autumn Lillie|None|Oriental Uniform|Bubble|Plastic||||BitToon Flag|None
271|BitToonDAO #428|256.8595562051649|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/428|Farmer Hat|None|Flamingo Zirconie|None|Leather Jacket|Bull|Ceramic||||Butterfly Wings|None
272|BitToonDAO #221|256.7106738707875|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/221|None|None|Morning Galaxie|Bozo Glasses|Leather Jacket|Bear|Plastic||||Guitar|None
273|BitToonDAO #587|256.7065428736864|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/587|Hat|None|Silver Lavandie|Cyclops|T-Shirt|Bull|Metal||||BitToon Flag|Pipe
274|BitToonDAO #260|256.6845280105283|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/260|Robinhood Hat|None|Elegant Goldie|Cyclops|T-Shirt|Government|Plastic||||Skateboard|None
275|BitToonDAO #86|256.488465844137|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/86|Chubby Unicorn|Blushy|Ocean Canarie|None|T-Shirt|Dreamer|Plastic||||Guitar|Pipe
276|BitToonDAO #208|256.4632507359899|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/208|Frog Head|None|Christmas Leafie|None|Count|Seed|Plastic||||Backpack|None
277|BitToonDAO #591|256.26676633630444|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/591|Crown|Sleepy|Emerald Jettie|3D Goggles|T-Shirt|Blockchain|Plastic||||Skateboard|None
278|BitToonDAO #361|256.08683435664204|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/361|Undercut|None|Elegant Goldie|3D Goggles|T-Shirt|Bank|Plastic||||Skateboard|Cigar
279|BitToonDAO #119|255.86136113931707|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/119|Lovelove Headband|None|Allpeach Varitie|None|None|Believer|Ceramic||||Butterfly Wings|Pipe
280|BitToonDAO #100|255.61380530650388|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/100|Reindeer Hoodie|None|Aurora Mistie|None|Superstar Sweater|Officer|Plastic||||RPG|None
