_rank|📈|_name|_score|_link|backdrop|clothing|color shade|emotion|eye|head|house of|mouth|name|texture|unique
1|🟡|Java|3643.883720930233|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/1103|||||||Bot||Java||The Bot
2|🔵|Saylor|3639.520833333333|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/509|||||||Giant||Saylor||The Giant
3|🔴-2|Mark|3638.7551020408164|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/521|||||||Dreamer||Mark||The Dreamer
4|🔴-1|Penny|3634.745454545455|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/76|||||||Coin||Penny||The Coin
5|🟡|Genbu|3633.051724137931|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/1067|||||||Turtle||Genbu||The Turtle
6|🔴-2|BitToonDAO #701|1955.815564783633|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/701|Warrior|Warrior|Cosmic Lovie|None|Warrior|Warrior|Pirate|Warrior||Metal|
7|🟢+2|BitToonDAO #16|1923.1754336387971|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/16|Devil Wings|Count|Silver Lavandie|None|Cyclops|Santa Hat|Seed|None||Fur|
8|🔴-2|BitToonDAO #998|1922.4303433553341|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/998|Warrior|Warrior|Elegant Goldie|None|Warrior|Warrior|Vampire|Warrior||Plastic|
9|🔴-2|BitToonDAO #294|1920.675445923932|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/294|Warrior|Warrior|Emerald Jettie|None|Warrior|Warrior|Market|Warrior||Plastic|
10|🔴-2|BitToonDAO #97|1920.3713253287685|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/97|Warrior|Warrior|Dusty Cyanie|None|Warrior|Warrior|Giant|Warrior||Plastic|
11|🔴-1|BitToonDAO #997|1895.1141850364334|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/997|Guitar|T-Shirt|Sunset Rubie|None|3D Goggles||Angel|Crow Beak||Plastic|
12|🔴-1|BitToonDAO #564|1878.9156419802282|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/564|Skateboard|T-Shirt|Elegant Goldie|None|Cyclops|Safety Helmet|Chef|None||Plastic|
13|🟡|BitToonDAO #1341|464.61960590082015|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/1341|Double Chups|Graduation Gown|Sunset Rubie|None|None|Witch Hat|Government|None||Wood|
14|🔴-9|BitToonDAO #414|464.16890520011947|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/414|Double Chups|Graduation Gown|Sunset Rubie|None|None|Chubby Unicorn|Cypher|None||Wood|
15|🟢+3|BitToonDAO #703|451.1534755248751|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/703|None|Leather Jacket|Sunset Rubie|None|Sunglasses|Hat|Cypher|Moustache&Pipe||Plastic|
16|🟢+3|BitToonDAO #627|445.77754397383677|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/627|None|Leather Jacket|Dusty Cyanie|None|Sunglasses|Hat|Market|Moustache&Pipe||Plastic|
17|🟢+6|BitToonDAO #232|431.69322441062224|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/232|Double Chups|Leather Jacket|Black Matterie|None|Sunglasses|Hat|Market|Moustache&Pipe||Plastic|
18|🟢+7|BitToonDAO #210|429.63626511293296|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/210|Backpack|Leather Jacket|Morning Galaxie|None|Sunglasses|Hat|Angel|Moustache&Pipe||Metal|
19|🟢+5|BitToonDAO #319|429.1481857958767|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/319|Guitar|Leather Jacket|Sunset Rubie|None|Sunglasses|Hat|Queen|Moustache&Pipe||Plastic|
20|🟢+6|BitToonDAO #310|423.8725790861534|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/310|Double Chups|Leather Jacket|Elegant Goldie|None|Sunglasses|Hat|Officer|Moustache&Pipe||Plastic|
21|🟢+7|BitToonDAO #213|421.9525534591018|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/213|Devil Wings|Leather Jacket|Scalet Bluie|None|Sunglasses|Hat|King|Moustache&Pipe||Plastic|
22|🟢+9|BitToonDAO #25|421.18751823422645|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/25|Double Chups|Leather Jacket|Flamingo Zirconie|None|Sunglasses|Hat|Bear|Moustache&Pipe||Plastic|
23|🟢+6|BitToonDAO #553|419.6740766837045|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/553|RPG|Leather Jacket|Morning Galaxie|None|Sunglasses|Hat|Market|Moustache&Pipe||Plastic|
24|🟢+8|BitToonDAO #0|419.63789313026405|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/0|Skateboard|Leather Jacket|Sunset Rubie|None|Sunglasses|Hat|Dragon|Moustache&Pipe||Plastic|
25|🟢+5|BitToonDAO #790|417.57637256575646|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/790|Devil Wings|Leather Jacket|Dusty Cyanie|None|Sunglasses|Hat|Knight|Moustache&Pipe||Plastic|
26|🟡|BitToonDAO #1317|393.8152646743478|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/1317|Double Chups|None|Sunset Rubie|None|None|Pumpkin Head|Government|None||Wood|
27|🟡|BitToonDAO #1474|385.23907419815737|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/1474|Double Chups|None|Sunset Rubie|None|None|Lovelove Headband|Dreamer|None||Wood|
