_rank|📈|_name|_score|_link|backdrop|class|clothing|color shade|emotion|eye|head|house of|mouth|name|texture|unique
231|🔴-105|BitToonDAO #29|164.47057608978574|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/29|Oxygen Tank||T-Shirt|Elegant Goldie|None|3D Goggles|Hat|Government|Cigar||Plastic|
232|🟢+370|BitToonDAO #735|164.24760507214367|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/735|BitToon Flag||Leather Jacket|Sunset Rubie|None|None|Devil Horns|Gold|Leather Mask||Jelly Bowl|
233|🟢+369|BitToonDAO #995|164.1228885089644|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/995|Racket||Peony Shirt|Dusty Cyanie|None|None|Cat Earphones|Turtle|None||Plastic|
234|🟢+368|BitToonDAO #771|164.0241835453238|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/771|Devil Wings||T-Shirt|Flamingo Zirconie|None|Goggles|Cat Earphones|Bubble|Crow Beak||Jelly Bowl|
235|🔴-142|BitToonDAO #144|163.86314538058195|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/144|Warrior||Kid's Overalls|Sunset Rubie|None|None|Viking Hat|King|None||Jelly Bowl|
236|🔴-27|BitToonDAO #583|163.39993850006397|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/583|RPG||Kid's Overalls|Ocean Canarie|Angry|None|Chubby Unicorn|Bank|None||Plastic|
237|🔴-165|BitToonDAO #317|163.20096613542944|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/317|Oxygen Tank||T-Shirt|Dusty Cyanie|None|3D Goggles|Afrohair|Miner|Moustache||Plastic|
238|🔴-122|BitToonDAO #124|163.17991061314441|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/124|Guitar||Kid's Overalls|Allpeach Varitie|None|Snorkeling Goggles|Viking Hat|Prophet|None||Jelly Bowl|
239|🔴-175|BitToonDAO #7|162.48594005234588|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/7|Angel Wings||Kid's Overalls|Dusty Cyanie|None|None|Chubby Unicorn|Prophet|Leather Mask||Clay Dough|
240|🟢+362|BitToonDAO #770|162.2787342105164|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/770|Double Chups||Count|Forest Pinkie|None|None|Witch Hat|Giant|Bandage||Plastic|
241|🔴-120|BitToonDAO #535|162.27598449771028|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/535|Oxygen Tank||Oriental Uniform|Black Matterie|None|Eyeglasses|Tengu Mask|Cash|None||Clay Dough|
242|🟢+360|BitToonDAO #705|162.25707320016733|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/705|Double Chups||T-Shirt|Billiard Whitie|None|3D Goggles|Afrohair|Turtle|Duckie||Ceramic|
243|🔴-139|BitToonDAO #419|162.21095214764236|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/419|Skateboard||Kid's Overalls|Sunset Rubie|None|Thug Life|Viking Hat|Seed|None||Jelly Bowl|
244|🟢+358|BitToonDAO #964|162.17044352914414|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/964|Devil Wings||T-Shirt|Black Matterie|None|Cyclops|Crown|Knight|Rainbow||Plastic|
245|🔴-76|BitToonDAO #148|161.73629133688232|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/148|Backpack||Gradient Shirt|Elegant Goldie|None|Eyeglasses|Tribal Hat|Queen|Duckie||Plastic|
246|🔴-107|BitToonDAO #405|161.68562794563312|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/405|Angel Wings||Superstar Sweater|Forest Pinkie|None|Eye Pad|Pirate Hat|Farmer|None||Plastic|
247|🟢+355|BitToonDAO #974|161.465441548565|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/974|RPG||Peony Shirt|Flamingo Zirconie|None|Confused Glasses|Witch Hat|Angel|Crow Beak||Plastic|
248|🔴-168|BitToonDAO #272|161.26496863971548|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/272|Skateboard||T-Shirt|Sunset Rubie|None|3D Goggles|Afrohair|Chef|Crow Beak||Plastic|
249|🟢+353|BitToonDAO #855|161.0840341886787|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/855|Butterfly Wings||Count|Autumn Lillie|Sleepy|None|Reindeer Hoodie|Knight|None||Plastic|
250|🔴-98|BitToonDAO #360|160.96191964482628|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/360|Double Chups||Count|Scalet Bluie|None|None|Chubby Unicorn|Empress|Bandage||Plastic|
251|🟢+351|BitToonDAO #963|160.0723509779451|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/963|Devil Wings||T-Shirt|Billiard Whitie|None|3D Goggles|Afrohair|Prophet|Duckie||Ceramic|
252|🔴-72|BitToonDAO #491|159.68767493974187|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/491|Skateboard||None|Scalet Bluie|None|Eyeglasses|Santa Hat|Miner|Lollipop||Mummy|
253|🟢+349|BitToonDAO #856|159.3120231065862|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/856|Skateboard||Oriental Uniform|Autumn Lillie|None|Cyclops|Tengu Mask|Demon|None||Clay Dough|
254|🔴-68|BitToonDAO #385|159.25528135737594|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/385|Oxygen Tank||Gradient Shirt|Scalet Bluie|None|Eyeglasses|Tribal Hat|Empress|Duckie||Plastic|
255|🔴-17|BitToonDAO #1|159.02335386756354|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/1|Double Chups||T-Shirt|Elegant Goldie|None|3D Goggles|Santa Hat|Chef|Cigar||Plastic|
256|🔴-139|BitToonDAO #292|158.98585996232381|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/292|Guitar||Kid's Overalls|Forest Pinkie|None|Thug Life|Hat|Seed|None||Jelly Bowl|
257|🟢+345|BitToonDAO #625|158.71563616363153|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/625|BitToon Flag||Graduation Gown|Forest Pinkie|None|Eyeglasses|Witch Hat|Coin|None||Ceramic|
258|🔴-85|BitToonDAO #584|158.59227794959187|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/584|Guitar||T-Shirt|Elegant Goldie|None|Bozo Glasses|Devil Horns|Believer|None||Jelly Bowl|
259|🔴-28|BitToonDAO #411|158.42612186443364|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/411|Guitar||T-Shirt|Elegant Goldie|None|3D Goggles|Viking Hat|Chef|Cigar||Plastic|
260|🟢+342|BitToonDAO #606|158.23735143965652|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/606|Skateboard||Kid's Overalls|Dusty Cyanie|None|Thug Life|Crown|Vampire|None||Jelly Bowl|
261|🟢+341|BitToonDAO #838|158.10529232508787|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/838|Double Chups||T-Shirt|Silver Lavandie|None|3D Goggles|Afrohair|King|Pipe||Metal|
262|🔴-127|BitToonDAO #112|157.70709283601093|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/112|Warrior||Leather Jacket|Emerald Jettie|None|None|Crown|Cash|Pipe||Jelly Bowl|
263|🔴-118|BitToonDAO #200|157.68573299577855|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/200|Backpack||Oriental Uniform|Morning Galaxie|None|None|Tengu Mask|Cash|Crow Beak||Clay Dough|
264|🟢+338|BitToonDAO #658|157.60348801074326|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/658|BitToon Flag||Oriental Uniform|Sunset Rubie|None|None|Crown|Dreamer|Cigar||Clay Dough|
265|🔴-106|BitToonDAO #226|157.5375706145598|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/226|Guitar||Leather Jacket|Christmas Leafie|None|Eye Pad|Pirate Hat|Cash|Pacifier||Plastic|
266|🟢+336|BitToonDAO #839|156.99666070665228|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/839|Wooden Staff||Superstar Sweater|Dusty Cyanie|None|None|Chubby Unicorn|Cash|Leather Mask||Plastic|
267|🔴-103|BitToonDAO #392|156.5911316453413|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/392|Double Chups||T-Shirt|Elegant Goldie|None|3D Goggles|Hat|Vampire|Cigar||Plastic|
268|🟢+334|BitToonDAO #840|156.30785016785535|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/840|Double Chups||Superstar Sweater|Cosmic Lovie|None|Eye Pad|Pirate Hat|Phoenix|None||Plastic|
269|🔴-63|BitToonDAO #154|156.2849044453341|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/154|Guitar||Oriental Uniform|Cosmic Lovie|None|None|Crown|Chef|Moustache||Clay Dough|
270|🔴-57|BitToonDAO #482|156.24357586358596|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/482|Devil Wings||Graduation Gown|Sunset Rubie|None|None|Chubby Unicorn|Queen|None||Clay Dough|
271|🟢+331|BitToonDAO #646|156.09989608250345|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/646|Racket||Kid's Overalls|Ocean Canarie|None|None|Undercut|Phoenix|None||Plastic|
272|🔴-56|BitToonDAO #160|156.07555391489487|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/160|BitToon Flag||Graduation Gown|Forest Pinkie|None|Eyeglasses|Chubby Unicorn|Blockchain|None||Ceramic|
273|🟢+329|BitToonDAO #814|155.8614778064388|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/814|Devil Wings||Leather Jacket|Black Matterie|None|None|Chef Hat|Prophet|Duckie||Jelly Bowl|
274|🔴-111|BitToonDAO #524|155.7306812911491|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/524|Skateboard||T-Shirt|Elegant Goldie|None|Goggles|Hat|Cypher|Crow Beak||Jelly Bowl|
275|🔴-109|BitToonDAO #318|155.62090343157394|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/318|Double Chups||T-Shirt|Cosmic Lovie|None|Bozo Glasses|Santa Hat|Bear|None||Jelly Bowl|
276|🟢+326|BitToonDAO #630|155.54974598423507|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/630|Double Chups||T-Shirt|Emerald Jettie|Sleepy|3D Goggles|Hat|Officer|None||Plastic|
277|🔴-48|BitToonDAO #559|155.20914710698835|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/559|Butterfly Wings||None|Sunset Rubie|Blushy|None|Pumpkin Head|Turtle|None||Plastic|
278|🔴-82|BitToonDAO #560|155.16367278224456|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/560|Backpack||None|Scalet Bluie|None|Eyeglasses|Santa Hat|Bear|Lollipop||Mummy|
279|🟢+323|BitToonDAO #677|155.0217049909805|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/677|Angel Wings||Leather Jacket|Morning Galaxie|None|None|Chubby Unicorn|Angel|Leather Mask||Ceramic|
280|🔴-86|BitToonDAO #173|154.88559527237265|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/173|Skateboard||T-Shirt|Elegant Goldie|None|3D Goggles|Viking Hat|Market|Cigar||Plastic|
281|🔴-111|BitToonDAO #394|154.760723950727|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/394|Oxygen Tank||None|Morning Galaxie|None|Cyclops|Robinhood Hat|Queen|Pacifier||Mummy|
282|🔴-7|BitToonDAO #86|154.42781734569635|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/86|Guitar||T-Shirt|Ocean Canarie|Blushy|None|Chubby Unicorn|Dreamer|Pipe||Plastic|
283|🔴-83|BitToonDAO #344|154.23024116516797|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/344|Skateboard||T-Shirt|Sunset Rubie|None|Bozo Glasses|Devil Horns|Blockchain|None||Jelly Bowl|
284|🟢+318|BitToonDAO #924|154.05802899103736|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/924|Butterfly Wings||Superstar Sweater|Christmas Leafie|None|None|Chubby Unicorn|Dragon|Lollipop||Plastic|
285|🟢+317|BitToonDAO #813|153.66141477529635|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/813|BitToon Flag||Kid's Overalls|Sunset Rubie|None|Snorkeling Goggles|Viking Hat|Vampire|None||Jelly Bowl|
286|🔴-161|BitToonDAO #526|153.57218727796513|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/526|Double Chups||Superstar Sweater|Elegant Goldie|None|None|None|Bubble|Lollipop||Plastic|
287|🟢+315|BitToonDAO #986|153.4722799561432|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/986|Skateboard||Oriental Uniform|Morning Galaxie|None|None|Tengu Mask|Blockchain|Crow Beak||Clay Dough|
288|🔴-183|BitToonDAO #546|153.08295878319524|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/546|Oxygen Tank||Kid's Overalls|Scalet Bluie|None|Thug Life|Undercut|Virus|None||Jelly Bowl|
289|🟢+313|BitToonDAO #999|152.84795434969854|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/999|RPG||Leather Jacket|Forest Pinkie|None|None|Crown|Government|Leather Mask||Jelly Bowl|
290|🔴-147|BitToonDAO #505|152.8337973000398|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/505|Double Chups||T-Shirt|Emerald Jettie|None|Goggles|Crown|Virus|Crow Beak||Jelly Bowl|
291|🟢+311|BitToonDAO #823|152.75390028145725|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/823|Butterfly Wings||Count|Flamingo Zirconie|Sleepy|None|Farmer Hat|Bubble|None||Plastic|
292|🔴-165|BitToonDAO #326|152.7189170152474|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/326|Wooden Staff||None|Cosmic Lovie|None|None|Chubby Unicorn|Media|None||Metal|
293|🔴-125|BitToonDAO #577|152.45818118028842|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/577|BitToon Flag||Oriental Uniform|Morning Galaxie|None|None|Tengu Mask|Gold|Crow Beak||Clay Dough|
294|🟢+308|BitToonDAO #614|152.40155393720778|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/614|Oxygen Tank||Count|Scalet Bluie|Sleepy|None|Frog Head|Believer|None||Plastic|
295|🔴-104|BitToonDAO #90|152.22811447785273|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/90|Double Chups||Gradient Shirt|Sunset Rubie|None|Eyeglasses|Tribal Hat|Bubble|Duckie||Plastic|
296|🔴-115|BitToonDAO #41|152.07798853084302|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/41|Devil Wings||None|Dusty Cyanie|None|Eyeglasses|Robinhood Hat|Miner|Moustache||Mummy|
297|🔴-100|BitToonDAO #8|151.33840797990365|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/8|Double Chups||T-Shirt|Elegant Goldie|None|Cyclops|Bunny Ears|Farmer|None||Plastic|
298|🟢+304|BitToonDAO #834|151.02921902001233|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/834|Devil Wings||Kid's Overalls|Morning Galaxie|None|Thug Life|Undercut|Prophet|None||Jelly Bowl|
299|🔴-196|BitToonDAO #248|150.9314964609919|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/248|Double Chups||Peony Shirt|Scalet Bluie|None|Bozo Glasses|None|Vampire|None||Plastic|
300|🟢+302|BitToonDAO #868|150.90936720791024|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/868|Skateboard||Leather Jacket|Elegant Goldie|None|None|Hat|Pirate|Bandage||Jelly Bowl|
301|🔴-125|BitToonDAO #233|150.8256525326167|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/233|Guitar||T-Shirt|Flamingo Zirconie|None|Eyeglasses|Chef Hat|Empress|None||Jelly Bowl|
302|🟢+300|BitToonDAO #615|150.80312912884935|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/615|Guitar||Oriental Uniform|Morning Galaxie|None|None|Tengu Mask|Market|Crow Beak||Clay Dough|
303|🟢+299|BitToonDAO #678|150.66608042107288|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/678|BitToon Flag||Fur Coat|Dusty Cyanie|None|None|Cat Earphones|King|None||Plastic|
304|🟢+298|BitToonDAO #676|150.56486611440442|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/676|Devil Wings||Leather Jacket|Emerald Jettie|None|None|Santa Hat|Dreamer|Leather Mask||Jelly Bowl|
305|🔴-63|BitToonDAO #443|150.5441279810584|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/443|Butterfly Wings||None|Sunset Rubie|Blushy|None|Lovelove Headband|Coin|None||Plastic|
306|🟢+296|BitToonDAO #741|150.14351271252397|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/741|Skateboard||Oriental Uniform|Sunset Rubie|None|None|Crown|Angel|Cigar||Clay Dough|
307|🟢+295|BitToonDAO #934|149.94358076786162|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/934|BitToon Flag||Count|Sunset Rubie|None|None|Afrohair|Media|None||Plastic|
308|🟢+294|BitToonDAO #885|149.57759508359578|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/885|Butterfly Wings||Superstar Sweater|Christmas Leafie|None|None|Farmer Hat|Vampire|None||Plastic|
309|🟢+293|BitToonDAO #766|149.18468198305843|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/766|Oxygen Tank||None|Elegant Goldie|None|None|Pompadour|Queen|None||Plastic|
310|🔴-95|BitToonDAO #264|148.5231268030247|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/264|Devil Wings||Graduation Gown|Sunset Rubie|None|None|Witch Hat|Turtle|None||Clay Dough|
311|🔴-178|BitToonDAO #67|148.1774404101807|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/67|Skateboard||Kid's Overalls|Elegant Goldie|None|Snorkeling Goggles|Hat|Bull|None||Jelly Bowl|
312|🟢+290|BitToonDAO #617|148.1581587120177|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/617|Devil Wings||Superstar Sweater|Emerald Jettie|None|Bozo Glasses|None|Dragon|None||Plastic|
313|🔴-165|BitToonDAO #595|148.1434365057051|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/595|Skateboard||Leather Jacket|Morning Galaxie|None|None|Undercut|King|Bandage||Jelly Bowl|
314|🔴-140|BitToonDAO #284|148.11432565351677|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/284|BitToon Flag||Count|Christmas Leafie|None|Eye Pad|Pirate Hat|Dragon|None||Plastic|
315|🟢+287|BitToonDAO #672|148.04527028091027|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/672|BitToon Flag||T-Shirt|Emerald Jettie|Sleepy|3D Goggles|Santa Hat|Coin|None||Plastic|
316|🔴-68|BitToonDAO #20|147.9583447259017|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/20|Butterfly Wings||Count|Flamingo Zirconie|Sleepy|None|Pumpkin Head|Bank|None||Plastic|
317|🟢+285|BitToonDAO #903|147.9240291248962|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/903|Skateboard||Count|Sunset Rubie|None|None|None|Officer|Lollipop||Plastic|
318|🔴-62|BitToonDAO #40|147.85841293164634|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/40|Skateboard||Gradient Shirt|Sunset Rubie|None|Eyeglasses|Tribal Hat|Dreamer|Duckie||Plastic|
319|🔴-154|BitToonDAO #500|147.56406733360265|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/500|Angel Wings||Oriental Uniform|Emerald Jettie|None|Eye Pad|Pirate Hat|Virus|None||Plastic|
320|🟢+282|BitToonDAO #832|147.5320395280402|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/832|Butterfly Wings||Superstar Sweater|Christmas Leafie|None|None|Pumpkin Head|Chef|None||Plastic|
321|🔴-100|BitToonDAO #457|147.47866422624176|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/457|Devil Wings||Oriental Uniform|Cosmic Lovie|None|None|Crown|Bear|Moustache||Clay Dough|
322|🔴-191|BitToonDAO #370|146.99860140694562|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/370|Guitar||Leather Jacket|Flamingo Zirconie|None|None|Chef Hat|Media|Duckie||Jelly Bowl|
323|🟢+279|BitToonDAO #886|146.98347009276867|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/886|Guitar||T-Shirt|Forest Pinkie|None|None|Pompadour|Tiger|None||Plastic|
324|🟢+278|BitToonDAO #602|146.66191964482627|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/602|Double Chups||Count|Scalet Bluie|None|None|Chubby Unicorn|Knight|Bandage||Plastic|
325|🔴-75|BitToonDAO #363|146.63451300932468|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/363|RPG||T-Shirt|Emerald Jettie|Sleepy|3D Goggles|Tribal Hat|Demon|None||Plastic|
326|🔴-116|BitToonDAO #286|146.56872859235682|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/286|Angel Wings||Peony Shirt|Flamingo Zirconie|None|Eye Pad|Pirate Hat|Demon|None||Plastic|
327|🟢+275|BitToonDAO #679|146.48212740341245|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/679|Devil Wings||None|Black Matterie|None|Cyclops|Crown|Chef|Pacifier||Mummy|
328|🔴-179|BitToonDAO #190|146.47320644871863|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/190|RPG||Count|Sunset Rubie|None|Bozo Glasses|Frog Head|Bot|None||Plastic|
329|🟢+273|BitToonDAO #744|146.35233893854092|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/744|RPG||Peony Shirt|Cosmic Lovie|None|Eye Pad|Pirate Hat|Virus|None||Plastic|
330|🟢+272|BitToonDAO #804|146.1371413077288|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/804|BitToon Flag||Peony Shirt|Cosmic Lovie|None|None|Farmer Hat|Bull|None||Metal|
331|🔴-175|BitToonDAO #557|146.10440950018736|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/557|Backpack||Superstar Sweater|Elegant Goldie|None|None|None|Dragon|Lollipop||Plastic|
332|🔴-148|BitToonDAO #2|145.81584904993517|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/2|Skateboard||Gradient Shirt|Elegant Goldie|None|Eyeglasses|Tribal Hat|King|Duckie||Plastic|
333|🔴-135|BitToonDAO #422|145.78940198012467|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/422|Backpack||Oriental Uniform|Emerald Jettie|None|None|Crown|Market|Lollipop||Clay Dough|
334|🟢+268|BitToonDAO #897|145.73641151918608|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/897|Oxygen Tank||Peony Shirt|Aurora Mistie|None|Eye Pad|Pirate Hat|Media|None||Plastic|
335|🔴-83|BitToonDAO #161|145.39851268085204|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/161|Wooden Staff||Kid's Overalls|Dusty Cyanie|None|None|Reindeer Hoodie|Empress|None||Clay Dough|
336|🟢+266|BitToonDAO #825|145.36074103512905|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/825|Skateboard||None|Sunset Rubie|None|Eyeglasses|Robinhood Hat|Virus|Crow Beak||Mummy|
337|🔴-133|BitToonDAO #195|145.25264057557882|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/195|Guitar||None|Black Matterie|None|Eyeglasses|Santa Hat|Virus|Duckie||Mummy|
338|🟢+264|BitToonDAO #916|145.06758486588882|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/916|Guitar||Graduation Gown|Sunset Rubie|None|Cyclops|Witch Hat|Turtle|None||Metal|
339|🟢+263|BitToonDAO #982|144.6047997139497|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/982|Guitar||Leather Jacket|Elegant Goldie|None|None|Tribal Hat|Virus|Bandage||Jelly Bowl|
