_rank|📈|_name|_score|_link|backdrop|class|clothing|color shade|emotion|eye|head|house of|mouth|name|texture|unique
24|🟢+2|BitToonDAO #319|281.08463618642094|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/319|Guitar||Leather Jacket|Sunset Rubie|None|Sunglasses|Hat|Queen|Moustache&Pipe||Plastic|
25|🔴-2|BitToonDAO #210|279.3940579564712|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/210|Backpack||Leather Jacket|Morning Galaxie|None|Sunglasses|Hat|Angel|Moustache&Pipe||Metal|
26|🔴-2|BitToonDAO #310|277.4390728263582|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/310|Double Chups||Leather Jacket|Elegant Goldie|None|Sunglasses|Hat|Officer|Moustache&Pipe||Plastic|
27|🔴-10|BitToonDAO #597|276.7902582644525|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/597|RPG||None|Morning Galaxie|None|None|Football Helmet|Bank|Rainbow||Mummy|
28|🔴-8|BitToonDAO #213|272.3705628468518|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/213|Devil Wings||Leather Jacket|Scalet Bluie|None|Sunglasses|Hat|King|Moustache&Pipe||Plastic|
29|🔵|BitToonDAO #553|272.3480730836689|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/553|RPG||Leather Jacket|Morning Galaxie|None|Sunglasses|Hat|Market|Moustache&Pipe||Plastic|
30|🟢+572|BitToonDAO #790|269.72867339831765|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/790|Devil Wings||Leather Jacket|Dusty Cyanie|None|Sunglasses|Hat|Knight|Moustache&Pipe||Plastic|
31|🟢+3|BitToonDAO #25|267.31241057136356|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/25|Double Chups||Leather Jacket|Flamingo Zirconie|None|Sunglasses|Hat|Bear|Moustache&Pipe||Plastic|
32|🔵|BitToonDAO #0|266.05934256927037|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/0|Skateboard||Leather Jacket|Sunset Rubie|None|Sunglasses|Hat|Dragon|Moustache&Pipe||Plastic|
33|🔴-20|BitToonDAO #188|265.5778698976029|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/188|RPG||Fur Coat|Morning Galaxie|None|Snorkeling Goggles|Bunny Ears|Government|None||Jelly Bowl|
