_rank|📈|_name|_score|_link|backdrop|clothing|color shade|emotion|eye|head|house of|mouth|name|texture|unique
1738|🔴-3|BitToonDAO #2033|106.3934077671962|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/2033|Skateboard|Count|Sunset Rubie|None|None|Cat Earphones|Bubble|None||Plastic|
1739|🔴-3|BitToonDAO #946|106.36794060942259|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/946|Oxygen Tank|Oriental Uniform|Elegant Goldie|None|None|Frog Head|Prophet|None||Jelly Bowl|
1740|🔴-3|BitToonDAO #1291|106.3537666967859|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/1291|Double Chups|None|Cosmic Lovie|None|None|Reindeer Hoodie|Seed|None||Plastic|
1741|🔴-35|BitToonDAO #1404|106.35077323289508|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/1404|RPG|Leather Jacket|Dusty Cyanie|None|None|Cat Earphones|Gold|Leather Mask||Jelly Bowl|
1742|🔴-4|BitToonDAO #481|106.34535477272269|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/481|Guitar|None|Sunset Rubie|None|Cyclops|Lovelove Headband|Angel|None||Metal|
1743|🔴-4|BitToonDAO #1504|106.33951653435759|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/1504|Skateboard|Peony Shirt|Dusty Cyanie|None|None|Pompadour|Bear|None||Plastic|
1744|🔴-3|BitToonDAO #1418|106.26736178304277|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/1418|BitToon Flag|Kid's Overalls|Elegant Goldie|None|None|Pompadour|Officer|None||Plastic|
1745|🔴-18|BitToonDAO #1973|106.26660407320804|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/1973|Guitar|T-Shirt|Autumn Lillie|None|Eyeglasses|Witch Hat|Queen|None||Plastic|
1746|🔴-4|BitToonDAO #618|106.2417757227542|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/618|Skateboard|Leather Jacket|Elegant Goldie|None|None|Cat Earphones|Cash|None||Ceramic|
1747|🔴-37|BitToonDAO #1287|106.24144243792283|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/1287|Skateboard|Kid's Overalls|Ocean Canarie|None|None|Pompadour|Bank|None||Plastic|
1748|🔴-5|BitToonDAO #783|106.24116244483575|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/783|Guitar|Count|Ocean Canarie|None|None|Reindeer Hoodie|King|None||Plastic|
1749|🔴-4|BitToonDAO #789|106.20239316659415|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/789|Guitar|T-Shirt|Elegant Goldie|None|Cyclops|Robinhood Hat|Cash|None||Plastic|
1750|🔴-4|BitToonDAO #1279|106.20091634232729|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/1279|BitToon Flag|Kid's Overalls|Ocean Canarie|None|Eye Pad|Pirate Hat|Media|None||Plastic|
1751|🔴-4|BitToonDAO #1361|106.19489513853499|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/1361|Double Chups|T-Shirt|Forest Pinkie|None|None|Farmer Hat|Empress|Pipe||Plastic|
1752|🔴-28|BitToonDAO #433|106.14661193045814|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/433|Butterfly Wings|None|Silver Lavandie|None|None|Farmer Hat|Dragon|None||Metal|
1753|🔴-4|BitToonDAO #1903|106.12729282767967|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/1903|Guitar|Kid's Overalls|Flamingo Zirconie|None|None|None|Virus|Lollipop||Plastic|
