_rank|📈|_name|_score|_link|backdrop|clothing|color shade|emotion|eye|head|house of|mouth|name|texture|unique
1|🔵|Java|4250.290909090909|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/1103|||||||Bot||Java||The Bot
2|🔵|Saylor|4248.9473684210525|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/509|||||||Giant||Saylor||The Giant
3|🔵|Mark|4247.6949152542375|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/521|||||||Dreamer||Mark||The Dreamer
4|🔵|Penny|4245.967741935484|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/76|||||||Coin||Penny||The Coin
5|🔵|Genbu|4241.661971830986|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/1067|||||||Turtle||Genbu||The Turtle
6|🟢+1|BitToonDAO #16|2236.3507043694726|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/16|Devil Wings|Count|Silver Lavandie|None|Cyclops|Santa Hat|Seed|None||Fur|
7|🟢+4|BitToonDAO #997|2200.931793092649|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/997|Guitar|T-Shirt|Sunset Rubie|None|3D Goggles||Angel|Crow Beak||Plastic|
8|🟢+4|BitToonDAO #564|2188.064490627224|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/564|Skateboard|T-Shirt|Elegant Goldie|None|Cyclops|Safety Helmet|Chef|None||Plastic|
9|🔴-3|BitToonDAO #701|1829.9820276497696|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/701|Warrior|Warrior|Cosmic Lovie|None|Warrior|Warrior|Pirate|Warrior||Metal|
10|🔴-2|BitToonDAO #998|1798.6650973167195|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/998|Warrior|Warrior|Elegant Goldie|None|Warrior|Warrior|Vampire|Warrior||Plastic|
11|🔴-2|BitToonDAO #294|1796.326684179562|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/294|Warrior|Warrior|Emerald Jettie|None|Warrior|Warrior|Market|Warrior||Plastic|
