rank|📈|name|score|link|background|body|clothes|eyewear|head|mouth
134|🔴-5|Nerd Ape Dao #664|160.48608781668705|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/664|Pink|White|Silverchain|Red Beam|Blue cap|Burger
135|🟢+3|Nerd Ape Dao #347|160.3846434453476|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/347|Blue|Gold|Brown jacket|Dizzy|Red bob|Pipe
136|🟢+3|Nerd Ape Dao #428|160.32935866311544|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/428|Blue|Robot|Black suit|Dizzy|Gold crown|Pipe
137|🔵|Nerd Ape Dao #401|160.28396743084198|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/401|Blue|Red|Banana hawaii|Eyepatch|Propeller cap|Close
138|🟢+3|Nerd Ape Dao #601|160.13903019844497|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/601|Red|Pink|Pink hoodie|Square|Gold crown|420
139|🟢+5|Nerd Ape Dao #224|159.96351859385163|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/224|Green mint|Gray|Dark blue suit|Angry|Gold crown|Candy
140|🔴-6|Nerd Ape Dao #1204|159.92449392712552|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/1204|Pink|Pink|Lab|Close|Newsboy cap|Pipe
141|🔴-6|Nerd Ape Dao #258|159.79439883832214|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/258|Beige|Light brown|Lab|Glasses|Cowboy hat|Sneaky
142|🟢+1|Nerd Ape Dao #362|159.72602307713905|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/362|Red|Gray|Brown jacket|Glasses|Rasta hat|Tongue_out
143|🟢+2|Nerd Ape Dao #876|159.6872892676223|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/876|Green mint|Gray|Black jacket|Demon|Gold crown|Mouchet
144|🔴-4|Nerd Ape Dao #632|159.60009175390323|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/632|Red|Cream|Red singlet|Solar_beam|White bucket hat|Close
145|🔴-3|Nerd Ape Dao #1071|159.59415919092564|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/1071|Green mint|Lav|Black turtleneck|3D|Black top hat|Tongue_out
146|🔵|Nerd Ape Dao #457|159.35729707568242|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/457|Beige|White|Black suit|Round Glasses|Gold crown|Sneaky
147|🟢+2|Nerd Ape Dao #675|159.01589695031635|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/675|Blue|Black|Black suit|Fasion|Gold crown|Grillz
148|🔴-1|Nerd Ape Dao #925|158.89361653293312|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/925|Red|Dark brown|Black turtleneck|Eyepatch|Pink bucket|Gum
149|🟢+1|Nerd Ape Dao #1195|158.58953934799615|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/1195|Red|Black|Banana hawaii|Black Nerd|Red bob|Cigarette
150|🟢+2|Nerd Ape Dao #889|158.3661655374206|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/889|Light purple|Pink|Black turtleneck|Gold|Blue cap|Open
151|🟢+3|Nerd Ape Dao #1169|158.32285088304207|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/1169|Red|Light brown|Black suit|Faded|Gold crown|Open
152|🔴-4|Nerd Ape Dao #377|158.20948871833775|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/377|Light purple|Pink|None|Half Robot|Cowboy hat|Smile
153|🔵|Nerd Ape Dao #571|157.71860837575124|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/571|Yellow|Light brown|White singlet|Rainbow|Fastfood|Candy
154|🔴-3|Nerd Ape Dao #1079|157.65203818836508|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/1079|Pink|Black|Lab|Cyberpunk|Rasta hat|Smile
155|🟢+2|Nerd Ape Dao #666|156.94641975011157|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/666|Blue|Zombie|Brown jacket|Wide_eyes|Rose headscarf|Gum
156|🟢+3|Nerd Ape Dao #334|156.90092992958327|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/334|Pink|Gold|Sheriff|Angry|Red bob|Tongue_out
157|🔴-2|Nerd Ape Dao #726|156.85319063136788|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/726|Light purple|Tiger|Adventure|Rainbow|Adventure hat|Gum
158|🔴-2|Nerd Ape Dao #746|156.66999547987163|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/746|Blue|Tiger|Adventure|Rainbow|Rose headscarf|Cigar
159|🟢+2|Nerd Ape Dao #597|156.46210194949273|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/597|Beige|Gold|Red singlet|Red Cat|None|Mouchet
160|🔵|Nerd Ape Dao #905|156.34882559130176|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/905|Green mint|Black|Brown jacket|ETH|Pink bucket|Open
161|🔴-3|Nerd Ape Dao #901|156.2478304790044|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/901|Yellow|Cream|Black turtleneck|White Round|Apple|Gold Grillz
162|🔵|Nerd Ape Dao #1359|156.0163060394529|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/1359|Yellow|Cream|Tech jacket|Oval|None|Cigarette
163|🟢+3|Nerd Ape Dao #1068|155.45080501184944|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/1068|Green mint|Black|Judo|ETH|Blue headscarf|Gold Grillz
164|🔵|Nerd Ape Dao #385|155.3994280718864|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/385|Yellow|Cream|Purple hoodie|Solar_beam|Rose headscarf|Tongue_out
165|🟢+3|Nerd Ape Dao #879|155.11071290758866|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/879|Beige|Pink|Brown coat|ETH|Apple|Gum
166|🟢+7|Nerd Ape Dao #1385|155.0768691301328|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/1385|Red|Lav|Pirate|Round Glasses|Demon horns|Gold Grillz
167|🔴-4|Nerd Ape Dao #1369|154.87875626761286|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/1369|Yellow|Cream|Lab|Square|Newsboy cap|420
168|🟢+6|Nerd Ape Dao #27|154.7446507355828|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/27|Pink|Lav|Tech jacket|White Round|Pirate hat|Close
169|🟢+2|Nerd Ape Dao #858|154.56272044612405|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/858|Blue|Dark brown|Rasta hawaii|Glasses|Gold crown|420
170|🔴-5|Nerd Ape Dao #1327|154.550824218986|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/1327|Pink|Black|Lab|Black Nerd|Newsboy cap|Pipe
171|🔴-1|Nerd Ape Dao #1133|154.54725089454206|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/1133|Green mint|Robot|Flower Hawaii|Red|Gold hair|Sneaky
172|🔴-5|Nerd Ape Dao #316|154.52947609665875|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/316|Beige|Pink|Black turtleneck|Fasion|Blue headscarf|420
173|🔴-4|Nerd Ape Dao #527|154.39953100868672|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/527|Blue|White|Black turtleneck|Red Cat|Biker helmet|Gum
174|🟢+2|Nerd Ape Dao #204|154.1533725662124|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/204|Beige|Water|Judo|Eyepatch|Red bob|Sneaky
175|🟢+2|Nerd Ape Dao #672|154.0139923764239|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/672|Light purple|Gold|Flower Hawaii|ETH|Pink beanie|Pipe
176|🟢+2|Nerd Ape Dao #1212|153.7870863502109|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/1212|Yellow|Red|Tech jacket|Red|Propeller cap|Grin
177|🟢+4|Nerd Ape Dao #1194|153.52102787832527|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/1194|Pink|Lav|Pink hoodie|Shy|Red bob|Cigar
178|🔴-3|Nerd Ape Dao #471|153.43869128116745|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/471|Green mint|Black|White singlet|Rainbow|Newsboy cap|Candy
179|🟢+3|Nerd Ape Dao #3|153.40372786051157|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/3|Blue|Gray|Judo|Round Glasses|Rasta hat|Gold Grillz
180|🔴-8|Nerd Ape Dao #645|153.37381924300652|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/645|Red|Dark brown|Lab|Dizzy|Black top hat|Cigar
181|🔴-1|Nerd Ape Dao #397|153.16274331620403|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/397|Green mint|Gold|Brown jacket|Oneeye|Apple|Mouchet
182|🟢+6|Nerd Ape Dao #815|152.76367168021682|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/815|Light purple|Zombie|Black suit|Hearteye|Fastfood|Open
183|🟢+8|Nerd Ape Dao #821|152.66891144825294|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/821|Red|Water|Blue vest|ETH|Pirate hat|Close
184|🔵|Nerd Ape Dao #162|152.61380876162212|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/162|Light purple|Cream|Pink hoodie|Oneeye|Gold crown|Smile
185|🔴-6|Nerd Ape Dao #1030|152.5590166199001|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/1030|Red|Black|Lab|Dizzy|Newsboy cap|Smile
186|🔴-3|Nerd Ape Dao #729|152.52935730016998|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/729|Green mint|White|Purple hoodie|Solar_beam|White bucket hat|Cigar
187|🔵|Nerd Ape Dao #388|152.51751934544473|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/388|Red|Zombie|Brown coat|Red|Blue cap|Candy
188|🟢+2|Nerd Ape Dao #1245|152.17546676947723|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/1245|Light purple|Water|Brown jacket|Oneeye|Rose headscarf|Pipe
189|🟢+3|Nerd Ape Dao #1287|152.03384194060087|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/1287|Yellow|Pink|Brown jacket|Wide_eyes|Demon horns|Sneaky
190|🟢+5|Nerd Ape Dao #378|152.01102873336256|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/378|Beige|Gray|Brown vest|Red|Cowboy hat|Burger
191|🔴-6|Nerd Ape Dao #54|151.99392359470184|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/54|Green mint|Light brown|Banana hawaii|Gold|Adventure hat|Burger
