rank|name|score|link|class|outfit|eyewear|skin|headwear|special
1|BullMoon #13|1184.9775280898875|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/13|common|magenta spacesuit|sci-fi 3|metallic black|peach hair|spacesuit helmet 
2|BullMoon #8|1054.5295280898874|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/8|common|woven sweater|night wing mask|metallic cyan|robin hood hat|-
2|BullMoon #9|1054.5295280898874|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/9|common|business shirt 1|sci-fi 2|red|safety helmet|-
4|BullMoon #1|1009.6441947565543|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/1|common|black woven sweater|sci-fi 1|purple|xmas|unicorn locket
5|BullMoon #6|951.1997503121099|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/6|common|soccer jersey|classic glasses|blue|wizard hat|soccer ball
6|BullMoon #3|923.0295280898877|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/3|common|silver leather jacket|carnival mask 1|metallic blue|steampunk vintage hat|-
6|BullMoon #7|923.0295280898877|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/7|common|leather jacket|fancy mask 1|green|fin helmet|-
6|BullMoon #12|923.0295280898877|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/12|common|baseball jacket|star fancy glasses|metallic purple|green hair|-
6|BullMoon #19|923.0295280898877|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/19|common|black leather jacket|hero mask|metallic green|tweed flat cap|-
10|BullMoon #99|888.6212121212122|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/99|rare|clown suit|laser safety|pink|lavender hair|clown locket
11|BullMoon #10|800.9545454545455|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/10|rare|clown suit|ok glasses|green|jester hat|clown locket
12|BullMoon #4|791.5295280898877|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/4|common|scotch shirt|hero mask|basil|black hair|-
12|BullMoon #20|791.5295280898877|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/20|common|silver hoodie|carnival mask 1|orange|fisherman hat|-
14|BullMoon #14|747.6961947565543|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/14|common|hoodie|sci-fi 1|pale dark green|jester hat|-
15|BullMoon #15|703.862861423221|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/15|common|iron suit|laser safety glasses|pink|spiked biker helmet|-
16|BullMoon #5|660.0295280898877|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/5|common|mountain jacket|star fancy glasses|metallic lavender|fisherman hat|-
16|BullMoon #17|660.0295280898877|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/17|common|tanktop 1|sci-fi 3|egg|magenta hair|-
18|BullMoon #16|632.9267676767677|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/16|rare|full business suit|classic glasses|silver|leather hat|dollar earring
19|BullMoon #2|616.1961947565543|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/2|common|tanktop 1|laser safety glasses|egg|cap 1|-
19|BullMoon #11|616.1961947565543|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/11|common|mountain jacket|laser safety glasses|black|army cap|-
19|BullMoon #18|616.1961947565543|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/18|common|scotch shirt|sci-fi 1|purple|small horn helmet|-
22|BullMoon #133|407.4981962481962|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/133|rare|business suit|classic glasses|peach|leather hat|dollar earring
22|BullMoon #142|407.4981962481962|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/142|rare|business suit|classic glasses|cyan|leather hat|dollar earring
22|BullMoon #155|407.4981962481962|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/155|rare|business suit|classic glasses|white|leather hat|dollar earring
22|BullMoon #156|407.4981962481962|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/156|rare|business suit|classic glasses|rose|leather hat|dollar earring
26|BullMoon #115|275.9981962481962|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/115|rare|business suit|classic glasses|blue|leather hat|dollar earring
26|BullMoon #119|275.9981962481962|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/119|rare|business suit|classic glasses|black|leather hat|dollar earring
28|BullMoon #105|232.1648629148629|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/105|rare|business suit|classic glasses|pink|leather hat|dollar earring
29|BullMoon #0|21.925015873015873|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/0|unknown|-|-|-|-|-
29|BullMoon #201|21.925015873015873|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/201|unknown|-|-|-|-|-
29|BullMoon #202|21.925015873015873|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/202|unknown|-|-|-|-|-
29|BullMoon #203|21.925015873015873|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/203|unknown|-|-|-|-|-
29|BullMoon #204|21.925015873015873|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/204|unknown|-|-|-|-|-
29|BullMoon #205|21.925015873015873|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/205|unknown|-|-|-|-|-
29|BullMoon #206|21.925015873015873|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/206|unknown|-|-|-|-|-
29|BullMoon #207|21.925015873015873|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/207|unknown|-|-|-|-|-
29|BullMoon #208|21.925015873015873|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/208|unknown|-|-|-|-|-
29|BullMoon #209|21.925015873015873|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/209|unknown|-|-|-|-|-
29|BullMoon #210|21.925015873015873|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/210|unknown|-|-|-|-|-
29|BullMoon #211|21.925015873015873|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/211|unknown|-|-|-|-|-
29|BullMoon #212|21.925015873015873|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/212|unknown|-|-|-|-|-
29|BullMoon #213|21.925015873015873|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/213|unknown|-|-|-|-|-
29|BullMoon #214|21.925015873015873|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/214|unknown|-|-|-|-|-
29|BullMoon #215|21.925015873015873|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/215|unknown|-|-|-|-|-
29|BullMoon #216|21.925015873015873|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/216|unknown|-|-|-|-|-
29|BullMoon #217|21.925015873015873|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/217|unknown|-|-|-|-|-
29|BullMoon #218|21.925015873015873|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/218|unknown|-|-|-|-|-
29|BullMoon #219|21.925015873015873|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/219|unknown|-|-|-|-|-
