rank|name|score|link|class|outfit|eyewear|skin|headwear|special
1|BullMoon #263|1661.0|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/263|superrare|golden armor set|golden armor set|red|golden armor set|golden armor set
2|BullMoon #13|1360.3245614035088|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/13|common|magenta spacesuit|sci-fi 3|metallic black|peach hair|spacesuit helmet 
3|BullMoon #174|1317.549019607843|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/174|rare|armored escort set|armored escort set|blue|armored escort set|armored escort set
4|BullMoon #8|1210.380505459453|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/8|common|woven sweater|night wing mask|metallic cyan|robin hood hat|-
5|BullMoon #1|1158.9912280701756|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/1|common|black woven sweater|sci-fi 1|purple|xmas|unicorn locket
6|BullMoon #3|1059.380505459453|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/3|common|silver leather jacket|carnival mask 1|metallic blue|steampunk vintage hat|-
6|BullMoon #7|1059.380505459453|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/7|common|leather jacket|fancy mask 1|green|fin helmet|-
6|BullMoon #9|1059.380505459453|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/9|common|business shirt 1|sci-fi 2|red|safety helmet|-
6|BullMoon #12|1059.380505459453|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/12|common|baseball jacket|star fancy glasses|metallic purple|green hair|-
6|BullMoon #19|1059.380505459453|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/19|common|black leather jacket|hero mask|metallic green|tweed flat cap|-
11|BullMoon #6|1038.1912280701754|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/6|common|soccer jersey|classic glasses|blue|wizard hat|soccer ball
12|BullMoon #99|1015.5490196078431|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/99|rare|clown suit|laser safety|pink|lavender hair|clown locket
13|BullMoon #10|914.8823529411765|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/10|rare|clown suit|ok glasses|green|jester hat|clown locket
14|BullMoon #4|908.3805054594529|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/4|common|scotch shirt|hero mask|basil|black hair|-
14|BullMoon #20|908.3805054594529|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/20|common|silver hoodie|carnival mask 1|orange|fisherman hat|-
16|BullMoon #14|858.0471721261196|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/14|common|hoodie|sci-fi 1|pale dark green|jester hat|-
