rank|name|score|link|class|outfit|eyewear|skin|headwear|special
1|BullMoon #263|1527.3333333333335|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/263|superrare|golden armor set|golden armor set|red|golden armor set|golden armor set
1|BullMoon #302|1527.3333333333335|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/302|superrare|black armor set|black armor set|red|black armor set|black armor set
3|BullMoon #13|1423.2153846153847|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/13|common|magenta spacesuit|sci-fi 3|metallic black|peach hair|spacesuit helmet 
4|BullMoon #174|1377.2333333333333|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/174|rare|armored escort set|armored escort set|blue|armored escort set|armored escort set
5|BullMoon #8|1266.2722408026757|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/8|common|woven sweater|night wing mask|metallic cyan|robin hood hat|-
6|BullMoon #1|1212.548717948718|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/1|common|black woven sweater|sci-fi 1|purple|xmas|unicorn locket
7|BullMoon #3|1108.2722408026757|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/3|common|silver leather jacket|carnival mask 1|metallic blue|steampunk vintage hat|-
7|BullMoon #7|1108.2722408026757|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/7|common|leather jacket|fancy mask 1|green|fin helmet|-
7|BullMoon #12|1108.2722408026757|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/12|common|baseball jacket|star fancy glasses|metallic purple|green hair|-
7|BullMoon #19|1108.2722408026757|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/19|common|black leather jacket|hero mask|metallic green|tweed flat cap|-
11|BullMoon #6|1086.148717948718|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/6|common|soccer jersey|classic glasses|blue|wizard hat|soccer ball
