rank|name|score|link|class|outfit|eyewear|skin|headwear|special
1|BullMoon #10|1215.5|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/10|rare|clown suit|ok glasses|green|jester hat|clown locket
2|BullMoon #1|1120.7857142857142|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/1|common|black woven sweater|sci-fi 1|purple|xmas|unicorn locket
2|BullMoon #6|1120.7857142857142|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/6|common|soccer jersey|classic glasses|blue|wizard hat|soccer ball
2|BullMoon #13|1120.7857142857142|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/13|common|magenta spacesuit|sci-fi 3|metallic black|peach hair|spacesuit helmet 
5|BullMoon #3|900.8041474654377|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/3|common|silver leather jacket|carnival mask 1|metallic blue|steampunk vintage hat|-
5|BullMoon #4|900.8041474654377|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/4|common|scotch shirt|hero mask|basil|black hair|-
5|BullMoon #8|900.8041474654377|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/8|common|woven sweater|night wing mask|metallic cyan|robin hood hat|-
5|BullMoon #9|900.8041474654377|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/9|common|business shirt 1|sci-fi 2|red|safety helmet|-
9|BullMoon #2|790.3041474654377|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/2|common|tanktop 1|laser safety glasses|egg|cap 1|-
9|BullMoon #7|790.3041474654377|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/7|common|leather jacket|fancy mask 1|green|fin helmet|-
9|BullMoon #12|790.3041474654377|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/12|common|baseball jacket|star fancy glasses|metallic purple|green hair|-
12|BullMoon #5|679.8041474654377|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/5|common|mountain jacket|star fancy glasses|metallic lavender|fisherman hat|-
12|BullMoon #11|679.8041474654377|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/11|common|mountain jacket|laser safety glasses|black|army cap|-
14|BullMoon #97|21.054147465437786|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/97|common|-|-|-|-|-
14|BullMoon #98|21.054147465437786|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/98|common|-|-|-|-|-
16|BullMoon #0|6.3412487137040845|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/0|unknown|-|-|-|-|-
16|BullMoon #14|6.3412487137040845|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/14|unknown|-|-|-|-|-
16|BullMoon #15|6.3412487137040845|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/15|unknown|-|-|-|-|-
16|BullMoon #16|6.3412487137040845|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/16|unknown|-|-|-|-|-
16|BullMoon #17|6.3412487137040845|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/17|unknown|-|-|-|-|-
16|BullMoon #18|6.3412487137040845|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/18|unknown|-|-|-|-|-
16|BullMoon #19|6.3412487137040845|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/19|unknown|-|-|-|-|-
16|BullMoon #20|6.3412487137040845|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/20|unknown|-|-|-|-|-
16|BullMoon #21|6.3412487137040845|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/21|unknown|-|-|-|-|-
