rank|name|score|link|Background|Mask|Eye|Mouth|Head|Holo Suit
396|Holo Mask : Gold #1400|266.28537978529573|https://quixotic.io/asset/0x8B50FDe10E6D2256b12DD839F92130C5D20c1E51/1400|Sunshine|Madison|Micah|Liana|Micah Gold|Jaxson Gold
397|Holo Mask : Gold #1354|266.21780327200895|https://quixotic.io/asset/0x8B50FDe10E6D2256b12DD839F92130C5D20c1E51/1354|Vince|Lucy|Micah|Nyla|Harrison Gold|Noah Gold
398|Holo Mask : Gold #1352|265.87093299371617|https://quixotic.io/asset/0x8B50FDe10E6D2256b12DD839F92130C5D20c1E51/1352|Sky|Charlotte|Miles|Mayda|Kingston Gold|Isaiah Gold
399|Holo Mask : Gold #816|265.5727139862946|https://quixotic.io/asset/0x8B50FDe10E6D2256b12DD839F92130C5D20c1E51/816|Vince|Camila|Jameson|Laura|Diego Gold|Daniel Gold
400|Holo Mask : Gold #797|264.9642647972844|https://quixotic.io/asset/0x8B50FDe10E6D2256b12DD839F92130C5D20c1E51/797|Vince|Emily|Ezekiel|Nellie|Damian Gold|Aiden Gold
401|Holo Mask : Gold #544|264.8927899191057|https://quixotic.io/asset/0x8B50FDe10E6D2256b12DD839F92130C5D20c1E51/544|Sky|Mia|Bryson|Katie|Kai Gold|Jaxon Gold
401|Holo Mask : Gold #1088|264.8927899191057|https://quixotic.io/asset/0x8B50FDe10E6D2256b12DD839F92130C5D20c1E51/1088|Sky|Camila|Bryson|Mabel|Ryder Gold|Julian Gold
401|Holo Mask : Gold #1327|264.8927899191057|https://quixotic.io/asset/0x8B50FDe10E6D2256b12DD839F92130C5D20c1E51/1327|Irvin|Madison|Jace|Molly|Ivan Gold|Jordan Gold
404|Holo Mask : Gold #123|264.48069356950936|https://quixotic.io/asset/0x8B50FDe10E6D2256b12DD839F92130C5D20c1E51/123|Sky|Abigail|Sawyer|Merlie|Luca Gold|Thomas Gold
404|Holo Mask : Gold #208|264.48069356950936|https://quixotic.io/asset/0x8B50FDe10E6D2256b12DD839F92130C5D20c1E51/208|Owen|Aurora|Weston|Melda|Brandon Gold|Anthony Gold
