rank|name|score|link|Background|Mask|Eye|Mouth|Head|Holo Suit
1|Holo Mask : Gold #1169|881.5899605093153|https://quixotic.io/asset/0x8B50FDe10E6D2256b12DD839F92130C5D20c1E51/1169|Sunshine|Willow|Kayden|Nina|Declan Gold|Adam Gold
2|Holo Mask : Gold #67|814.5131381381382|https://quixotic.io/asset/0x8B50FDe10E6D2256b12DD839F92130C5D20c1E51/67|Trey|Willow|Jose|Merlie|Gavin Gold|Levi Gold
3|Holo Mask : Gold #611|640.2670921782367|https://quixotic.io/asset/0x8B50FDe10E6D2256b12DD839F92130C5D20c1E51/611|Vince|Brooklyn|Vincent 6|Mabel|Braxton Gold|Eli Gold
4|Holo Mask : Gold #908|632.2269382268541|https://quixotic.io/asset/0x8B50FDe10E6D2256b12DD839F92130C5D20c1E51/908|Sunshine|Hazel|Luca|Ocie|Bentley Gold|Sebastian Gold
5|Holo Mask : Gold #637|627.6830080941526|https://quixotic.io/asset/0x8B50FDe10E6D2256b12DD839F92130C5D20c1E51/637|Vince|Addison|Kayden|Mila|Declan Gold|Isaiah Gold
6|Holo Mask : Gold #317|625.9072765637237|https://quixotic.io/asset/0x8B50FDe10E6D2256b12DD839F92130C5D20c1E51/317|Sunshine|Zoey|Vincent 1|Laura|Kingston Gold|Alexander Gold
7|Holo Mask : Gold #1070|620.4635349635349|https://quixotic.io/asset/0x8B50FDe10E6D2256b12DD839F92130C5D20c1E51/1070|Sky|Avery|Jason|Merlie|Declan Gold|Leo Gold
8|Holo Mask : Gold #592|614.7812223798669|https://quixotic.io/asset/0x8B50FDe10E6D2256b12DD839F92130C5D20c1E51/592|Vince|Aria|Vincent 4|Nilda|Chase Gold|Benjamin Gold
9|Holo Mask : Gold #479|614.1823412698413|https://quixotic.io/asset/0x8B50FDe10E6D2256b12DD839F92130C5D20c1E51/479|Sky|Ava|Axel|Liana|Luis Gold|Mason Gold
10|Holo Mask : Gold #896|614.1361330941527|https://quixotic.io/asset/0x8B50FDe10E6D2256b12DD839F92130C5D20c1E51/896|Vince|Mila|Parker|Lainey|Declan Gold|Logan Gold
11|Holo Mask : Gold #288|614.0337234555984|https://quixotic.io/asset/0x8B50FDe10E6D2256b12DD839F92130C5D20c1E51/288|Trey|Madelyn|Vincent 5|Laura|George Gold|Christopher Gold
12|Holo Mask : Gold #984|613.9407904588516|https://quixotic.io/asset/0x8B50FDe10E6D2256b12DD839F92130C5D20c1E51/984|Irvin|Samantha|Micah|Mila|Emmett Gold|Jeremiah Gold
13|Holo Mask : Gold #604|613.7160218253969|https://quixotic.io/asset/0x8B50FDe10E6D2256b12DD839F92130C5D20c1E51/604|Trey|Grace|Vincent 6|Laila|Cole Gold|Hudson Gold
14|Holo Mask : Gold #503|613.0030284043441|https://quixotic.io/asset/0x8B50FDe10E6D2256b12DD839F92130C5D20c1E51/503|Trey|Madison|Vincent 2|Malia|Harrison Gold|Ryan Gold
15|Holo Mask : Gold #62|605.2408756265664|https://quixotic.io/asset/0x8B50FDe10E6D2256b12DD839F92130C5D20c1E51/62|Owen|Anna|Vincent 2|Laura|Ayden Gold|Liam Gold
16|Holo Mask : Gold #1149|600.4064809771517|https://quixotic.io/asset/0x8B50FDe10E6D2256b12DD839F92130C5D20c1E51/1149|Sunshine|Aurora|Vincent 4|Merlie|Ryker Gole|Mason Gold
17|Holo Mask : Gold #1411|597.1223900680607|https://quixotic.io/asset/0x8B50FDe10E6D2256b12DD839F92130C5D20c1E51/1411|Sunshine|Aubrey|Parker|Naya|Emmett Gold|Mason Gold
18|Holo Mask : Gold #572|594.0826033243485|https://quixotic.io/asset/0x8B50FDe10E6D2256b12DD839F92130C5D20c1E51/572|Irvin|Stella|Luca|Kylie|Silas Gold|Connor Gold
19|Holo Mask : Gold #709|590.9496460746461|https://quixotic.io/asset/0x8B50FDe10E6D2256b12DD839F92130C5D20c1E51/709|Trey|Allison|Vincent 5|Oda|Kai Gold|Jeremiah Gold
20|Holo Mask : Gold #1006|584.6770557132003|https://quixotic.io/asset/0x8B50FDe10E6D2256b12DD839F92130C5D20c1E51/1006|Vince|Nora|Vincent 4|Mabel|Chase Gold|Ryan Gold
21|Holo Mask : Gold #1176|579.4503968253969|https://quixotic.io/asset/0x8B50FDe10E6D2256b12DD839F92130C5D20c1E51/1176|Trey|Ellie|Vincent 2|Morine|Silas Gold|Cameron Gold
22|Holo Mask : Gold #1141|575.3960953878407|https://quixotic.io/asset/0x8B50FDe10E6D2256b12DD839F92130C5D20c1E51/1141|Trey|Emma|Micah|Liana|Cole Gold|Angel Gold
23|Holo Mask : Gold #358|574.6034366576819|https://quixotic.io/asset/0x8B50FDe10E6D2256b12DD839F92130C5D20c1E51/358|Trey|Olivia|Jameson|Morine|Weston Gold|Mason Gold
24|Holo Mask : Gold #920|569.7913059163059|https://quixotic.io/asset/0x8B50FDe10E6D2256b12DD839F92130C5D20c1E51/920|Trey|Sarah|Jace|Kayla|Braxton Gold|Brayden Gold
25|Holo Mask : Gold #540|568.5967335259788|https://quixotic.io/asset/0x8B50FDe10E6D2256b12DD839F92130C5D20c1E51/540|Owen|Chloe|Ayden|Lilly|Wesley Gold|Landon Gold
26|Holo Mask : Gold #484|562.029153138528|https://quixotic.io/asset/0x8B50FDe10E6D2256b12DD839F92130C5D20c1E51/484|Irvin|Kinsley|Bryson|Nadia|Vincent Gold|Daniel Gold
27|Holo Mask : Gold #628|557.2072218322219|https://quixotic.io/asset/0x8B50FDe10E6D2256b12DD839F92130C5D20c1E51/628|Trey|Zoey|Jose|Malia|Luis Gold|Jayden Gold
28|Holo Mask : Gold #401|557.1947584891134|https://quixotic.io/asset/0x8B50FDe10E6D2256b12DD839F92130C5D20c1E51/401|Sunshine|Mila|Leonardo|Molly|Wesley Gold|Wyatt Gold
28|Holo Mask : Gold #954|557.1947584891134|https://quixotic.io/asset/0x8B50FDe10E6D2256b12DD839F92130C5D20c1E51/954|Sunshine|Paisley|Kayden|Lydia|Bentley Gold|Colton Gold
28|Holo Mask : Gold #1009|557.1947584891134|https://quixotic.io/asset/0x8B50FDe10E6D2256b12DD839F92130C5D20c1E51/1009|Sunshine|Nova|Jose|Nilda|Bennett Gold|Nicholas Gold
31|Holo Mask : Gold #1142|557.0974842767296|https://quixotic.io/asset/0x8B50FDe10E6D2256b12DD839F92130C5D20c1E51/1142|Sky|Grace|Luca|Layla|Cole Gold|Cooper Gold
32|Holo Mask : Gold #181|557.0766385346581|https://quixotic.io/asset/0x8B50FDe10E6D2256b12DD839F92130C5D20c1E51/181|Vince|Emma|Bryson|Mayda|Weston Gold|Ethan Gold
33|Holo Mask : Gold #498|556.8895202020202|https://quixotic.io/asset/0x8B50FDe10E6D2256b12DD839F92130C5D20c1E51/498|Trey|Mila|Bryson|Katie|Vincent Gold|Hudson Gold
34|Holo Mask : Gold #1079|556.244430916306|https://quixotic.io/asset/0x8B50FDe10E6D2256b12DD839F92130C5D20c1E51/1079|Trey|Chloe|Vincent 6|Niada|Gavin Gold|Jaxson Gold
35|Holo Mask : Gold #126|555.0748873873874|https://quixotic.io/asset/0x8B50FDe10E6D2256b12DD839F92130C5D20c1E51/126|Trey|Isabella|Declan|Kylie|Chase Gold|Greyson Gold
36|Holo Mask : Gold #714|553.9106675800225|https://quixotic.io/asset/0x8B50FDe10E6D2256b12DD839F92130C5D20c1E51/714|Sunshine|Addison|Jace|Naila|George Gold|Josiah Gold
36|Holo Mask : Gold #957|553.9106675800225|https://quixotic.io/asset/0x8B50FDe10E6D2256b12DD839F92130C5D20c1E51/957|Sunshine|Lily|Bryson|Naya|Wesley Gold|Isaiah Gold
38|Holo Mask : Gold #1174|553.5015126889731|https://quixotic.io/asset/0x8B50FDe10E6D2256b12DD839F92130C5D20c1E51/1174|Vince|Aubrey|Weston|Oda|Gavin Gold|Nathan Gold
39|Holo Mask : Gold #690|553.3991030504188|https://quixotic.io/asset/0x8B50FDe10E6D2256b12DD839F92130C5D20c1E51/690|Trey|Evelyn|Sawyer|Kate|Nathaniel Gold|Jack Gold
40|Holo Mask : Gold #183|551.630463684709|https://quixotic.io/asset/0x8B50FDe10E6D2256b12DD839F92130C5D20c1E51/183|Trey|Emma|Jameson|Malia|Luca Gold|Jacob Gold
41|Holo Mask : Gold #1296|550.0901583401583|https://quixotic.io/asset/0x8B50FDe10E6D2256b12DD839F92130C5D20c1E51/1296|Irvin|Chloe|Bryson|Nilda|Kai Gold|James Gold
42|Holo Mask : Gold #602|548.715271074646|https://quixotic.io/asset/0x8B50FDe10E6D2256b12DD839F92130C5D20c1E51/602|Sky|Brooklyn|Xavier|Mayda|Harrison Gold|Henry Gold
43|Holo Mask : Gold #1425|548.3975694444445|https://quixotic.io/asset/0x8B50FDe10E6D2256b12DD839F92130C5D20c1E51/1425|Irvin|Aria|Miles|Nina|Silas Gold|Theodore Gold
44|Holo Mask : Gold #353|546.599741188557|https://quixotic.io/asset/0x8B50FDe10E6D2256b12DD839F92130C5D20c1E51/353|Sky|Camila|Jason|Oda|Brandon Gold|Jack Gold
45|Holo Mask : Gold #309|543.762756470776|https://quixotic.io/asset/0x8B50FDe10E6D2256b12DD839F92130C5D20c1E51/309|Vince|Maya|Parker|Nira|Weston Gold|Nicholas Gold
46|Holo Mask : Gold #351|543.5756381381382|https://quixotic.io/asset/0x8B50FDe10E6D2256b12DD839F92130C5D20c1E51/351|Trey|Madelyn|Everett|Mila|Nathaniel Gold|Christian Gole
47|Holo Mask : Gold #164|543.5631747950297|https://quixotic.io/asset/0x8B50FDe10E6D2256b12DD839F92130C5D20c1E51/164|Sunshine|Willow|Evan|Nyla|Silas Gold|Carson Gold
48|Holo Mask : Gold #1243|543.032958490978|https://quixotic.io/asset/0x8B50FDe10E6D2256b12DD839F92130C5D20c1E51/1243|Vince|Aria|Xavier|Laura|Braxton Gold|Jacob Gold
49|Holo Mask : Gold #406|537.7726416748577|https://quixotic.io/asset/0x8B50FDe10E6D2256b12DD839F92130C5D20c1E51/406|Vince|Mila|Kayden|Naila|Zachary Gold|Adrian Gold
50|Holo Mask : Gold #909|536.7762762762763|https://quixotic.io/asset/0x8B50FDe10E6D2256b12DD839F92130C5D20c1E51/909|Irvin|Sarah|Declan|Morine|Ryder Gold|Jaxon Gold
50|Holo Mask : Gold #1222|536.7762762762763|https://quixotic.io/asset/0x8B50FDe10E6D2256b12DD839F92130C5D20c1E51/1222|Sky|Chloe|Jose|Mila|Ryker Gole|Jordan Gold
52|Holo Mask : Gold #1258|536.6497122122122|https://quixotic.io/asset/0x8B50FDe10E6D2256b12DD839F92130C5D20c1E51/1258|Sky|Zoe|Sawyer|Ocie|Nathaniel Gold|Carter Gold
53|Holo Mask : Gold #955|536.5432833401583|https://quixotic.io/asset/0x8B50FDe10E6D2256b12DD839F92130C5D20c1E51/955|Owen|Madelyn|Bryson|Niada|Ryder Gold|Hudson Gold
54|Holo Mask : Gold #81|535.1004919393077|https://quixotic.io/asset/0x8B50FDe10E6D2256b12DD839F92130C5D20c1E51/81|Irvin|Lillian|Evan|Malia|Nathaniel Gold|Dylan Gold
55|Holo Mask : Gold #995|534.5339880792651|https://quixotic.io/asset/0x8B50FDe10E6D2256b12DD839F92130C5D20c1E51/995|Vince|Mia|Luca|Kayla|Zachary Gold|Carter Gold
56|Holo Mask : Gold #88|534.0426520270271|https://quixotic.io/asset/0x8B50FDe10E6D2256b12DD839F92130C5D20c1E51/88|Trey|Isabella|Miles|Kayla|Luca Gold|Benjamin Gold
57|Holo Mask : Gold #827|533.8065409159159|https://quixotic.io/asset/0x8B50FDe10E6D2256b12DD839F92130C5D20c1E51/827|Irvin|Leah|Everett|Nadia|Gael Gold|Sebastian Gold
58|Holo Mask : Gold #1372|533.3683176100628|https://quixotic.io/asset/0x8B50FDe10E6D2256b12DD839F92130C5D20c1E51/1372|Irvin|Ellie|Micah|Ocie|Nathaniel Gold|Jeremiah Gold
59|Holo Mask : Gold #1129|533.1478901922451|https://quixotic.io/asset/0x8B50FDe10E6D2256b12DD839F92130C5D20c1E51/1129|Sunshine|Violet|Bryson|Lilly|Damian Gold|Nathan Gold
60|Holo Mask : Gold #385|531.8164010302169|https://quixotic.io/asset/0x8B50FDe10E6D2256b12DD839F92130C5D20c1E51/385|Irvin|Mia|Parker|Naila|Ayden Gold|Carter Gold
61|Holo Mask : Gold #966|531.0939636926082|https://quixotic.io/asset/0x8B50FDe10E6D2256b12DD839F92130C5D20c1E51/966|Vince|Kinsley|Xavier|Lydia|Ryder Gold|Benjamin Gold
61|Holo Mask : Gold #1034|531.0939636926082|https://quixotic.io/asset/0x8B50FDe10E6D2256b12DD839F92130C5D20c1E51/1034|Vince|Isabella|Weston|Molly|Ryker Gole|Angel Gold
63|Holo Mask : Gold #1132|530.9790907109456|https://quixotic.io/asset/0x8B50FDe10E6D2256b12DD839F92130C5D20c1E51/1132|Sunshine|Riley|Everett|Morine|Kai Gold|Luke Gold
64|Holo Mask : Gold #106|530.1311727766923|https://quixotic.io/asset/0x8B50FDe10E6D2256b12DD839F92130C5D20c1E51/106|Vince|Zoey|Declan|Mayda|Harrison Gold|Jackson Gold
65|Holo Mask : Gold #18|530.0861044079794|https://quixotic.io/asset/0x8B50FDe10E6D2256b12DD839F92130C5D20c1E51/18|Trey|Paisley|Axel|Nira|Luca Gold|Anthony Gold
66|Holo Mask : Gold #591|530.0162997950297|https://quixotic.io/asset/0x8B50FDe10E6D2256b12DD839F92130C5D20c1E51/591|Sunshine|Willow|Xavier|Laura|Tyler Gold|Jordan Gold
66|Holo Mask : Gold #1300|530.0162997950297|https://quixotic.io/asset/0x8B50FDe10E6D2256b12DD839F92130C5D20c1E51/1300|Sunshine|Kinsley|Evan|Laura|Braxton Gold|Theodore Gold
68|Holo Mask : Gold #205|529.4181793556397|https://quixotic.io/asset/0x8B50FDe10E6D2256b12DD839F92130C5D20c1E51/205|Vince|Aubrey|Parker|Molly|Cole Gold|Sebastian Gold
69|Holo Mask : Gold #769|529.3157697170855|https://quixotic.io/asset/0x8B50FDe10E6D2256b12DD839F92130C5D20c1E51/769|Trey|Evelyn|Sawyer|Melda|Damian Gold|Hunter Gold
70|Holo Mask : Gold #967|525.6311936936937|https://quixotic.io/asset/0x8B50FDe10E6D2256b12DD839F92130C5D20c1E51/967|Sky|Addison|Kayden|Kate|Cole Gold|Matthew Gold
71|Holo Mask : Gold #1279|524.9582573776122|https://quixotic.io/asset/0x8B50FDe10E6D2256b12DD839F92130C5D20c1E51/1279|Sunshine|Elizabeth|Jason|Oda|Luca Gold|Easton Gold
72|Holo Mask : Gold #562|523.2294012762763|https://quixotic.io/asset/0x8B50FDe10E6D2256b12DD839F92130C5D20c1E51/562|Owen|Avery|Xavier|Laura|Kai Gold|Hudson Gold
73|Holo Mask : Gold #1241|522.9999790829986|https://quixotic.io/asset/0x8B50FDe10E6D2256b12DD839F92130C5D20c1E51/1241|Vince|Ariana|Miles|Nellie|Tyler Gold|Ryan Gold
74|Holo Mask : Gold #188|522.5164078552236|https://quixotic.io/asset/0x8B50FDe10E6D2256b12DD839F92130C5D20c1E51/188|Sky|Sofia|Kayden|Malia|Wesley Gold|Nathan Gold
74|Holo Mask : Gold #476|522.5164078552236|https://quixotic.io/asset/0x8B50FDe10E6D2256b12DD839F92130C5D20c1E51/476|Sky|Layla|Sawyer|Mabel|Brandon Gold|Dylan Gold
74|Holo Mask : Gold #1195|522.5164078552236|https://quixotic.io/asset/0x8B50FDe10E6D2256b12DD839F92130C5D20c1E51/1195|Sky|Lillian|Parker|Katie|Brandon Gold|Hunter Gold
77|Holo Mask : Gold #55|520.6129373935446|https://quixotic.io/asset/0x8B50FDe10E6D2256b12DD839F92130C5D20c1E51/55|Vince|Everly|Luca|Layla|Kingston Gold|Jack Gold
78|Holo Mask : Gold #268|520.197948359093|https://quixotic.io/asset/0x8B50FDe10E6D2256b12DD839F92130C5D20c1E51/268|Vince|Zoe|Bryson|Malia|Maxwell Gold|Nicholas Gold
79|Holo Mask : Gold #667|519.2561936936937|https://quixotic.io/asset/0x8B50FDe10E6D2256b12DD839F92130C5D20c1E51/667|Owen|Ruby|Sawyer|Lana|Silas Gold|Levi Gold
79|Holo Mask : Gold #1417|519.2561936936937|https://quixotic.io/asset/0x8B50FDe10E6D2256b12DD839F92130C5D20c1E51/1417|Sky|Scarlett|Sawyer|Lydia|Maxwell Gold|Carter Gold
81|Holo Mask : Gold #773|517.4446790540541|https://quixotic.io/asset/0x8B50FDe10E6D2256b12DD839F92130C5D20c1E51/773|Trey|Paisley|Declan|Nadia|Chase Gold|Jackson Gold
82|Holo Mask : Gold #843|517.4322157109456|https://quixotic.io/asset/0x8B50FDe10E6D2256b12DD839F92130C5D20c1E51/843|Sunshine|Riley|Weston|Nira|Brandon Gold|Jaxon Gold
82|Holo Mask : Gold #885|517.4322157109456|https://quixotic.io/asset/0x8B50FDe10E6D2256b12DD839F92130C5D20c1E51/885|Sunshine|Madelyn|Jose|Nira|George Gold|Austin Gold
84|Holo Mask : Gold #360|516.7316856330015|https://quixotic.io/asset/0x8B50FDe10E6D2256b12DD839F92130C5D20c1E51/360|Trey|Sofia|Sawyer|Lucia|Chase Gold|Easton Gold
85|Holo Mask : Gold #707|515.8713043556397|https://quixotic.io/asset/0x8B50FDe10E6D2256b12DD839F92130C5D20c1E51/707|Vince|Alice|Everett|Lainey|Nathaniel Gold|Cameron Gold
86|Holo Mask : Gold #1391|515.0708270842352|https://quixotic.io/asset/0x8B50FDe10E6D2256b12DD839F92130C5D20c1E51/1391|Trey|Elena|Parker|Laila|Kingston Gold|Sebastian Gold
87|Holo Mask : Gold #583|514.9995113037567|https://quixotic.io/asset/0x8B50FDe10E6D2256b12DD839F92130C5D20c1E51/583|Trey|Luna|Micah|Nora|Wesley Gold|Adam Gold
88|Holo Mask : Gold #834|514.4092335259788|https://quixotic.io/asset/0x8B50FDe10E6D2256b12DD839F92130C5D20c1E51/834|Sky|Genesis|Luca|Melda|Ivan Gold|Ryan Gold
89|Holo Mask : Gold #1311|513.435131380802|https://quixotic.io/asset/0x8B50FDe10E6D2256b12DD839F92130C5D20c1E51/1311|Sunshine|Aubrey|Weston|Naila|Brandon Gold|Levi Gold
90|Holo Mask : Gold #763|511.9126015219765|https://quixotic.io/asset/0x8B50FDe10E6D2256b12DD839F92130C5D20c1E51/763|Sky|Brooklyn|Jose|Lainey|Micah Gold|Isaac Gold
91|Holo Mask : Gold #693|509.2849842767296|https://quixotic.io/asset/0x8B50FDe10E6D2256b12DD839F92130C5D20c1E51/693|Irvin|Emily|Jameson|Molly|Maxwell Gold|Adam Gold
92|Holo Mask : Gold #170|508.96953285522363|https://quixotic.io/asset/0x8B50FDe10E6D2256b12DD839F92130C5D20c1E51/170|Irvin|Kennedy|Evan|Mayda|George Gold|Liam Gold
92|Holo Mask : Gold #505|508.96953285522363|https://quixotic.io/asset/0x8B50FDe10E6D2256b12DD839F92130C5D20c1E51/505|Irvin|Skylar|Sawyer|Laura|Brandon Gold|Jeremiah Gold
94|Holo Mask : Gold #492|505.2026515151515|https://quixotic.io/asset/0x8B50FDe10E6D2256b12DD839F92130C5D20c1E51/492|Owen|Maya|Jace|Layla|Harrison Gold|Nicholas Gold
95|Holo Mask : Gold #1329|503.30098536036036|https://quixotic.io/asset/0x8B50FDe10E6D2256b12DD839F92130C5D20c1E51/1329|Owen|Aaliyah|Wesley|Nira|Braxton Gold|Nolan Gold
96|Holo Mask : Gold #1266|503.1723472898929|https://quixotic.io/asset/0x8B50FDe10E6D2256b12DD839F92130C5D20c1E51/1266|Sunshine|Claire|Wesley|Nadia|Ryder Gold|Dylan Gold
97|Holo Mask : Gold #1096|500.9897970259416|https://quixotic.io/asset/0x8B50FDe10E6D2256b12DD839F92130C5D20c1E51/1096|Vince|Nora|Jason|Nilda|Ivan Gold|Nolan Gold
98|Holo Mask : Gold #782|500.88738738738743|https://quixotic.io/asset/0x8B50FDe10E6D2256b12DD839F92130C5D20c1E51/782|Trey|Eleanor|Jose|Malia|Luca Gold|Adam Gold
99|Holo Mask : Gold #215|498.26376945126947|https://quixotic.io/asset/0x8B50FDe10E6D2256b12DD839F92130C5D20c1E51/215|Irvin|Luna|Kayden|Naya|Diego Gold|Liam Gold
100|Holo Mask : Gold #726|495.6325548405744|https://quixotic.io/asset/0x8B50FDe10E6D2256b12DD839F92130C5D20c1E51/726|Vince|Hannah|Jace|Lainey|Diego Gold|Dylan Gold
101|Holo Mask : Gold #1388|493.8411711454164|https://quixotic.io/asset/0x8B50FDe10E6D2256b12DD839F92130C5D20c1E51/1388|Trey|Aria|Micah|Merlie|Gavin Gold|Jaxson Gold
102|Holo Mask : Gold #566|493.4168092835546|https://quixotic.io/asset/0x8B50FDe10E6D2256b12DD839F92130C5D20c1E51/566|Irvin|Cora|Jameson|Naila|Luca Gold|Hunter Gold
103|Holo Mask : Gold #910|493.1252346096096|https://quixotic.io/asset/0x8B50FDe10E6D2256b12DD839F92130C5D20c1E51/910|Sky|Victoria|Xavier|Nadia|Kai Gold|Easton Gold
104|Holo Mask : Gold #1427|492.01487424924926|https://quixotic.io/asset/0x8B50FDe10E6D2256b12DD839F92130C5D20c1E51/1427|Owen|Cora|Miles|Malia|Luca Gold|Easton Gold
105|Holo Mask : Gold #876|491.88876945126947|https://quixotic.io/asset/0x8B50FDe10E6D2256b12DD839F92130C5D20c1E51/876|Irvin|Zoey|Jason|Mabel|Maxwell Gold|William Gold
106|Holo Mask : Gold #961|488.7034159159159|https://quixotic.io/asset/0x8B50FDe10E6D2256b12DD839F92130C5D20c1E51/961|Irvin|Violet|Axel|Lydia|Luca Gold|Hunter Gold
107|Holo Mask : Gold #196|486.1040472290473|https://quixotic.io/asset/0x8B50FDe10E6D2256b12DD839F92130C5D20c1E51/196|Trey|Emma|Weston|Lana|Damian Gold|Ian Gold
107|Holo Mask : Gold #1420|486.1040472290473|https://quixotic.io/asset/0x8B50FDe10E6D2256b12DD839F92130C5D20c1E51/1420|Trey|Lily|Xavier|Lydia|Maxwell Gold|Colton Gold
109|Holo Mask : Gold #619|486.10404722904724|https://quixotic.io/asset/0x8B50FDe10E6D2256b12DD839F92130C5D20c1E51/619|Trey|Nova|Jose|Mila|Cole Gold|Nolan Gold
110|Holo Mask : Gold #174|485.83122352557837|https://quixotic.io/asset/0x8B50FDe10E6D2256b12DD839F92130C5D20c1E51/174|Sunshine|Maya|Axel|Nilda|Maxwell Gold|Nolan Gold
111|Holo Mask : Gold #273|485.6796853671854|https://quixotic.io/asset/0x8B50FDe10E6D2256b12DD839F92130C5D20c1E51/273|Irvin|Avery|Sawyer|Naila|Wesley Gold|Matthew Gold
112|Holo Mask : Gold #1442|485.40597959619697|https://quixotic.io/asset/0x8B50FDe10E6D2256b12DD839F92130C5D20c1E51/1442|Trey|Nova|Wesley|Katie|Kingston Gold|Liam Gold
113|Holo Mask : Gold #442|484.9321790540541|https://quixotic.io/asset/0x8B50FDe10E6D2256b12DD839F92130C5D20c1E51/442|Trey|Aaliyah|Declan|Laila|George Gold|Cameron Gold
114|Holo Mask : Gold #520|483.47026869319495|https://quixotic.io/asset/0x8B50FDe10E6D2256b12DD839F92130C5D20c1E51/520|Sunshine|Brooklyn|Weston|Lana|Zachary Gold|William Gold
115|Holo Mask : Gold #1275|482.9460611179361|https://quixotic.io/asset/0x8B50FDe10E6D2256b12DD839F92130C5D20c1E51/1275|Trey|Ariana|Jace|Laila|Ivan Gold|Cameron Gold
116|Holo Mask : Gold #1220|482.92236595851057|https://quixotic.io/asset/0x8B50FDe10E6D2256b12DD839F92130C5D20c1E51/1220|Vince|Stella|Everett|Naila|Silas Gold|Jayden Gold
117|Holo Mask : Gold #54|481.8581489592692|https://quixotic.io/asset/0x8B50FDe10E6D2256b12DD839F92130C5D20c1E51/54|Trey|Riley|Luca|Niada|Diego Gold|Oliver Gold
118|Holo Mask : Gold #85|478.46799924924926|https://quixotic.io/asset/0x8B50FDe10E6D2256b12DD839F92130C5D20c1E51/85|Irvin|Ariana|Ezekiel|Nadia|George Gold|Nathan Gold
119|Holo Mask : Gold #103|478.34189445126947|https://quixotic.io/asset/0x8B50FDe10E6D2256b12DD839F92130C5D20c1E51/103|Sky|Lily|Parker|Nadia|Vincent Gold|Jayden Gold
120|Holo Mask : Gold #578|476.0205944580945|https://quixotic.io/asset/0x8B50FDe10E6D2256b12DD839F92130C5D20c1E51/578|Owen|Stella|Parker|Naya|Ryker Gole|Colton Gold
121|Holo Mask : Gold #177|473.5199631449632|https://quixotic.io/asset/0x8B50FDe10E6D2256b12DD839F92130C5D20c1E51/177|Trey|Grace|Wesley|Morine|Chase Gold|Colton Gold
122|Holo Mask : Gold #990|473.5074998018547|https://quixotic.io/asset/0x8B50FDe10E6D2256b12DD839F92130C5D20c1E51/990|Sunshine|Riley|Sawyer|Lana|Ryker Gole|Jayden Gold
123|Holo Mask : Gold #314|473.4949342835546|https://quixotic.io/asset/0x8B50FDe10E6D2256b12DD839F92130C5D20c1E51/314|Owen|Addison|Micah|Nira|Wesley Gold|Jayden Gold
124|Holo Mask : Gold #109|473.362012423157|https://quixotic.io/asset/0x8B50FDe10E6D2256b12DD839F92130C5D20c1E51/109|Vince|Grace|Axel|Mila|Ryker Gole|William Gold
125|Holo Mask : Gold #168|472.5447088859388|https://quixotic.io/asset/0x8B50FDe10E6D2256b12DD839F92130C5D20c1E51/168|Sunshine|Kinsley|Wesley|Lainey|Cole Gold|David Gold
125|Holo Mask : Gold #982|472.5447088859388|https://quixotic.io/asset/0x8B50FDe10E6D2256b12DD839F92130C5D20c1E51/982|Sunshine|Sarah|Wesley|Lainey|Damian Gold|Isaac Gold
127|Holo Mask : Gold #449|472.54470888593875|https://quixotic.io/asset/0x8B50FDe10E6D2256b12DD839F92130C5D20c1E51/449|Sunshine|Maya|Evan|Laura|Maxwell Gold|Jack Gold
128|Holo Mask : Gold #332|470.2358722358722|https://quixotic.io/asset/0x8B50FDe10E6D2256b12DD839F92130C5D20c1E51/332|Trey|Paisley|Jason|Naya|Luca Gold|Ian Gold
129|Holo Mask : Gold #249|469.37647451373937|https://quixotic.io/asset/0x8B50FDe10E6D2256b12DD839F92130C5D20c1E51/249|Vince|Sarah|Jameson|Nadia|Brandon Gold|Oliver Gold
130|Holo Mask : Gold #940|469.3718186936937|https://quixotic.io/asset/0x8B50FDe10E6D2256b12DD839F92130C5D20c1E51/940|Trey|Violet|Axel|Laila|Brandon Gold|Levi Gold
131|Holo Mask : Gold #185|463.12659575649036|https://quixotic.io/asset/0x8B50FDe10E6D2256b12DD839F92130C5D20c1E51/185|Vince|Lily|Ezekiel|Nadia|Ivan Gold|Colton Gold
132|Holo Mask : Gold #980|460.07549778351733|https://quixotic.io/asset/0x8B50FDe10E6D2256b12DD839F92130C5D20c1E51/980|Vince|Avery|Everett|Nadia|Wesley Gold|Colton Gold
133|Holo Mask : Gold #252|459.9730881449632|https://quixotic.io/asset/0x8B50FDe10E6D2256b12DD839F92130C5D20c1E51/252|Trey|Isabella|Parker|Laila|Ivan Gold|William Gold
134|Holo Mask : Gold #951|459.9606248018547|https://quixotic.io/asset/0x8B50FDe10E6D2256b12DD839F92130C5D20c1E51/951|Sunshine|Stella|Kayden|Lainey|Ivan Gold|David Gold
135|Holo Mask : Gold #803|416.0109126984127|https://quixotic.io/asset/0x8B50FDe10E6D2256b12DD839F92130C5D20c1E51/803|Sky|Genesis|Vincent 2|Nilda|Emmett Gold|Lincoln Gold
136|Holo Mask : Gold #1320|403.80181440045897|https://quixotic.io/asset/0x8B50FDe10E6D2256b12DD839F92130C5D20c1E51/1320|Vince|Ellie|Vincent 6|Lilly|Declan Gold|James Gold
