_rank|_name|_score|_link|Background|Eyes|Eyewear|Face Accessory|Friend|Hair|Mouth|Outfit|Skin|Special Adventurer|Weapon
231|Sobta Magic #325|144.22197578590786|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/325|Common - Sunset|Sad|Red Glasses|Tattoo|None|Brown Spiky|Bubble Gum|Black Overalls|Milk Tea Skin||Coffee Cup
232|Sobta Magic #9|143.96129488696954|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/9|Common - Lemon|Surprised|Gold Monocle|Rainbow Sticker|None|Blue Hime Cut|Bread|School Uniform|Milk Tea Skin||Carrot
233|Sobta Magic #40|143.75691578708432|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/40|Common - Lemon|Wink|Red Glasses|None|Volcan|White Bubble|Triangle|Business Suit|Lava Mutant||Carrot
234|Sobta Magic #260|143.56088286369265|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/260|Common - Peach|Happy|Diamond Glasses|Pain Relief Patch|None|Violet Ponytail|Smile|Aloha Shirt|Aqua Mutant||Carrot
235|Sobta Magic #96|143.52883728863466|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/96|Common - Sky|Wink|None|Pain Relief Patch|None|Black Comma|O Mouth|Sci-Fi Suit|Espresso Skin||Guitar
236|Sobta Magic #197|142.50295884285137|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/197|Common - Cookie|Angry|Gold Glasses|None|None|Blonde Palm Tree|O Mouth|White T-Shirt|Vanilla Ape||Fire Staff
237|Sobta Magic #160|142.48006118170065|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/160|Common - Cotton Candy|Wink|None|Pain Relief Patch|None|Blue Double Braid|Rose|Aloha Shirt|Chocolate Skin||Carrot
238|Sobta Magic #516|142.4758742296704|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/516|Common - Lemonade|Wink|Heart Glasses|Star Sticker|None|Blue Helmet|Tongue Out|Hoodie|Espresso Skin||Laser Gun
239|Sobta Magic #375|142.1434877968364|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/375|Common - Lemon|Angry|None|Star Sticker|None|Blonde-Brown Man Bun|Wafer Roll|Barista Suit|Vanilla Ape||Nature Staff
240|Sobta Magic #43|142.10098938188528|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/43|Common - Peach|Happy|None|Rainbow Sticker|Florae|Green Light Undercut|Grumpy|Black Jacket|Almond Skin||Guitar
241|Sobta Magic #517|141.85210259516012|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/517|Common - Taro Milk|Bored|Diamond Glasses|Star Sticker|None|Blonde Dreadlocks|Open Smile|Yellow T-Shirt|Milk Tea Skin||Bunching Onion
242|Sobta Magic #361|141.79899473151036|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/361|Rare - Day Dream|Happy|None|None|Jojo|Captain Girl|Grin|Pink Overalls|Earth Mutant||Bunching Onion
243|Sobta Magic #447|141.61184566219643|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/447|Common - Peach|Normal|Red Glasses|Tattoo|Florae|Blonde Palm Tree|Triangle|Barista Suit|Honey Skin||Baseball Bat
244|Sobta Magic #474|141.5526684731092|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/474|Common - Charcoal|Angry|None|Star Sticker|None|Violet Ponytail|Smirk|Black Jacket|Fire Cyborg||Sketch Board
245|Sobta Magic #97|141.4813972980511|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/97|Common - Charcoal|Normal|None|None|None|Orange Side Braid|Strawberry Stick|Barista Suit|Milk Skin||Fire Staff
246|Sobta Magic #186|141.35181630637052|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/186|Common - Lemonade|Normal|Gold Monocle|None|None|White Undercut|Rose|Business Suit|Honey Skin||Boomerang
247|Sobta Magic #26|141.21998432073661|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/26|Common - Sunset|Angry|Heart Glasses|Sobta Sticker|None|Black Dreadlocks|Tongue Out|Aloha Shirt|Milk Skin||Sketch Board
248|Sobta Magic #275|141.12187968391507|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/275|Common - Sky|Angry|Sunglasses|None|None|Red Ponytail|Grumpy|Sci-Fi Suit|Lava Mutant||Baseball Bat
249|Sobta Magic #559|141.09612275332228|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/559|Common - Peach|Happy|Sunglasses|Star Sticker|None|Orange Hime Cut|Grumpy|White T-Shirt|Milk Tea Skin||Coffee Cup
250|Sobta Magic #520|140.81760635857592|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/520|Common - Taro Milk|Angry|None|Tattoo|Jojo|Blonde Double Braid|Tongue Out|Pink Overalls|Almond Skin||Sketch Board
251|Sobta Magic #81|140.6641306293664|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/81|Common - Cookie|Angry|Sunglasses|None|None|Black Comma|Choco Donut|Yellow T-Shirt|Fire Cyborg||Guitar
252|Sobta Magic #424|140.49264728064932|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/424|Common - Lemon|Fascinated|Diamond Glasses|Tattoo|None|Blue Helmet|Smile|Yellow T-Shirt|Aqua Mutant||Baseball Bat
253|Sobta Magic #409|140.37239709543246|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/409|Common - Taro Milk|Surprised|Sunglasses|Pain Relief Patch|None|Orange Spiky|Lollipop|Yellow T-Shirt|Milk Skin||Carrot
254|Sobta Magic #468|140.3638317058585|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/468|Common - Lemon|Bored|Red Glasses|Sobta Sticker|None|Blonde Double Braid|Choco Donut|Aloha Shirt|Chocolate Skin||Squeaky Hammer
255|Sobta Magic #328|140.0375363756092|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/328|Common - Charcoal|Bored|None|None|None|Blue Messy|Bread|Business Suit|Honey Skin||Laser Gun
256|Sobta Magic #452|139.99790720052076|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/452|Common - Charcoal|Bored|Sunglasses|None|None|Brown Palm Tree|Triangle|Fur Jacket|Fire Cyborg||Lollipop
257|Sobta Magic #391|139.910924584598|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/391|Common - Peach|Bored|None|None|None|Red Helmet|Smile|Black Jacket|Almond Skin||Scythe
258|Sobta Magic #235|139.70403350505867|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/235|Common - Peach|Bored|None|Plaster|None|Pink Side Braid|Smile|Yellow T-Shirt|Milk Tea Skin||Nature Staff
259|Sobta Magic #309|139.70196418634728|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/309|Common - Charcoal|Angry|Diamond Glasses|Pain Relief Patch|None|Brown Spiky|Triangle|Aloha Shirt|Espresso Skin||Coffee Cup
260|Sobta Magic #329|139.53914528126336|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/329|Common - Lemon|Sad|None|None|None|Green Light Undercut|Smile|Pink Overalls|Ice Cyborg||Boomerang
261|Sobta Magic #485|139.43846349387732|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/485|Common - Charcoal|Happy|Heart Glasses|Tattoo|None|Green Light Undercut|Open Smile|Black Overalls|Aqua Mutant||Fountain Pen
262|Sobta Magic #168|139.35068974051265|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/168|Common - Charcoal|Happy|None|None|Poppo|Red Helmet|Lollipop|Yellow T-Shirt|Chocolate Skin||Wrench
263|Sobta Magic #466|139.27844314845908|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/466|Common - Peach|Happy|None|Tattoo|None|Blonde-Brown Man Bun|Tongue Out|Sailor Suit|Honey Skin||Water Staff
264|Sobta Magic #478|138.93187361588906|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/478|Common - Lemonade|Sad|Gold Monocle|None|None|Orange Spiky|Grumpy|White Overalls|Espresso Skin||Sketch Board
265|Sobta Magic #471|138.79712972790327|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/471|Common - Cookie|Happy|Red Glasses|None|None|Pink Inverted Bob|Bread|White Overalls|Chocolate Skin||Syringe
266|Sobta Magic #16|138.77221004411942|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/16|Common - Sunset|Fascinated|None|Pain Relief Patch|Miw Miw|Brown Palm Tree|Wafer Roll|Hoodie|Espresso Skin||Bunching Onion
267|Sobta Magic #292|138.6642369415343|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/292|Common - Cookie|Surprised|Gold Glasses|Pain Relief Patch|None|Blonde Dreadlocks|O Mouth|Black Jacket|Milk Tea Skin||Lollipop
268|Sobta Magic #304|138.46796594180685|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/304|Common - Sunset|Bored|None|Pain Relief Patch|Volcan|Blue Hime Cut|Bread|Hoodie|Chocolate Skin||Baseball Bat
269|Sobta Magic #226|138.43380911961697|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/226|Common - Cotton Candy|Angry|None|Rainbow Sticker|None|Blue Messy|Open Smile|Sailor Suit|Almond Skin||Guitar
270|Sobta Magic #69|138.289280089296|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/69|Common - Sunset|Sad|None|Tattoo|None|Orange Side Braid|Triangle|White Overalls|Almond Skin||Syringe
271|Sobta Magic #154|137.84760794010208|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/154|Common - Charcoal|Fascinated|Gold Glasses|None|None|Brown Bubble|Grin|School Uniform|Aqua Mutant||Sketch Board
272|Sobta Magic #74|137.73468649861792|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/74|Common - Sky|Happy|Red Glasses|None|None|Green Comma|Grin|White T-Shirt|Caramel Ape||Nature Staff
273|Sobta Magic #393|137.58025481310065|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/393|Common - Cookie|Bored|None|Star Sticker|None|Brown Bubble|O Mouth|Docter Suit|Caramel Ape||Bunching Onion
274|Sobta Magic #349|137.3796455402391|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/349|Common - Cookie|Angry|Gold Monocle|Plaster|None|Blonde Palm Tree|O Mouth|Yellow T-Shirt|Lava Mutant||Coffee Cup
275|Sobta Magic #109|136.9348149944607|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/109|Common - Cookie|Normal|None|None|None|White Bubble|Grumpy|Adventure Suit|Milk Skin||Syringe
276|Sobta Magic #313|136.75647431696194|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/313|Common - Sky|Fascinated|Heart Glasses|None|None|Blue Hime Cut|Leaf|Pink Overalls|Caramel Ape||Wrench
277|Sobta Magic #158|136.6932652950569|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/158|Common - Lemon|Fascinated|Gold Monocle|None|None|Blue Helmet|Bread|Denim Shirt|Honey Skin||Syringe
278|Sobta Magic #106|136.6423108342547|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/106|Common - Cotton Candy|Fascinated|Gold Monocle|None|None|Blue Messy|Grumpy|Yellow T-Shirt|Earth Mutant||Sketch Board
279|Sobta Magic #24|136.53095643932522|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/24|Common - Lemon|Normal|Red Glasses|Pain Relief Patch|None|Black Bucket Hat|Rose|Business Suit|Vanilla Ape||Boomerang
280|Sobta Magic #188|136.2760136970646|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/188|Common - Lemonade|Surprised|None|None|Kabo|White Bubble|Smirk|Black Overalls|Milk Skin||Lollipop
281|Sobta Magic #357|136.0345471642778|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/357|Common - Lemonade|Sad|Heart Glasses|Star Sticker|None|Captain Girl|Lollipop|White Overalls|Almond Skin||Guitar
282|Sobta Magic #59|136.0046178651039|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/59|Common - Sunset|Fascinated|None|None|None|Black Dreadlocks|Wafer Roll|School Uniform|Vanilla Ape||Fire Staff
283|Sobta Magic #498|135.88767868966676|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/498|Common - Peach|Wink|Red Glasses|Pain Relief Patch|Florae|Orange Pigtails|Smile|Hoodie|Espresso Skin||Carrot
284|Sobta Magic #441|135.80052555552905|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/441|Common - Peach|Normal|None|Rainbow Sticker|None|Blonde Double Braid|Triangle|Aloha Shirt|Aqua Mutant||Syringe
285|Sobta Magic #446|135.56894635260204|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/446|Common - Sunset|Normal|None|Star Sticker|Miw Miw|Captain Girl|Triangle|Hoodie|Almond Skin||Fountain Pen
286|Sobta Magic #99|135.31059942570639|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/99|Common - Lemonade|Fascinated|None|Pain Relief Patch|None|Pink Side Braid|Bubble Gum|Black Jacket|Chocolate Skin||Carrot
287|Sobta Magic #164|135.0557348867727|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/164|Common - Cookie|Bored|Sunglasses|Pain Relief Patch|None|Pink Inverted Bob|Tongue Out|Denim Shirt|Honey Skin||Lollipop
288|Sobta Magic #376|135.02623152586722|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/376|Common - Lemonade|Bored|Heart Glasses|Rainbow Sticker|None|Blue Messy|Smirk|Aloha Shirt|Almond Skin||Wrench
289|Sobta Magic #128|134.97347415218175|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/128|Common - Cotton Candy|Bored|None|None|None|Blonde Palm Tree|Smile|Adventure Suit|Aqua Mutant||Baseball Bat
290|Sobta Magic #345|134.9674840473265|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/345|Common - Cotton Candy|Angry|None|None|Alpha|Brown Palm Tree|O Mouth|Black Jacket|Milk Tea Skin||Lollipop
291|Sobta Magic #248|134.8696153792611|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/248|Common - Sunset|Normal|Gold Monocle|None|None|Orange Spiky|Choco Donut|White T-Shirt|Milk Tea Skin||Fountain Pen
292|Sobta Magic #475|134.35950022810965|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/475|Common - Lemon|Angry|None|Plaster|None|Blue Double Braid|Triangle|Fur Jacket|Espresso Skin||Boomerang
293|Sobta Magic #144|134.13313564986476|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/144|Common - Sky|Normal|None|None|Jojo|Blonde-Brown Man Bun|Bread|Denim Shirt|Milk Tea Skin||Fountain Pen
294|Sobta Magic #278|133.86810002221017|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/278|Common - Sky|Surprised|None|Tattoo|Volcan|White Bucket Hat|Triangle|Barista Suit|Honey Skin||Wrench
295|Sobta Magic #115|133.6784807695681|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/115|Common - Sunset|Normal|None|Plaster|None|Blue Helmet|Choco Donut|Black Jacket|Almond Skin||Syringe
296|Sobta Magic #95|133.62619260733814|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/95|Common - Peach|Angry|Gold Monocle|None|None|Blue Hime Cut|Bubble Gum|White Overalls|Honey Skin||Wrench
297|Sobta Magic #258|133.36678664728868|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/258|Common - Lemon|Wink|Sunglasses|Rainbow Sticker|None|Captain Girl|Wafer Roll|Sailor Suit|Milk Tea Skin||Boomerang
298|Sobta Magic #224|133.09397703860583|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/224|Common - Lemon|Bored|Gold Monocle|None|None|White Bucket Hat|Strawberry Stick|Pink Overalls|Vanilla Ape||Fountain Pen
299|Sobta Magic #436|132.99655286537012|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/436|Common - Cotton Candy|Angry|None|Tattoo|None|Black Comma|Smile|Denim Shirt|Vanilla Ape||Water Staff
300|Sobta Magic #107|132.87086790624096|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/107|Common - Sky|Happy|Sunglasses|Plaster|None|Black Comma|Bread|Business Suit|Honey Skin||Wrench
301|Sobta Magic #384|132.78638519317195|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/384|Common - Peach|Angry|Red Glasses|Pain Relief Patch|None|Orange Side Braid|Open Smile|Fur Jacket|Lava Mutant||Wrench
302|Sobta Magic #378|132.75197369471226|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/378|Common - Cotton Candy|Fascinated|None|Pain Relief Patch|None|Orange Side Braid|Grin|Hoodie|Caramel Ape||Fountain Pen
303|Sobta Magic #30|132.63132224866672|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/30|Common - Taro Milk|Fascinated|Gold Monocle|None|None|Blonde Double Braid|Wafer Roll|Hoodie|Vanilla Ape||Squeaky Hammer
304|Sobta Magic #476|132.50410569053713|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/476|Common - Cookie|Sad|None|None|None|Blue Hime Cut|O Mouth|Black Overalls|Earth Mutant||Nature Staff
305|Sobta Magic #22|132.48196974411292|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/22|Common - Sky|Bored|None|Rainbow Sticker|None|Pink Side Braid|O Mouth|Barista Suit|Earth Mutant||Baseball Bat
306|Sobta Magic #133|132.12272756291827|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/133|Common - Charcoal|Angry|None|Tattoo|None|Blonde Dreadlocks|Bread|White Overalls|Chocolate Skin||Syringe
307|Sobta Magic #307|132.052506362622|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/307|Common - Sky|Normal|Gold Glasses|Tattoo|None|Brown Spiky|Smile|School Uniform|Aqua Mutant||Wrench
308|Sobta Magic #501|131.96336984804998|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/501|Common - Lemon|Bored|None|None|None|White Bucket Hat|Lollipop|Black Jacket|Chocolate Skin||Fire Staff
309|Sobta Magic #362|131.86743430028926|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/362|Common - Sky|Wink|None|Sobta Sticker|None|Brown Palm Tree|Strawberry Stick|Hoodie|Lava Mutant||Sketch Board
310|Sobta Magic #284|131.81682906214655|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/284|Common - Peach|Sad|None|Sobta Sticker|None|Blonde-Brown Man Bun|Triangle|Black Overalls|Espresso Skin||Coffee Cup
311|Sobta Magic #331|131.80974085817093|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/331|Common - Cotton Candy|Wink|None|None|Jojo|Brown Palm Tree|Wafer Roll|Hoodie|Chocolate Skin||Coffee Cup
312|Sobta Magic #557|131.78708283716975|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/557|Common - Sunset|Normal|Heart Glasses|None|None|Blue Hime Cut|Triangle|Hoodie|Aqua Mutant||Syringe
313|Sobta Magic #150|131.38941448911422|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/150|Common - Lemon|Bored|None|None|Kabo|Captain Girl|Grin|School Uniform|Milk Skin||Baseball Bat
314|Sobta Magic #103|131.36337182782208|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/103|Common - Sunset|Angry|Red Glasses|None|None|Orange Side Braid|Smirk|White T-Shirt|Milk Tea Skin||Water Staff
315|Sobta Magic #193|131.21935770043197|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/193|Common - Cotton Candy|Sad|None|None|None|Orange Spiky|Grumpy|Barista Suit|Espresso Skin||Syringe
316|Sobta Magic #503|131.03673128820586|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/503|Common - Cotton Candy|Fascinated|Heart Glasses|Rainbow Sticker|None|Green Light Undercut|Smile|Barista Suit|Chocolate Skin||Baseball Bat
317|Sobta Magic #98|131.001189093085|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/98|Common - Charcoal|Happy|Red Glasses|Pain Relief Patch|None|Black Bucket Hat|Lollipop|Yellow T-Shirt|Aqua Mutant||Bunching Onion
318|Sobta Magic #398|130.99603127733798|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/398|Common - Sunset|Happy|None|Star Sticker|None|Blonde-Brown Man Bun|Choco Donut|Denim Shirt|Caramel Ape||Wrench
319|Sobta Magic #32|130.9421083585805|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/32|Common - Charcoal|Normal|None|None|Jojo|White Bubble|Triangle|White T-Shirt|Chocolate Skin||Fire Staff
320|Sobta Magic #63|130.90913989962306|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/63|Common - Sky|Sad|Diamond Glasses|None|None|Violet Ponytail|Grin|Barista Suit|Milk Tea Skin||Bunching Onion
321|Sobta Magic #297|130.87939026339313|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/297|Common - Cookie|Bored|Red Glasses|None|None|Blonde Dreadlocks|Smirk|Denim Shirt|Caramel Ape||Sketch Board
322|Sobta Magic #266|130.56177662702953|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/266|Common - Lemon|Bored|Sunglasses|None|None|Blue Messy|Strawberry Stick|Hoodie|Caramel Ape||Carrot
323|Sobta Magic #108|130.55421311326373|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/108|Common - Cookie|Angry|None|Rainbow Sticker|None|White Undercut|Smirk|Fur Jacket|Caramel Ape||Carrot
324|Sobta Magic #161|130.51167049264083|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/161|Common - Lemonade|Normal|Heart Glasses|None|None|Blonde Double Braid|O Mouth|Business Suit|Milk Skin||Sketch Board
325|Sobta Magic #198|130.45125432114924|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/198|Common - Cookie|Happy|Sunglasses|None|None|Blue Messy|Wafer Roll|School Uniform|Vanilla Ape||Bunching Onion
326|Sobta Magic #464|130.3920455312788|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/464|Common - Charcoal|Surprised|None|None|None|Orange Side Braid|Leaf|Fur Jacket|Milk Skin||Guitar
327|Sobta Magic #207|130.36045313193839|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/207|Common - Sky|Normal|Diamond Glasses|Star Sticker|None|Brown Bubble|Bread|Aloha Shirt|Lava Mutant||Wrench
328|Sobta Magic #486|130.34539144726403|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/486|Common - Cookie|Fascinated|Sunglasses|None|None|Orange Pigtails|Smirk|White Overalls|Vanilla Ape||Laser Gun
329|Sobta Magic #139|130.24560854666882|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/139|Common - Taro Milk|Angry|Red Glasses|Star Sticker|None|White Bubble|Bread|Yellow T-Shirt|Lava Mutant||Fire Staff
330|Sobta Magic #289|130.15778609089108|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/289|Common - Taro Milk|Sad|None|Tattoo|None|Green Comma|O Mouth|Sailor Suit|Milk Tea Skin||Syringe
331|Sobta Magic #191|130.15039689960096|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/191|Common - Cotton Candy|Wink|None|Tattoo|None|Orange Hime Cut|Smirk|White T-Shirt|Aqua Mutant||Guitar
332|Sobta Magic #521|129.8989276104303|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/521|Common - Lemon|Angry|Red Glasses|None|None|Violet Ponytail|Bubble Gum|Black Jacket|Honey Skin||Sketch Board
333|Sobta Magic #397|129.89429926925263|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/397|Common - Cotton Candy|Wink|Heart Glasses|None|None|Blonde-Brown Man Bun|Choco Donut|Fur Jacket|Almond Skin||Boomerang
334|Sobta Magic #341|129.83097234359366|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/341|Common - Taro Milk|Bored|Diamond Glasses|None|None|Blonde Double Braid|Tongue Out|Hoodie|Earth Mutant||Carrot
335|Sobta Magic #449|129.53237446403315|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/449|Common - Cookie|Angry|Red Glasses|Star Sticker|None|Brown Palm Tree|Bubble Gum|Hoodie|Milk Tea Skin||Squeaky Hammer
336|Sobta Magic #20|129.49562069062404|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/20|Common - Lemon|Bored|Red Glasses|Rainbow Sticker|None|Orange Pigtails|Strawberry Stick|Denim Shirt|Almond Skin||Baseball Bat
337|Sobta Magic #159|129.49094412495887|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/159|Common - Lemon|Angry|None|Tattoo|None|Blue Helmet|O Mouth|Pink Overalls|Caramel Ape||Fire Staff
338|Sobta Magic #380|129.20382846778406|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/380|Common - Cotton Candy|Normal|None|None|None|Pink Side Braid|Leaf|Barista Suit|Honey Skin||Squeaky Hammer
339|Sobta Magic #200|129.1735167675815|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/200|Common - Lemon|Happy|Red Glasses|Star Sticker|None|Brown Palm Tree|Strawberry Stick|Fur Jacket|Espresso Skin||Guitar
340|Sobta Magic #93|129.1465156427435|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/93|Common - Lemonade|Angry|Sunglasses|Star Sticker|None|Blonde Palm Tree|Grin|Fur Jacket|Caramel Ape||Boomerang
