_rank|_name|_score|_link|Background|Eyes|Eyewear|Face Accessory|Friend|Hair|Mouth|Outfit|Skin|Special Adventurer|Weapon
148|Sobta Magic #142|161.75249678645335|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/142|Common - Taro Milk|Surprised|Digital Glasses|Pain Relief Patch|None|Brown Bubble|Wafer Roll|Pink Overalls|Milk Skin||Lollipop
149|Sobta Magic #261|161.19260155781345|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/261|Common - Lemon|Angry|Heart Glasses|Pain Relief Patch|None|Blonde Dreadlocks|Smile|Docter Suit|Almond Skin||Lollipop
150|Sobta Magic #72|160.94775718092924|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/72|Common - Cotton Candy|Sad|Red Glasses|Star Sticker|None|Green Comma|Smirk|Pink Overalls|Lava Mutant||Scythe
151|Sobta Magic #123|160.77404667077417|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/123|Rare - Day Dream|Angry|Gold Monocle|Pain Relief Patch|Volcan|White Bucket Hat|Smirk|Pink Overalls|Lava Mutant||Carrot
152|Sobta Magic #262|160.44278299333973|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/262|Rare - Cybertron|Normal|None|None|Poppo|Brown Palm Tree|Smirk|Aloha Shirt|Almond Skin||Carrot
153|Sobta Magic #535|160.31832770800116|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/535|Common - Taro Milk|Happy|None|None|Poppo|Orange Spiky|Bubble Gum|White Overalls|Almond Skin||Guitar
154|Sobta Magic #15|160.12976128148557|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/15|Common - Taro Milk|Happy|None|None|Kabo|Orange Spiky|Tongue Out|Business Suit|Honey Skin||Squeaky Hammer
155|Sobta Magic #141|160.0825554877369|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/141|Common - Cookie|Surprised|Digital Glasses|None|None|Brown Spiky|Choco Donut|Denim Shirt|Milk Tea Skin||Wrench
156|Sobta Magic #372|159.74131183185344|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/372|Common - Cotton Candy|Happy|Diamond Glasses|None|None|Captain Boy|Bread|White Overalls|Honey Skin||Lollipop
157|Sobta Magic #528|159.48141246259829|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/528|Common - Charcoal|Sad|Red Glasses|None|None|Black Comma|Rose|Adventure Suit|Espresso Skin||Squeaky Hammer
158|Sobta Magic #490|159.2600701435108|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/490|Common - Cookie|Angry|Heart Glasses|Sobta Sticker|None|Captain Boy|Leaf|Denim Shirt|Chocolate Skin||Boomerang
159|Sobta Magic #56|158.824569936274|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/56|Common - Lemonade|Sad|None|Rainbow Sticker|None|Black Dreadlocks|Wafer Roll|Docter Suit|Milk Skin||Boomerang
160|Sobta Magic #502|158.6263914554062|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/502|Common - Sky|Angry|Gold Glasses|Tattoo|None|Orange Side Braid|Grin|Pink Overalls|Lava Mutant||Lollipop
161|Sobta Magic #216|158.49366944156398|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/216|Common - Lemonade|Happy|Gold Glasses|None|None|Blonde-Brown Man Bun|Choco Donut|School Uniform|Honey Skin||Laser Gun
162|Sobta Magic #12|158.1938294095075|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/12|Common - Sunset|Angry|None|Sobta Sticker|None|Captain Girl|Smile|Pink Overalls|Ice Cyborg||Lollipop
163|Sobta Magic #287|158.0008407496095|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/287|Common - Taro Milk|Normal|Gold Glasses|None|Kabo|Orange Pigtails|Smile|Pink Overalls|Milk Skin||Water Staff
164|Sobta Magic #344|157.88135318586384|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/344|Common - Taro Milk|Surprised|None|None|Alpha|Black Bucket Hat|Open Smile|Business Suit|Lava Mutant||Coffee Cup
165|Sobta Magic #492|157.61780706361904|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/492|Common - Sunset|Bored|None|Pain Relief Patch|Jojo|Captain Boy|Tongue Out|Fur Jacket|Milk Skin||Squeaky Hammer
166|Sobta Magic #234|157.2961770675381|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/234|Common - Sunset|Angry|Diamond Glasses|Star Sticker|None|White Bubble|Rose|Yellow T-Shirt|Vanilla Ape||Lollipop
167|Sobta Magic #46|157.1442723546862|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/46|Common - Charcoal|Surprised|Sunglasses|Tattoo|None|White Bubble|Wafer Roll|Docter Suit|Caramel Ape||Guitar
168|Sobta Magic #396|156.75873692658382|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/396|Common - Sunset|Angry|None|Pain Relief Patch|None|Green Comma|Lollipop|Adventure Suit|Chocolate Skin||Squeaky Hammer
