_rank|📈|_name|_score|_link|Background|Eyes|Eyewear|Face Accessory|Friend|Hair|Mouth|Outfit|Skin|Special Adventurer|Weapon
538|🔴-196|Sobta Magic #121|126.25737277182297|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/121|Common - Lemonade|Wink|None|Pain Relief Patch|None|Blonde Palm Tree|O Mouth|White Overalls|Earth Mutant||Fire Staff
539|🔴-152|Sobta Magic #31|126.16637506524064|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/31|Common - Cookie|Surprised|Heart Glasses|Rainbow Sticker|None|Brown Palm Tree|Tongue Out|Pink Overalls|Lava Mutant||Wrench
540|🔴-252|Sobta Magic #376|126.1481671391933|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/376|Common - Lemonade|Bored|Heart Glasses|Rainbow Sticker|None|Blue Messy|Smirk|Aloha Shirt|Almond Skin||Wrench
541|🔴-202|Sobta Magic #200|126.1146053032987|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/200|Common - Lemon|Happy|Red Glasses|Star Sticker|None|Brown Palm Tree|Strawberry Stick|Fur Jacket|Espresso Skin||Guitar
542|🔴-171|Sobta Magic #166|126.08524079767487|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/166|Common - Lemon|Bored|Red Glasses|Tattoo|None|Blonde Dreadlocks|O Mouth|Black Overalls|Almond Skin||Boomerang
543|🔴-161|Sobta Magic #140|125.9577854386491|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/140|Common - Cookie|Angry|Red Glasses|None|None|Blonde Dreadlocks|Choco Donut|School Uniform|Lava Mutant||Baseball Bat
544|🟡|Sobta Magic #641|125.92985308171|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/641|Common - Sky|Surprised|Red Glasses|None|None|Black Dreadlocks|Leaf|Black Jacket|Milk Skin||Baseball Bat
545|🔴-132|Sobta Magic #514|125.85962448124627|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/514|Common - Lemon|Wink|None|Star Sticker|None|Orange Pigtails|Strawberry Stick|Black Jacket|Caramel Ape||Guitar
546|🟡|Sobta Magic #764|125.6112520114907|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/764|Common - Lemonade|Fascinated|None|None|None|Captain Boy|Choco Donut|Aloha Shirt|Lava Mutant||Sketch Board
547|🟡|Sobta Magic #694|125.54602637436197|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/694|Common - Lemonade|Wink|None|None|None|Pink Side Braid|Triangle|Barista Suit|Espresso Skin||Water Staff
548|🔴-201|Sobta Magic #368|125.50061132632452|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/368|Common - Charcoal|Surprised|None|Pain Relief Patch|None|Captain Girl|Open Smile|Barista Suit|Espresso Skin||Fire Staff
549|🟡|Sobta Magic #750|125.47358463237647|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/750|Common - Cookie|Surprised|Red Glasses|None|None|Orange Pigtails|Lollipop|Sailor Suit|Milk Skin||Guitar
550|🔴-167|Sobta Magic #116|125.46767696090991|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/116|Common - Charcoal|Surprised|None|Pain Relief Patch|None|Blue Hime Cut|Smile|Aloha Shirt|Earth Mutant||Lollipop
551|🔴-189|Sobta Magic #318|125.39268823685397|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/318|Common - Charcoal|Fascinated|Sunglasses|Pain Relief Patch|None|White Bucket Hat|Smirk|Black Overalls|Earth Mutant||Lollipop
552|🟡|Sobta Magic #650|125.38876707384676|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/650|Common - Taro Milk|Fascinated|Heart Glasses|None|None|Blonde Dreadlocks|Triangle|Aloha Shirt|Milk Skin||Fountain Pen
