_rank|📈|_name|_score|_link|Background|Eyes|Eyewear|Face Accessory|Friend|Hair|Mouth|Outfit|Skin|Special Adventurer|Weapon
610|🟡|Sobta Magic #741|120.93481922134492|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/741|Common - Charcoal|Angry|Red Glasses|Plaster|None|Red Ponytail|Grumpy|Denim Shirt|Lava Mutant||Boomerang
611|🔴-181|Sobta Magic #14|120.90215389028218|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/14|Common - Lemon|Happy|None|Rainbow Sticker|None|Orange Pigtails|Smile|Aloha Shirt|Caramel Ape||Wrench
612|🔴-187|Sobta Magic #265|120.8880999313374|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/265|Common - Lemonade|Fascinated|Heart Glasses|None|None|Green Light Undercut|Triangle|Fur Jacket|Aqua Mutant||Boomerang
613|🔴-198|Sobta Magic #94|120.81385842166537|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/94|Common - Lemon|Normal|Gold Monocle|None|None|Red Helmet|Choco Donut|Denim Shirt|Honey Skin||Guitar
614|🔴-158|Sobta Magic #239|120.71894879607476|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/239|Common - Cookie|Angry|None|None|None|Blonde Double Braid|Lollipop|Hoodie|Earth Mutant||Baseball Bat
615|🔴-140|Sobta Magic #1|120.7173724774704|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/1|Common - Cookie|Normal|Heart Glasses|None|None|Brown Spiky|O Mouth|Yellow T-Shirt|Aqua Mutant||Boomerang
616|🔴-179|Sobta Magic #324|120.69636391021616|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/324|Common - Charcoal|Fascinated|Sunglasses|None|None|Blue Helmet|Triangle|School Uniform|Almond Skin||Squeaky Hammer
617|🟡|Sobta Magic #577|120.65992799382211|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/577|Common - Cotton Candy|Happy|Red Glasses|None|None|Blue Messy|Tongue Out|Pink Overalls|Lava Mutant||Lollipop
618|🔴-191|Sobta Magic #246|120.60118422791754|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/246|Common - Cookie|Happy|None|None|None|Brown Spiky|Tongue Out|Aloha Shirt|Honey Skin||Fire Staff
619|🟡|Sobta Magic #572|120.50614873007058|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/572|Common - Cookie|Angry|None|None|None|Blonde Palm Tree|Grin|Business Suit|Milk Skin||Sketch Board
620|🔴-262|Sobta Magic #333|120.50475024437921|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/333|Common - Lemonade|Normal|Heart Glasses|Tattoo|None|Blue Messy|Triangle|White Overalls|Chocolate Skin||Baseball Bat
621|🟡|Sobta Magic #747|120.5039479990383|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/747|Common - Taro Milk|Bored|None|Plaster|None|Blue Messy|Smile|Pink Overalls|Chocolate Skin||Sketch Board
622|🔴-176|Sobta Magic #519|120.43297619136636|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/519|Common - Sky|Sad|None|None|None|White Undercut|Wafer Roll|White T-Shirt|Aqua Mutant||Boomerang
623|🔴-197|Sobta Magic #354|120.41715466314108|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/354|Common - Charcoal|Sad|None|None|None|Blonde Palm Tree|Smile|Yellow T-Shirt|Earth Mutant||Fire Staff
624|🟡|Sobta Magic #712|120.27011538165063|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/712|Common - Lemon|Angry|Sunglasses|Pain Relief Patch|None|Brown Bubble|Smile|Hoodie|Honey Skin||Fire Staff
625|🟡|Sobta Magic #704|120.2189671929749|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/704|Common - Charcoal|Sad|Gold Glasses|None|None|Brown Palm Tree|Grumpy|Black Overalls|Aqua Mutant||Wrench
626|🔴-232|Sobta Magic #257|120.14371115454239|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/257|Common - Sky|Surprised|Heart Glasses|None|None|Pink Inverted Bob|Tongue Out|Pink Overalls|Milk Tea Skin||Baseball Bat
627|🔴-154|Sobta Magic #11|119.93932023229166|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/11|Common - Cookie|Bored|None|None|None|Brown Spiky|Wafer Roll|Black Overalls|Almond Skin||Sketch Board
628|🔴-178|Sobta Magic #293|119.82300437417726|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/293|Common - Lemonade|Surprised|Sunglasses|Pain Relief Patch|None|Black Dreadlocks|Bread|White T-Shirt|Milk Skin||Baseball Bat
629|🔴-170|Sobta Magic #89|119.8147383594924|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/89|Common - Cotton Candy|Fascinated|None|Pain Relief Patch|None|Brown Bubble|Smirk|Fur Jacket|Honey Skin||Water Staff
630|🔴-209|Sobta Magic #105|119.75603132086104|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/105|Common - Cookie|Sad|Sunglasses|None|None|Violet Ponytail|Open Smile|Black Overalls|Milk Skin||Fountain Pen
631|🔴-193|Sobta Magic #10|119.68742499094385|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/10|Common - Lemon|Bored|Gold Monocle|Star Sticker|None|Orange Pigtails|Smile|Barista Suit|Chocolate Skin||Bunching Onion
632|🔴-177|Sobta Magic #428|119.58347235353096|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/428|Common - Peach|Angry|Sunglasses|Pain Relief Patch|None|Red Helmet|Choco Donut|Hoodie|Aqua Mutant||Bunching Onion
633|🔴-205|Sobta Magic #314|119.57802708417394|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/314|Common - Charcoal|Wink|None|Sobta Sticker|None|Violet Ponytail|Tongue Out|Denim Shirt|Honey Skin||Baseball Bat
634|🔴-246|Sobta Magic #259|119.5773600409334|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/259|Common - Cotton Candy|Fascinated|Red Glasses|None|None|Violet Ponytail|Open Smile|White Overalls|Chocolate Skin||Squeaky Hammer
635|🟡|Sobta Magic #594|119.44214800089676|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/594|Common - Cotton Candy|Angry|None|Pain Relief Patch|None|Captain Boy|Strawberry Stick|White Overalls|Aqua Mutant||Guitar
636|🔴-195|Sobta Magic #27|119.34636620161476|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/27|Common - Charcoal|Normal|None|Pain Relief Patch|None|Black Dreadlocks|Choco Donut|Pink Overalls|Espresso Skin||Guitar
637|🔴-221|Sobta Magic #245|119.09164064298095|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/245|Common - Sky|Normal|None|Tattoo|None|Pink Inverted Bob|O Mouth|Pink Overalls|Chocolate Skin||Guitar
638|🟡|Sobta Magic #718|119.08136970315495|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/718|Common - Peach|Normal|Heart Glasses|None|None|White Bubble|Smile|School Uniform|Chocolate Skin||Boomerang
639|🟡|Sobta Magic #752|119.04018406664042|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/752|Common - Sky|Happy|Red Glasses|None|None|Black Bucket Hat|Strawberry Stick|Aloha Shirt|Espresso Skin||Baseball Bat
640|🟡|Sobta Magic #655|118.91482734473212|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/655|Common - Cotton Candy|Surprised|Gold Monocle|None|None|Orange Hime Cut|O Mouth|Black Jacket|Almond Skin||Baseball Bat
641|🔴-161|Sobta Magic #8|118.84960812064202|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/8|Common - Sky|Wink|Sunglasses|None|None|Brown Bubble|Grumpy|Barista Suit|Almond Skin||Lollipop
642|🟡|Sobta Magic #745|118.79435450305735|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/745|Common - Charcoal|Surprised|Red Glasses|Tattoo|None|Orange Hime Cut|Open Smile|Hoodie|Milk Skin||Wrench
643|🟡|Sobta Magic #588|118.79015636165381|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/588|Common - Sunset|Fascinated|None|None|None|Captain Girl|Grin|Aloha Shirt|Chocolate Skin||Water Staff
644|🔴-211|Sobta Magic #426|118.76350761217094|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/426|Common - Lemon|Bored|None|Sobta Sticker|None|Red Ponytail|Smirk|Black Overalls|Milk Skin||Carrot
645|🔴-194|Sobta Magic #219|118.76032550198538|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/219|Common - Sky|Surprised|None|Sobta Sticker|None|Black Dreadlocks|Smile|Fur Jacket|Chocolate Skin||Wrench
646|🔴-291|Sobta Magic #256|118.65519469325523|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/256|Common - Charcoal|Angry|None|None|None|Orange Pigtails|Tongue Out|White T-Shirt|Fire Cyborg||Squeaky Hammer
647|🔴-243|Sobta Magic #255|118.58194175097573|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/255|Common - Sky|Wink|None|None|None|Pink Side Braid|Smile|Sailor Suit|Caramel Ape||Wrench
648|🔴-226|Sobta Magic #152|118.47102032316317|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/152|Common - Cotton Candy|Surprised|Red Glasses|Tattoo|None|Orange Pigtails|Grin|Black Overalls|Almond Skin||Fountain Pen
649|🔴-357|Sobta Magic #475|118.39150742391881|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/475|Common - Lemon|Angry|None|Plaster|None|Blue Double Braid|Triangle|Fur Jacket|Espresso Skin||Boomerang
650|🟡|Sobta Magic #670|118.28115592910488|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/670|Common - Sunset|Surprised|None|Plaster|None|Black Bucket Hat|Grin|Fur Jacket|Lava Mutant||Guitar
651|🔴-181|Sobta Magic #401|118.09290397483639|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/401|Common - Cotton Candy|Happy|None|None|None|Black Bucket Hat|Smile|Yellow T-Shirt|Chocolate Skin||Syringe
652|🔴-173|Sobta Magic #387|118.05757781966905|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/387|Common - Lemonade|Normal|Sunglasses|None|None|Brown Spiky|Smile|Business Suit|Espresso Skin||Bunching Onion
653|🟡|Sobta Magic #561|118.00530990095558|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/561|Common - Sky|Angry|None|Pain Relief Patch|None|White Bucket Hat|Grin|Barista Suit|Chocolate Skin||Lollipop
654|🔴-257|Sobta Magic #190|117.99288981848774|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/190|Common - Cookie|Wink|None|None|None|Pink Inverted Bob|Grin|Fur Jacket|Earth Mutant||Baseball Bat
655|🔴-172|Sobta Magic #17|117.83027135886447|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/17|Common - Lemonade|Wink|Sunglasses|Pain Relief Patch|None|Black Dreadlocks|Smirk|Yellow T-Shirt|Milk Tea Skin||Baseball Bat
656|🔴-184|Sobta Magic #489|117.81115290039787|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/489|Common - Charcoal|Bored|None|None|None|Green Light Undercut|Bread|Yellow T-Shirt|Milk Skin||Syringe
657|🔴-181|Sobta Magic #172|117.78577243092502|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/172|Common - Cookie|Bored|Sunglasses|Pain Relief Patch|None|Captain Girl|Tongue Out|Black Overalls|Caramel Ape||Wrench
658|🔴-192|Sobta Magic #493|117.56657538421543|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/493|Common - Lemon|Normal|Heart Glasses|None|None|Brown Palm Tree|Bread|White T-Shirt|Milk Tea Skin||Squeaky Hammer
659|🟡|Sobta Magic #684|117.52264653942215|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/684|Common - Sunset|Surprised|None|None|None|Blue Messy|Triangle|Fur Jacket|Milk Skin||Fire Staff
660|🟡|Sobta Magic #795|117.35018846162201|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/795|Common - Cookie|Angry|Red Glasses|None|None|Green Light Undercut|Wafer Roll|Yellow T-Shirt|Honey Skin||Squeaky Hammer
661|🔴-204|Sobta Magic #84|117.10841056964246|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/84|Common - Charcoal|Angry|Heart Glasses|None|None|Captain Girl|Smile|Sailor Suit|Lava Mutant||Baseball Bat
662|🟡|Sobta Magic #689|117.06435140071052|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/689|Common - Cotton Candy|Wink|None|None|None|Pink Inverted Bob|Triangle|Aloha Shirt|Almond Skin||Lollipop
663|🔴-220|Sobta Magic #68|116.88311430820461|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/68|Common - Sunset|Bored|None|Tattoo|None|White Undercut|O Mouth|White T-Shirt|Chocolate Skin||Boomerang
664|🔴-203|Sobta Magic #199|116.71034025299105|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/199|Common - Lemonade|Sad|Red Glasses|Plaster|None|Green Light Undercut|Triangle|Black Jacket|Almond Skin||Baseball Bat
665|🟡|Sobta Magic #782|116.68459029918917|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/782|Common - Lemon|Bored|None|Plaster|None|Green Comma|Tongue Out|Hoodie|Chocolate Skin||Lollipop
666|🟡|Sobta Magic #597|116.54008381023974|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/597|Common - Cotton Candy|Surprised|None|None|None|Green Light Undercut|Strawberry Stick|White Overalls|Lava Mutant||Sketch Board
667|🟡|Sobta Magic #640|116.51469789769168|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/640|Common - Lemon|Angry|None|Sobta Sticker|None|Orange Pigtails|Bread|Black Overalls|Honey Skin||Carrot
668|🔴-171|Sobta Magic #62|116.219876680568|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/62|Common - Taro Milk|Bored|None|None|None|Orange Pigtails|Triangle|White T-Shirt|Honey Skin||Nature Staff
669|🔴-225|Sobta Magic #241|116.1009660381038|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/241|Common - Peach|Surprised|None|Pain Relief Patch|None|Blonde Palm Tree|Tongue Out|Aloha Shirt|Caramel Ape||Carrot
670|🔴-295|Sobta Magic #4|116.06526298519034|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/4|Common - Lemonade|Bored|None|None|None|Black Comma|Smile|Hoodie|Fire Cyborg||Guitar
671|🟡|Sobta Magic #666|116.05714841635992|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/666|Common - Cotton Candy|Bored|None|Star Sticker|None|Orange Spiky|Grumpy|Hoodie|Milk Tea Skin||Bunching Onion
672|🔴-203|Sobta Magic #23|115.96860928451574|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/23|Common - Lemonade|Angry|None|Tattoo|None|Brown Bubble|O Mouth|White Overalls|Espresso Skin||Sketch Board
673|🔴-271|Sobta Magic #419|115.90044651832892|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/419|Common - Sunset|Happy|Red Glasses|None|None|Orange Pigtails|Grin|Denim Shirt|Almond Skin||Sketch Board
674|🔴-207|Sobta Magic #336|115.53868079872383|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/336|Common - Taro Milk|Normal|None|Pain Relief Patch|None|Blue Helmet|Open Smile|Black Overalls|Earth Mutant||Guitar
675|🔴-184|Sobta Magic #481|115.46073746229835|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/481|Common - Cotton Candy|Normal|None|None|None|Black Comma|Open Smile|Black Jacket|Caramel Ape||Boomerang
676|🔴-216|Sobta Magic #28|115.23865067884348|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/28|Common - Cotton Candy|Surprised|Gold Monocle|None|None|Brown Palm Tree|Smirk|Barista Suit|Lava Mutant||Boomerang
677|🟡|Sobta Magic #685|115.17943281956188|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/685|Common - Charcoal|Sad|None|None|None|Orange Spiky|Smile|Yellow T-Shirt|Earth Mutant||Baseball Bat
678|🔴-330|Sobta Magic #244|114.99212149737805|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/244|Common - Cookie|Sad|None|None|None|Blue Double Braid|Grumpy|School Uniform|Chocolate Skin||Squeaky Hammer
679|🔴-301|Sobta Magic #295|114.8843957467742|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/295|Common - Peach|Fascinated|None|None|None|Pink Side Braid|Strawberry Stick|Pink Overalls|Almond Skin||Fountain Pen
680|🟡|Sobta Magic #621|114.77202871462397|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/621|Common - Lemonade|Sad|None|None|None|Captain Girl|Smile|Pink Overalls|Espresso Skin||Fire Staff
681|🔴-217|Sobta Magic #64|114.75322909910507|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/64|Common - Sunset|Bored|None|Star Sticker|None|Orange Pigtails|Bread|School Uniform|Aqua Mutant||Baseball Bat
682|🔴-217|Sobta Magic #360|114.7504092648837|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/360|Common - Sunset|Bored|Sunglasses|None|None|Brown Palm Tree|Smirk|Hoodie|Honey Skin||Water Staff
683|🟡|Sobta Magic #687|114.51979764141944|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/687|Common - Peach|Wink|None|None|None|Violet Ponytail|Wafer Roll|Denim Shirt|Milk Skin||Guitar
684|🟡|Sobta Magic #779|114.42686570372874|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/779|Common - Lemon|Bored|None|Plaster|None|Orange Pigtails|Grumpy|Fur Jacket|Chocolate Skin||Sketch Board
685|🔴-200|Sobta Magic #57|114.34882563056036|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/57|Common - Charcoal|Normal|None|Tattoo|None|Blonde Dreadlocks|Smile|Yellow T-Shirt|Earth Mutant||Wrench
686|🔴-179|Sobta Magic #400|114.19426664074375|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/400|Common - Taro Milk|Wink|None|Plaster|None|Red Helmet|Triangle|Yellow T-Shirt|Lava Mutant||Bunching Onion
687|🔴-174|Sobta Magic #180|114.0834973048376|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/180|Common - Sunset|Sad|None|None|None|Brown Spiky|Smile|Black Jacket|Vanilla Ape||Guitar
688|🔴-198|Sobta Magic #117|114.0152263992873|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/117|Common - Taro Milk|Fascinated|None|Star Sticker|None|Black Comma|Grumpy|Hoodie|Earth Mutant||Guitar
689|🔴-173|Sobta Magic #542|113.97759834694831|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/542|Common - Taro Milk|Normal|None|None|None|Green Comma|Wafer Roll|Barista Suit|Honey Skin||Fountain Pen
690|🔴-212|Sobta Magic #552|113.8414163234065|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/552|Common - Lemon|Bored|None|None|None|Green Comma|O Mouth|Barista Suit|Lava Mutant||Squeaky Hammer
691|🔴-228|Sobta Magic #529|113.80230528878954|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/529|Common - Cotton Candy|Bored|None|Pain Relief Patch|None|Red Ponytail|Triangle|Sailor Suit|Espresso Skin||Guitar
692|🟡|Sobta Magic #733|113.79428693561236|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/733|Common - Taro Milk|Angry|Sunglasses|None|None|Red Helmet|Wafer Roll|White Overalls|Honey Skin||Carrot
693|🟡|Sobta Magic #719|113.59277990118291|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/719|Common - Sunset|Sad|None|None|None|Green Comma|Open Smile|Aloha Shirt|Aqua Mutant||Carrot
694|🟡|Sobta Magic #772|113.5691945085784|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/772|Common - Sunset|Fascinated|None|None|None|Blonde-Brown Man Bun|Bread|White T-Shirt|Milk Tea Skin||Lollipop
695|🔴-200|Sobta Magic #533|113.49167753449873|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/533|Common - Lemon|Wink|None|None|None|Green Light Undercut|Grin|Yellow T-Shirt|Honey Skin||Sketch Board
696|🔴-215|Sobta Magic #300|113.42582409900486|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/300|Common - Charcoal|Normal|None|Star Sticker|None|White Undercut|Grin|White T-Shirt|Almond Skin||Bunching Onion
697|🟡|Sobta Magic #628|113.25485026054628|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/628|Common - Peach|Normal|None|Tattoo|None|Pink Inverted Bob|Smirk|Hoodie|Almond Skin||Guitar
698|🔴-175|Sobta Magic #41|113.11948932870082|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/41|Common - Sky|Angry|None|Plaster|None|White Bubble|O Mouth|Black Jacket|Milk Tea Skin||Bunching Onion
699|🟡|Sobta Magic #771|113.01429866544716|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/771|Common - Charcoal|Surprised|None|None|None|Blue Double Braid|Bread|Aloha Shirt|Milk Tea Skin||Squeaky Hammer
700|🔴-242|Sobta Magic #83|112.82564734319821|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/83|Common - Peach|Fascinated|None|None|None|Green Light Undercut|Strawberry Stick|Aloha Shirt|Almond Skin||Fountain Pen
701|🔴-192|Sobta Magic #13|112.49608897029535|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/13|Common - Cookie|Wink|None|None|None|Green Light Undercut|Smile|Black Jacket|Chocolate Skin||Sketch Board
702|🟡|Sobta Magic #595|112.41021625486333|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/595|Common - Sky|Happy|None|None|None|Blonde-Brown Man Bun|Choco Donut|Pink Overalls|Milk Tea Skin||Boomerang
703|🔴-221|Sobta Magic #453|112.39701937736324|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/453|Common - Taro Milk|Angry|None|None|None|White Undercut|Grumpy|Business Suit|Almond Skin||Boomerang
704|🟡|Sobta Magic #581|112.09066046445261|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/581|Common - Cookie|Normal|None|Pain Relief Patch|None|Brown Bubble|Grin|Hoodie|Caramel Ape||Carrot
705|🔴-170|Sobta Magic #358|112.06070105909122|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/358|Common - Cookie|Fascinated|None|None|None|Brown Bubble|Wafer Roll|Hoodie|Chocolate Skin||Lollipop
706|🟡|Sobta Magic #582|112.05244640319934|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/582|Common - Sunset|Surprised|None|Pain Relief Patch|None|Pink Inverted Bob|Smirk|White Overalls|Chocolate Skin||Carrot
707|🔴-208|Sobta Magic #431|112.00103046308297|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/431|Common - Peach|Surprised|None|Pain Relief Patch|None|Red Helmet|Grin|Yellow T-Shirt|Milk Tea Skin||Lollipop
708|🔴-303|Sobta Magic #454|111.88519087529177|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/454|Common - Sky|Surprised|None|Star Sticker|None|Orange Hime Cut|Smirk|White Overalls|Chocolate Skin||Baseball Bat
709|🔴-184|Sobta Magic #202|111.86348262166504|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/202|Common - Sunset|Bored|None|Tattoo|None|White Bubble|Grumpy|Yellow T-Shirt|Honey Skin||Guitar
710|🔴-216|Sobta Magic #25|111.86094225927822|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/25|Common - Taro Milk|Normal|None|Star Sticker|None|Captain Girl|Open Smile|Black Overalls|Espresso Skin||Bunching Onion
711|🔴-218|Sobta Magic #130|111.69004833898295|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/130|Common - Taro Milk|Sad|Sunglasses|None|None|Brown Palm Tree|Tongue Out|Hoodie|Aqua Mutant||Fountain Pen
712|🔴-214|Sobta Magic #546|111.57762812591317|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/546|Common - Cotton Candy|Normal|None|None|None|Brown Palm Tree|Lollipop|School Uniform|Almond Skin||Wrench
713|🔴-226|Sobta Magic #429|111.49268746874144|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/429|Common - Cotton Candy|Wink|None|Pain Relief Patch|None|Blonde Dreadlocks|Smirk|White Overalls|Espresso Skin||Wrench
714|🔴-214|Sobta Magic #509|111.48013579333896|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/509|Common - Sunset|Fascinated|Gold Monocle|None|None|Red Helmet|Smile|Hoodie|Espresso Skin||Wrench
715|🔴-213|Sobta Magic #156|111.42468443529857|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/156|Common - Peach|Wink|Sunglasses|None|None|Blonde Palm Tree|Grumpy|Pink Overalls|Lava Mutant||Wrench
716|🟡|Sobta Magic #744|111.38858452751292|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/744|Common - Taro Milk|Surprised|None|None|None|Black Dreadlocks|Bread|Black Overalls|Milk Tea Skin||Guitar
717|🔴-249|Sobta Magic #134|111.300048926809|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/134|Common - Cotton Candy|Surprised|Sunglasses|None|None|Pink Side Braid|Wafer Roll|Hoodie|Milk Tea Skin||Bunching Onion
