rank|name|score|link|Bg|Body|Eye|Earring|Hair|Clothing|Mouth
1|GoblinTownHero #2065|686.370871755066|https://quixotic.io/asset/0x0f027dD51D793b91e630AdFb268a61A54fe1c7Bc/2065|Olive|Sky|Round|Envy|GOBGOB|Star Hero|Happy
2|GoblinTownHero #1018|503.25076424240854|https://quixotic.io/asset/0x0f027dD51D793b91e630AdFb268a61A54fe1c7Bc/1018|Starry Arctic|Fern|Round|Wrath|Pink Bear|Fern|Star Puke
3|GoblinTownHero #2532|499.9492056132957|https://quixotic.io/asset/0x0f027dD51D793b91e630AdFb268a61A54fe1c7Bc/2532|Flora|Pickle|Gazed|Greed|Egg|Multicolor|Grumpy
4|GoblinTownHero #1976|474.7555221820603|https://quixotic.io/asset/0x0f027dD51D793b91e630AdFb268a61A54fe1c7Bc/1976|Butter|Sky|Angry|Wrath|Dark Bedhead|Melting|Rainbow Puke
5|GoblinTownHero #3264|472.03214906256966|https://quixotic.io/asset/0x0f027dD51D793b91e630AdFb268a61A54fe1c7Bc/3264|Starry Emerald|Fern|Ghost|Wrath|Pink Bear|Star Hero|Gasp
6|GoblinTownHero #2969|467.06341417798404|https://quixotic.io/asset/0x0f027dD51D793b91e630AdFb268a61A54fe1c7Bc/2969|Sky|Fern|Ghost|Wrath|Sapling|Star Hero|Goblin
7|GoblinTownHero #2686|466.9093043650814|https://quixotic.io/asset/0x0f027dD51D793b91e630AdFb268a61A54fe1c7Bc/2686|Starry Orange|Fern|Gazed|Wrath|Mint Slicked|Cerulean|Tongue Out
8|GoblinTownHero #3136|462.8312663389402|https://quixotic.io/asset/0x0f027dD51D793b91e630AdFb268a61A54fe1c7Bc/3136|Coconut|Pickle|Wayfarer|Envy|Star Bucket|Multicolor|Cheeky Smile
9|GoblinTownHero #2741|458.5078199788981|https://quixotic.io/asset/0x0f027dD51D793b91e630AdFb268a61A54fe1c7Bc/2741|Starry Orange|Moss|Snake|Wrath|Mint Slicked|Cerulean|Smirk
10|GoblinTownHero #858|454.73023160724847|https://quixotic.io/asset/0x0f027dD51D793b91e630AdFb268a61A54fe1c7Bc/858|Pink|Fern|Round White|Wrath|Blue Sideswept|Fern|Neutral Smile
11|GoblinTownHero #612|447.68168806238083|https://quixotic.io/asset/0x0f027dD51D793b91e630AdFb268a61A54fe1c7Bc/612|Mint|Sky|Angry|Wrath|Mint Slicked|Fire|Neutral Smile
12|GoblinTownHero #2802|439.22776723027965|https://quixotic.io/asset/0x0f027dD51D793b91e630AdFb268a61A54fe1c7Bc/2802|Butter|Fern|Angry|Wrath|Mint Slicked|Ether|Grumpy
13|GoblinTownHero #1824|430.6642915493697|https://quixotic.io/asset/0x0f027dD51D793b91e630AdFb268a61A54fe1c7Bc/1824|Starry Arctic|Pickle|Wayfarer|Gold Ether|GOBGOB|Armor|Neutral Smile
14|GoblinTownHero #2761|430.2670424265155|https://quixotic.io/asset/0x0f027dD51D793b91e630AdFb268a61A54fe1c7Bc/2761|Fire|Pickle|Snake|Greed|Pink Bear|Pistachio|Smirk
15|GoblinTownHero #307|429.60317084257747|https://quixotic.io/asset/0x0f027dD51D793b91e630AdFb268a61A54fe1c7Bc/307|Pink|Crimson|Round White|Sloth|Gold|Sun And Moon|Fang
16|GoblinTownHero #1059|425.03338278736715|https://quixotic.io/asset/0x0f027dD51D793b91e630AdFb268a61A54fe1c7Bc/1059|Starry Emerald|Crimson|Cry|Edge|GOBGOB|Lilly|Grumpy
17|GoblinTownHero #1497|424.86085581980603|https://quixotic.io/asset/0x0f027dD51D793b91e630AdFb268a61A54fe1c7Bc/1497|Butter|Fern|Neutral|Edge|GOBGOB|Pistachio|Neutral Smile
18|GoblinTownHero #3037|423.8676657227767|https://quixotic.io/asset/0x0f027dD51D793b91e630AdFb268a61A54fe1c7Bc/3037|Mint|Moss|Ghost|None|GOBGOB|Ribbon|Rainbow Puke
19|GoblinTownHero #630|423.02011537045|https://quixotic.io/asset/0x0f027dD51D793b91e630AdFb268a61A54fe1c7Bc/630|Rainbow|Moss|Neutral|Greed|Peach Fringe|Lilly|Gasp
20|GoblinTownHero #3020|419.5231336280693|https://quixotic.io/asset/0x0f027dD51D793b91e630AdFb268a61A54fe1c7Bc/3020|Butter|Pickle|Snake|Pride|GOB|Ether|Happy
21|GoblinTownHero #1875|417.2732100292238|https://quixotic.io/asset/0x0f027dD51D793b91e630AdFb268a61A54fe1c7Bc/1875|Fire|Fern|Sad|Gold Ether|GOBGOB|Honey Cape|Neutral Smile
22|GoblinTownHero #1645|412.81294169668206|https://quixotic.io/asset/0x0f027dD51D793b91e630AdFb268a61A54fe1c7Bc/1645|Mint|Fern|Cry|Greed|Egg|Cerulean|Gasp
23|GoblinTownHero #305|411.0320287196387|https://quixotic.io/asset/0x0f027dD51D793b91e630AdFb268a61A54fe1c7Bc/305|Butter|Moss|Snake|Greed|Lemon Trapperer|Pistachio|Grumpy
24|GoblinTownHero #1682|409.16509119947654|https://quixotic.io/asset/0x0f027dD51D793b91e630AdFb268a61A54fe1c7Bc/1682|Sky|Fern|Wayfarer|Greed|Boat|Melting|Cheeky Smile
25|GoblinTownHero #3039|404.946440756418|https://quixotic.io/asset/0x0f027dD51D793b91e630AdFb268a61A54fe1c7Bc/3039|Olive|Sky|Neutral|Greed|Egg|Carrot|Tongue Out
26|GoblinTownHero #2926|401.0916844983278|https://quixotic.io/asset/0x0f027dD51D793b91e630AdFb268a61A54fe1c7Bc/2926|Starry Arctic|Sky|Snake|None|GOBGOB|Lilly|Happy
27|GoblinTownHero #342|400.14424623822777|https://quixotic.io/asset/0x0f027dD51D793b91e630AdFb268a61A54fe1c7Bc/342|Coconut|Moss|Cry|Greed|Afro|Ribbon|Smirk
28|GoblinTownHero #2029|399.0355433017437|https://quixotic.io/asset/0x0f027dD51D793b91e630AdFb268a61A54fe1c7Bc/2029|Sky|Crimson|Neutral|Envy|Wizard|Hero Cape|Drowsy
29|GoblinTownHero #898|398.1633548360957|https://quixotic.io/asset/0x0f027dD51D793b91e630AdFb268a61A54fe1c7Bc/898|Sky|Pickle|Neutral|Greed|Green Robin|Ether|Neutral Smile
30|GoblinTownHero #1672|392.108286477331|https://quixotic.io/asset/0x0f027dD51D793b91e630AdFb268a61A54fe1c7Bc/1672|Salmon|Pickle|Angry|Greed|Egg|Lilly|Neutral Smile
31|GoblinTownHero #1849|392.09858046462574|https://quixotic.io/asset/0x0f027dD51D793b91e630AdFb268a61A54fe1c7Bc/1849|Starry Orange|Fern|Angry|None|GOBGOB|Lilly|Happy
32|GoblinTownHero #2516|389.5199572438475|https://quixotic.io/asset/0x0f027dD51D793b91e630AdFb268a61A54fe1c7Bc/2516|Butter|Moss|Neutral|Envy|Gold|Rock|Neutral Smile
33|GoblinTownHero #2755|389.2689087738929|https://quixotic.io/asset/0x0f027dD51D793b91e630AdFb268a61A54fe1c7Bc/2755|Flora|Moss|Cry|Greed|Blue Braids|Ether|Happy
34|GoblinTownHero #2738|389.2617692116389|https://quixotic.io/asset/0x0f027dD51D793b91e630AdFb268a61A54fe1c7Bc/2738|Butter|Pickle|Ghost|None|GOBGOB|Fire|Grumpy
35|GoblinTownHero #822|386.12359870428736|https://quixotic.io/asset/0x0f027dD51D793b91e630AdFb268a61A54fe1c7Bc/822|Butter|Moss|Angry|None|GOBGOB|Fern|Smirk
36|GoblinTownHero #2369|385.4797362439723|https://quixotic.io/asset/0x0f027dD51D793b91e630AdFb268a61A54fe1c7Bc/2369|Starry Emerald|Moss|8BIT|Envy|Cat|Lilly|Neutral Smile
37|GoblinTownHero #3027|385.4642659076222|https://quixotic.io/asset/0x0f027dD51D793b91e630AdFb268a61A54fe1c7Bc/3027|Orchid|Crimson|Gazed|Envy|Salmon Short|Royal|Smirk
38|GoblinTownHero #2406|379.94692057136825|https://quixotic.io/asset/0x0f027dD51D793b91e630AdFb268a61A54fe1c7Bc/2406|Pink|Fern|8BIT|Envy|Blue Braids|Royal|Happy
39|GoblinTownHero #179|374.52123028466826|https://quixotic.io/asset/0x0f027dD51D793b91e630AdFb268a61A54fe1c7Bc/179|Sky|Pickle|Cry|Envy|Afro|Stars|Gasp
40|GoblinTownHero #2859|373.24490917033506|https://quixotic.io/asset/0x0f027dD51D793b91e630AdFb268a61A54fe1c7Bc/2859|Flora|Fern|Ghost|Envy|Blue Braids|Royal|Grumpy
41|GoblinTownHero #496|372.34662503138054|https://quixotic.io/asset/0x0f027dD51D793b91e630AdFb268a61A54fe1c7Bc/496|Butter|Fern|Cry|Gluttony|Salmon Short|Multicolor|Star Puke
42|GoblinTownHero #571|368.77664104295235|https://quixotic.io/asset/0x0f027dD51D793b91e630AdFb268a61A54fe1c7Bc/571|Night|Moss|Round White|Envy|Shroom|Ether|Neutral Smile
43|GoblinTownHero #162|358.26452517535574|https://quixotic.io/asset/0x0f027dD51D793b91e630AdFb268a61A54fe1c7Bc/162|Coconut|Moss|Angry|Envy|Salmon Short|Honey Cape|Neutral Smile
44|GoblinTownHero #943|353.4234385014614|https://quixotic.io/asset/0x0f027dD51D793b91e630AdFb268a61A54fe1c7Bc/943|Mint|Moss|Ghost|Envy|Mint Slicked|Lilly|Smirk
45|GoblinTownHero #3231|350.8119814907728|https://quixotic.io/asset/0x0f027dD51D793b91e630AdFb268a61A54fe1c7Bc/3231|Spiky|Pickle|Angry|Sloth|Halo|Stars|Smirk
46|GoblinTownHero #281|348.4506523838009|https://quixotic.io/asset/0x0f027dD51D793b91e630AdFb268a61A54fe1c7Bc/281|Cosmo Night|Sky|Gazed|Gluttony|Pink Bear|Ether|Happy
47|GoblinTownHero #79|347.3999740248896|https://quixotic.io/asset/0x0f027dD51D793b91e630AdFb268a61A54fe1c7Bc/79|Starry Orange|Moss|8BIT|Pride|Red Band|Rock|Grumpy
48|GoblinTownHero #206|346.5604222683371|https://quixotic.io/asset/0x0f027dD51D793b91e630AdFb268a61A54fe1c7Bc/206|Starry Candy|Pickle|Neutral|Pride|Red Band|Yellow Dark|Goblin
49|GoblinTownHero #3087|343.8718576634777|https://quixotic.io/asset/0x0f027dD51D793b91e630AdFb268a61A54fe1c7Bc/3087|Gradient|Moss|Hungover|Sloth|Blue Sideswept|Armor|Tongue Out
50|GoblinTownHero #940|342.71129263483465|https://quixotic.io/asset/0x0f027dD51D793b91e630AdFb268a61A54fe1c7Bc/940|Night|Moss|X|Lust|Halo|Royal|Smirk
51|GoblinTownHero #151|339.1096641753754|https://quixotic.io/asset/0x0f027dD51D793b91e630AdFb268a61A54fe1c7Bc/151|Pink|Fern|8BIT|Pride|Night Cap|Rock|Cheeky Smile
52|GoblinTownHero #1311|331.6676732314037|https://quixotic.io/asset/0x0f027dD51D793b91e630AdFb268a61A54fe1c7Bc/1311|Spiky|Crimson|Wayfarer|Pride|Sapling|Star Hero|Happy
53|GoblinTownHero #2040|331.64817636020587|https://quixotic.io/asset/0x0f027dD51D793b91e630AdFb268a61A54fe1c7Bc/2040|Salmon|Moss|Round White|None|Halo|Backpacker|Fang
54|GoblinTownHero #2907|330.2943963479802|https://quixotic.io/asset/0x0f027dD51D793b91e630AdFb268a61A54fe1c7Bc/2907|Vortex|Moss|Round White|Pride|Blue Braids|Armor|Smirk
55|GoblinTownHero #679|328.2338975835886|https://quixotic.io/asset/0x0f027dD51D793b91e630AdFb268a61A54fe1c7Bc/679|Starry Candy|Crimson|Wayfarer|Sloth|Peach Fringe|Armor|Grumpy
56|GoblinTownHero #2099|327.18746277888414|https://quixotic.io/asset/0x0f027dD51D793b91e630AdFb268a61A54fe1c7Bc/2099|Night|Moss|Sad|Pride|Night Cap|Punch|Happy
57|GoblinTownHero #2930|327.0490394244369|https://quixotic.io/asset/0x0f027dD51D793b91e630AdFb268a61A54fe1c7Bc/2930|Coconut|Moss|Angry|Pride|Night Cap|Honey Cape|Grumpy
58|GoblinTownHero #718|319.6791439971891|https://quixotic.io/asset/0x0f027dD51D793b91e630AdFb268a61A54fe1c7Bc/718|Olive|Moss|Round|Pride|Lemon Trapperer|Stars|Goblin
59|GoblinTownHero #808|318.8348013968076|https://quixotic.io/asset/0x0f027dD51D793b91e630AdFb268a61A54fe1c7Bc/808|Salmon|Fern|Hungover|Sloth|Dark Bedhead|Cerulean|Star Puke
60|GoblinTownHero #2439|318.29681681648253|https://quixotic.io/asset/0x0f027dD51D793b91e630AdFb268a61A54fe1c7Bc/2439|Vortex|Moss|Round Rainbow|Sloth|Peach Bun|Lilly|Goblin
61|GoblinTownHero #882|318.29071165116454|https://quixotic.io/asset/0x0f027dD51D793b91e630AdFb268a61A54fe1c7Bc/882|Starry Arctic|Pickle|Hungover|Sloth|Egg|Rock|Smirk
62|GoblinTownHero #2521|317.65080898772896|https://quixotic.io/asset/0x0f027dD51D793b91e630AdFb268a61A54fe1c7Bc/2521|Salmon|Fern|8BIT|Pride|Blue Sideswept|Fire|Tongue Out
63|GoblinTownHero #3066|316.27210537965504|https://quixotic.io/asset/0x0f027dD51D793b91e630AdFb268a61A54fe1c7Bc/3066|Starry Emerald|Pickle|Cry|Sloth|Peach Bun|Royal|Cheeky Smile
64|GoblinTownHero #2319|315.8228811548498|https://quixotic.io/asset/0x0f027dD51D793b91e630AdFb268a61A54fe1c7Bc/2319|Starry Orange|Moss|Wayfarer|Sloth|Crown|Honey Cape|Gasp
65|GoblinTownHero #1186|310.34669674399703|https://quixotic.io/asset/0x0f027dD51D793b91e630AdFb268a61A54fe1c7Bc/1186|Pink|Fern|Round Rainbow|Gluttony|Boat|Royal|Tongue Out
66|GoblinTownHero #2510|309.64117657038776|https://quixotic.io/asset/0x0f027dD51D793b91e630AdFb268a61A54fe1c7Bc/2510|Fire|Pickle|Round Rainbow|Gluttony|Peach Bun|Stars|Rainbow Puke
67|GoblinTownHero #1244|309.48010543820857|https://quixotic.io/asset/0x0f027dD51D793b91e630AdFb268a61A54fe1c7Bc/1244|Mint|Sky|Round White|Pride|Peach Fringe|Fire|Cheeky Smile
68|GoblinTownHero #72|308.96516909567663|https://quixotic.io/asset/0x0f027dD51D793b91e630AdFb268a61A54fe1c7Bc/72|Night|Moss|Round Rainbow|Gold Ether|Shroom|Backpacker|Star Puke
69|GoblinTownHero #786|308.7474423465347|https://quixotic.io/asset/0x0f027dD51D793b91e630AdFb268a61A54fe1c7Bc/786|Gradient|Pickle|Round White|Lust|Cat|Yellow Dark|Cheeky Smile
70|GoblinTownHero #2740|307.61790685386575|https://quixotic.io/asset/0x0f027dD51D793b91e630AdFb268a61A54fe1c7Bc/2740|Vortex|Pickle|Sad|None|Halo|Backpacker|Smirk
71|GoblinTownHero #2934|307.5573150999311|https://quixotic.io/asset/0x0f027dD51D793b91e630AdFb268a61A54fe1c7Bc/2934|Mint|Fern|Angry|Sloth|Boat|Ether|Tongue Out
72|GoblinTownHero #2916|306.42361017079253|https://quixotic.io/asset/0x0f027dD51D793b91e630AdFb268a61A54fe1c7Bc/2916|Olive|Sky|Snake|Pride|Salmon Short|Lilly|Tongue Out
73|GoblinTownHero #1012|306.2235517598944|https://quixotic.io/asset/0x0f027dD51D793b91e630AdFb268a61A54fe1c7Bc/1012|Butter|Pickle|X|Pride|Crown|Overalls|Smirk
74|GoblinTownHero #2656|303.75126755350124|https://quixotic.io/asset/0x0f027dD51D793b91e630AdFb268a61A54fe1c7Bc/2656|Flora|Sky|Ghost|Sloth|Crown|Adventure|Neutral Smile
75|GoblinTownHero #1590|303.60892084851525|https://quixotic.io/asset/0x0f027dD51D793b91e630AdFb268a61A54fe1c7Bc/1590|Orchid|Fern|Gazed|Pride|Leaf|Fern|Smirk
76|GoblinTownHero #841|303.5947376417553|https://quixotic.io/asset/0x0f027dD51D793b91e630AdFb268a61A54fe1c7Bc/841|Olive|Pickle|Wayfarer|Sloth|Pink Bear|Hero Cape|Cheeky Smile
77|GoblinTownHero #407|300.45376877705195|https://quixotic.io/asset/0x0f027dD51D793b91e630AdFb268a61A54fe1c7Bc/407|Rainbow|Moss|Round White|Lust|Salmon Short|Fern|Happy
78|GoblinTownHero #834|300.14151878766455|https://quixotic.io/asset/0x0f027dD51D793b91e630AdFb268a61A54fe1c7Bc/834|Mint|Pickle|Sad|Pride|Shroom|Ether|Happy
79|GoblinTownHero #1800|300.0309078541068|https://quixotic.io/asset/0x0f027dD51D793b91e630AdFb268a61A54fe1c7Bc/1800|Butter|Moss|Ghost|Sloth|Egg|Stars|Grumpy
80|GoblinTownHero #1403|296.4579394053854|https://quixotic.io/asset/0x0f027dD51D793b91e630AdFb268a61A54fe1c7Bc/1403|Starry Emerald|Crimson|Ghost|Lust|Blue Robin|Carrot|Gasp
81|GoblinTownHero #2669|294.0097477578578|https://quixotic.io/asset/0x0f027dD51D793b91e630AdFb268a61A54fe1c7Bc/2669|Mint|Fern|Cry|Sloth|Dark Bedhead|Cerulean|Cheeky Smile
82|GoblinTownHero #2133|292.4472006038125|https://quixotic.io/asset/0x0f027dD51D793b91e630AdFb268a61A54fe1c7Bc/2133|Orchid|Sky|Round Rainbow|Lust|Shroom|Honey Cape|Grumpy
83|GoblinTownHero #2856|291.0399439293237|https://quixotic.io/asset/0x0f027dD51D793b91e630AdFb268a61A54fe1c7Bc/2856|Olive|Pickle|Ghost|Sloth|Afro|Carrot|Grumpy
84|GoblinTownHero #532|289.58816922703863|https://quixotic.io/asset/0x0f027dD51D793b91e630AdFb268a61A54fe1c7Bc/532|Sky|Fern|Angry|Double|Gold|Backpacker|Smirk
85|GoblinTownHero #3302|289.5007941221517|https://quixotic.io/asset/0x0f027dD51D793b91e630AdFb268a61A54fe1c7Bc/3302|Orchid|Pickle|Neutral|Lust|Bowler|Hero Cape|Happy
86|GoblinTownHero #1811|289.1666912388151|https://quixotic.io/asset/0x0f027dD51D793b91e630AdFb268a61A54fe1c7Bc/1811|Sky|Moss|Hungover|Sloth|White Wavy|Stars|Gasp
87|GoblinTownHero #1465|289.1600647903209|https://quixotic.io/asset/0x0f027dD51D793b91e630AdFb268a61A54fe1c7Bc/1465|Cosmo Night|Fern|Gazed|Big|Gold|Sun And Moon|Grumpy
88|GoblinTownHero #2486|288.8518924970795|https://quixotic.io/asset/0x0f027dD51D793b91e630AdFb268a61A54fe1c7Bc/2486|Salmon|Pickle|Ghost|Gluttony|Kids Beanie|Fire|Gasp
89|GoblinTownHero #1046|282.46836679659776|https://quixotic.io/asset/0x0f027dD51D793b91e630AdFb268a61A54fe1c7Bc/1046|Sky|Fern|Round White|None|Gold|Backpacker|Happy
90|GoblinTownHero #1230|281.70894661983755|https://quixotic.io/asset/0x0f027dD51D793b91e630AdFb268a61A54fe1c7Bc/1230|Butter|Crimson|Neutral|None|Gold|Backpacker|Happy
91|GoblinTownHero #814|280.85994376538974|https://quixotic.io/asset/0x0f027dD51D793b91e630AdFb268a61A54fe1c7Bc/814|Salmon|Fern|Gazed|Big|Night Cap|Backpacker|Tongue Out
92|GoblinTownHero #1335|277.1292174928599|https://quixotic.io/asset/0x0f027dD51D793b91e630AdFb268a61A54fe1c7Bc/1335|Starry Emerald|Pickle|Snake|Lust|Salmon Short|Yellow Dark|Tongue Out
93|GoblinTownHero #1468|274.14452685018273|https://quixotic.io/asset/0x0f027dD51D793b91e630AdFb268a61A54fe1c7Bc/1468|Salmon|Fern|Wayfarer|Lust|White Wavy|Honey Cape|Tongue Out
94|GoblinTownHero #2682|273.016267327352|https://quixotic.io/asset/0x0f027dD51D793b91e630AdFb268a61A54fe1c7Bc/2682|Night|Moss|X|None|Dark Bedhead|Backpacker|Rainbow Puke
95|GoblinTownHero #867|271.1037619485088|https://quixotic.io/asset/0x0f027dD51D793b91e630AdFb268a61A54fe1c7Bc/867|Orchid|Moss|Ghost|Gluttony|Cat|Cerulean|Tongue Out
96|GoblinTownHero #2606|271.0457706060436|https://quixotic.io/asset/0x0f027dD51D793b91e630AdFb268a61A54fe1c7Bc/2606|Starry Candy|Pickle|Cry|Lust|Blue Sideswept|Yellow Dark|Cheeky Smile
97|GoblinTownHero #1254|270.9929845512467|https://quixotic.io/asset/0x0f027dD51D793b91e630AdFb268a61A54fe1c7Bc/1254|Butter|Moss|Snake|Gluttony|Bowler|Punch|Grumpy
98|GoblinTownHero #2356|270.49293242295516|https://quixotic.io/asset/0x0f027dD51D793b91e630AdFb268a61A54fe1c7Bc/2356|Butter|Sky|Sad|Lust|Pink Bear|Adventure|Drowsy
99|GoblinTownHero #278|268.1923824946656|https://quixotic.io/asset/0x0f027dD51D793b91e630AdFb268a61A54fe1c7Bc/278|Night|Crimson|Cry|None|Peach Bun|Backpacker|Tongue Out
100|GoblinTownHero #1798|266.04672475097675|https://quixotic.io/asset/0x0f027dD51D793b91e630AdFb268a61A54fe1c7Bc/1798|Starry Orange|Sky|Ghost|Lust|Blue Sideswept|Cerulean|Cheeky Smile
101|GoblinTownHero #1479|264.350678575776|https://quixotic.io/asset/0x0f027dD51D793b91e630AdFb268a61A54fe1c7Bc/1479|Olive|Pickle|X|Lust|Blue Braids|Yellow Dark|Gasp
102|GoblinTownHero #830|264.1312801303271|https://quixotic.io/asset/0x0f027dD51D793b91e630AdFb268a61A54fe1c7Bc/830|Pink|Pickle|X|Lust|Leaf|Yellow Dark|Neutral Smile
103|GoblinTownHero #481|263.7197732025532|https://quixotic.io/asset/0x0f027dD51D793b91e630AdFb268a61A54fe1c7Bc/481|Olive|Moss|Neutral|Lust|Egg|Lilly|Grumpy
104|GoblinTownHero #2425|263.5713510880736|https://quixotic.io/asset/0x0f027dD51D793b91e630AdFb268a61A54fe1c7Bc/2425|Olive|Sky|Sad|Gluttony|Dark Bedhead|Ether|Fang
105|GoblinTownHero #1877|263.4817973964265|https://quixotic.io/asset/0x0f027dD51D793b91e630AdFb268a61A54fe1c7Bc/1877|Butter|Moss|Angry|Gluttony|Night Cap|Overalls|Happy
106|GoblinTownHero #1418|261.35978224364226|https://quixotic.io/asset/0x0f027dD51D793b91e630AdFb268a61A54fe1c7Bc/1418|Starry Candy|Fern|Ghost|Gold Ether|Blue Sideswept|Backpacker|Drowsy
107|GoblinTownHero #2149|260.51196108182404|https://quixotic.io/asset/0x0f027dD51D793b91e630AdFb268a61A54fe1c7Bc/2149|Starry Candy|Fern|Sad|Lust|Shroom|Lilly|Happy
108|GoblinTownHero #806|259.7199129957854|https://quixotic.io/asset/0x0f027dD51D793b91e630AdFb268a61A54fe1c7Bc/806|Spiky|Fern|Cry|Lust|Blue Braids|Melting|Neutral Smile
109|GoblinTownHero #2429|259.00986868758633|https://quixotic.io/asset/0x0f027dD51D793b91e630AdFb268a61A54fe1c7Bc/2429|Coconut|Fern|Neutral|None|Night Cap|Backpacker|Smirk
110|GoblinTownHero #1055|258.97930997035945|https://quixotic.io/asset/0x0f027dD51D793b91e630AdFb268a61A54fe1c7Bc/1055|Coconut|Moss|Round|Gluttony|Shroom|Overalls|Grumpy
111|GoblinTownHero #1214|258.85387682535503|https://quixotic.io/asset/0x0f027dD51D793b91e630AdFb268a61A54fe1c7Bc/1214|Starry Arctic|Moss|Angry|Gluttony|Peach Fringe|Honey Cape|Cheeky Smile
112|GoblinTownHero #578|256.37865655712153|https://quixotic.io/asset/0x0f027dD51D793b91e630AdFb268a61A54fe1c7Bc/578|Pink|Pickle|Snake|Lust|Pink Bear|Carrot|Neutral Smile
113|GoblinTownHero #2762|256.28435400935564|https://quixotic.io/asset/0x0f027dD51D793b91e630AdFb268a61A54fe1c7Bc/2762|Cosmo Night|Moss|Sad|Edge|Salmon Short|Sun And Moon|Tongue Out
114|GoblinTownHero #654|256.25919706708265|https://quixotic.io/asset/0x0f027dD51D793b91e630AdFb268a61A54fe1c7Bc/654|Butter|Sky|X|Gluttony|Blue Sideswept|Adventure|Cheeky Smile
115|GoblinTownHero #9|255.94718803701022|https://quixotic.io/asset/0x0f027dD51D793b91e630AdFb268a61A54fe1c7Bc/9|Butter|Crimson|Hungover|Gold Ether|Peach Fringe|Backpacker|Gasp
116|GoblinTownHero #2594|255.71747918488936|https://quixotic.io/asset/0x0f027dD51D793b91e630AdFb268a61A54fe1c7Bc/2594|Vortex|Fern|Gazed|Lust|Peach Fringe|Overalls|Grumpy
117|GoblinTownHero #773|254.16477150371364|https://quixotic.io/asset/0x0f027dD51D793b91e630AdFb268a61A54fe1c7Bc/773|Starry Orange|Pickle|Ghost|Gluttony|Star Bucket|Stars|Grumpy
118|GoblinTownHero #1156|254.1598291360218|https://quixotic.io/asset/0x0f027dD51D793b91e630AdFb268a61A54fe1c7Bc/1156|Orchid|Fern|Angry|Gluttony|Peach Bun|Star Hero|Gasp
119|GoblinTownHero #2282|252.54037960495597|https://quixotic.io/asset/0x0f027dD51D793b91e630AdFb268a61A54fe1c7Bc/2282|Olive|Fern|Neutral|Shield|Star Bucket|Backpacker|Gasp
120|GoblinTownHero #2396|252.4646912602618|https://quixotic.io/asset/0x0f027dD51D793b91e630AdFb268a61A54fe1c7Bc/2396|Vortex|Pickle|Hungover|Gold Ether|Leaf|Backpacker|Gasp
121|GoblinTownHero #2596|252.42428070999657|https://quixotic.io/asset/0x0f027dD51D793b91e630AdFb268a61A54fe1c7Bc/2596|Mint|Pickle|Snake|Double|Dark Bedhead|Backpacker|Cheeky Smile
122|GoblinTownHero #625|251.4774491456103|https://quixotic.io/asset/0x0f027dD51D793b91e630AdFb268a61A54fe1c7Bc/625|Flora|Pickle|Angry|Gluttony|Sapling|Ether|Neutral Smile
123|GoblinTownHero #3257|250.76239862376576|https://quixotic.io/asset/0x0f027dD51D793b91e630AdFb268a61A54fe1c7Bc/3257|Coconut|Fern|Angry|Gluttony|Wizard|Ether|Grumpy
124|GoblinTownHero #336|250.15506174899227|https://quixotic.io/asset/0x0f027dD51D793b91e630AdFb268a61A54fe1c7Bc/336|Butter|Pickle|Snake|Lust|Blue Braids|Ether|Cheeky Smile
125|GoblinTownHero #3225|249.02461273092777|https://quixotic.io/asset/0x0f027dD51D793b91e630AdFb268a61A54fe1c7Bc/3225|Cosmo Night|Pickle|X|Gold Ether|Salmon Short|Sun And Moon|Happy
126|GoblinTownHero #1342|246.33746493260108|https://quixotic.io/asset/0x0f027dD51D793b91e630AdFb268a61A54fe1c7Bc/1342|Butter|Pickle|X|Gold Ether|Leaf|Backpacker|Cheeky Smile
127|GoblinTownHero #3218|246.21128802124875|https://quixotic.io/asset/0x0f027dD51D793b91e630AdFb268a61A54fe1c7Bc/3218|Flora|Sky|X|None|GOB|Pistachio|Cheeky Smile
128|GoblinTownHero #1509|246.0612246638477|https://quixotic.io/asset/0x0f027dD51D793b91e630AdFb268a61A54fe1c7Bc/1509|Olive|Moss|Neutral|Gluttony|Dark Bedhead|Melting|Gasp
129|GoblinTownHero #12|245.3944885883047|https://quixotic.io/asset/0x0f027dD51D793b91e630AdFb268a61A54fe1c7Bc/12|Night|Pickle|Ghost|Gluttony|Peach Fringe|Fern|Cheeky Smile
130|GoblinTownHero #1124|244.30285829702265|https://quixotic.io/asset/0x0f027dD51D793b91e630AdFb268a61A54fe1c7Bc/1124|Mint|Moss|Cry|None|Pink Bear|Backpacker|Happy
131|GoblinTownHero #559|243.84693037150242|https://quixotic.io/asset/0x0f027dD51D793b91e630AdFb268a61A54fe1c7Bc/559|Night|Fern|Hungover|Gluttony|White Wavy|Fern|Neutral Smile
132|GoblinTownHero #1628|243.7802552380332|https://quixotic.io/asset/0x0f027dD51D793b91e630AdFb268a61A54fe1c7Bc/1628|Sky|Fern|X|Gluttony|Peach Fringe|Fern|Grumpy
133|GoblinTownHero #3224|243.51457122304316|https://quixotic.io/asset/0x0f027dD51D793b91e630AdFb268a61A54fe1c7Bc/3224|Pink|Fern|Sad|Shield|GOB|Ribbon|Rainbow Puke
