rank|name|score|link|Bg|Body|Eye|Earring|Hair|Clothing|Mouth
2895|GoblinTownHero #2467|87.69104837370934|https://quixotic.io/asset/0x0f027dD51D793b91e630AdFb268a61A54fe1c7Bc/2467|Starry Arctic|Moss|Neutral|Gold Ether|Peach Fringe|Stars|Neutral Smile
2896|GoblinTownHero #2161|87.67454240381863|https://quixotic.io/asset/0x0f027dD51D793b91e630AdFb268a61A54fe1c7Bc/2161|Olive|Moss|Round White|None|Peach Bun|Melting|Cheeky Smile
2897|GoblinTownHero #2661|87.65980561370097|https://quixotic.io/asset/0x0f027dD51D793b91e630AdFb268a61A54fe1c7Bc/2661|Starry Orange|Sky|Ghost|None|Blue Braids|Stars|Smirk
2898|GoblinTownHero #1938|87.59063355903717|https://quixotic.io/asset/0x0f027dD51D793b91e630AdFb268a61A54fe1c7Bc/1938|Salmon|Pickle|Cry|Gold Ether|White Wavy|Melting|Neutral Smile
2899|GoblinTownHero #1336|87.54274251471506|https://quixotic.io/asset/0x0f027dD51D793b91e630AdFb268a61A54fe1c7Bc/1336|Salmon|Sky|Neutral|None|Leaf|Yellow Dark|Gasp
2900|GoblinTownHero #1561|87.54188376074562|https://quixotic.io/asset/0x0f027dD51D793b91e630AdFb268a61A54fe1c7Bc/1561|Mint|Fern|Cry|Shield|White Wavy|Carrot|Grumpy
2901|GoblinTownHero #469|87.54155683285578|https://quixotic.io/asset/0x0f027dD51D793b91e630AdFb268a61A54fe1c7Bc/469|Butter|Pickle|Snake|Big|Peach Bun|Ether|Cheeky Smile
2902|GoblinTownHero #3183|87.53789755220652|https://quixotic.io/asset/0x0f027dD51D793b91e630AdFb268a61A54fe1c7Bc/3183|Butter|Fern|Neutral|None|Crown|Punch|Tongue Out
2903|GoblinTownHero #1470|87.4886302615914|https://quixotic.io/asset/0x0f027dD51D793b91e630AdFb268a61A54fe1c7Bc/1470|Olive|Sky|Snake|None|Pink Bear|Cerulean|Cheeky Smile
2904|GoblinTownHero #347|87.4767056925779|https://quixotic.io/asset/0x0f027dD51D793b91e630AdFb268a61A54fe1c7Bc/347|Mint|Pickle|X|None|Peach Fringe|Adventure|Neutral Smile
2905|GoblinTownHero #2597|87.47133317182744|https://quixotic.io/asset/0x0f027dD51D793b91e630AdFb268a61A54fe1c7Bc/2597|Spiky|Fern|Sad|None|Mint Slicked|Hero Cape|Cheeky Smile
2906|GoblinTownHero #3108|87.44829208797333|https://quixotic.io/asset/0x0f027dD51D793b91e630AdFb268a61A54fe1c7Bc/3108|Coconut|Pickle|Ghost|Double|White Wavy|Fern|Grumpy
2907|GoblinTownHero #1887|87.41572060196918|https://quixotic.io/asset/0x0f027dD51D793b91e630AdFb268a61A54fe1c7Bc/1887|Pink|Fern|Ghost|Gold Ether|Leaf|Ether|Cheeky Smile
2908|GoblinTownHero #139|87.40201763274806|https://quixotic.io/asset/0x0f027dD51D793b91e630AdFb268a61A54fe1c7Bc/139|Mint|Sky|Gazed|None|Lemon Trapperer|Punch|Happy
2909|GoblinTownHero #1635|87.36730777246854|https://quixotic.io/asset/0x0f027dD51D793b91e630AdFb268a61A54fe1c7Bc/1635|Butter|Fern|Sad|None|Peach Bun|Rock|Tongue Out
2910|GoblinTownHero #1860|87.3487088637005|https://quixotic.io/asset/0x0f027dD51D793b91e630AdFb268a61A54fe1c7Bc/1860|Butter|Pickle|8BIT|None|Leaf|Ether|Smirk
2911|GoblinTownHero #2947|87.33094967351906|https://quixotic.io/asset/0x0f027dD51D793b91e630AdFb268a61A54fe1c7Bc/2947|Olive|Fern|Gazed|None|Leaf|Lilly|Tongue Out
2912|GoblinTownHero #2763|87.31214864954025|https://quixotic.io/asset/0x0f027dD51D793b91e630AdFb268a61A54fe1c7Bc/2763|Pink|Pickle|Sad|None|Salmon Short|Honey Cape|Happy
2913|GoblinTownHero #3282|87.30275240339279|https://quixotic.io/asset/0x0f027dD51D793b91e630AdFb268a61A54fe1c7Bc/3282|Mint|Sky|Snake|None|Salmon Short|Adventure|Neutral Smile
2914|GoblinTownHero #14|87.28054147760338|https://quixotic.io/asset/0x0f027dD51D793b91e630AdFb268a61A54fe1c7Bc/14|Butter|Sky|Angry|None|Lemon Trapperer|Fire|Gasp
2915|GoblinTownHero #2308|87.25632356453566|https://quixotic.io/asset/0x0f027dD51D793b91e630AdFb268a61A54fe1c7Bc/2308|Night|Pickle|Angry|None|Dark Bedhead|Overalls|Goblin
2916|GoblinTownHero #2362|87.2359859876903|https://quixotic.io/asset/0x0f027dD51D793b91e630AdFb268a61A54fe1c7Bc/2362|Pink|Pickle|Sad|Shield|Dark Bedhead|Overalls|Cheeky Smile
2917|GoblinTownHero #820|87.23448247899415|https://quixotic.io/asset/0x0f027dD51D793b91e630AdFb268a61A54fe1c7Bc/820|Flora|Pickle|Gazed|None|Dark Bedhead|Carrot|Smirk
2918|GoblinTownHero #1232|87.19104915281379|https://quixotic.io/asset/0x0f027dD51D793b91e630AdFb268a61A54fe1c7Bc/1232|Mint|Fern|Neutral|None|Peach Fringe|Melting|Drowsy
2919|GoblinTownHero #1774|87.1487409796948|https://quixotic.io/asset/0x0f027dD51D793b91e630AdFb268a61A54fe1c7Bc/1774|Starry Orange|Moss|Hungover|None|Peach Bun|Fire|Cheeky Smile
2920|GoblinTownHero #76|87.10928050002221|https://quixotic.io/asset/0x0f027dD51D793b91e630AdFb268a61A54fe1c7Bc/76|Vortex|Moss|Snake|None|Pink Bear|Overalls|Cheeky Smile
2921|GoblinTownHero #704|87.10559533645313|https://quixotic.io/asset/0x0f027dD51D793b91e630AdFb268a61A54fe1c7Bc/704|Spiky|Fern|Sad|None|Shroom|Lilly|Goblin
2922|GoblinTownHero #3249|87.06452639730631|https://quixotic.io/asset/0x0f027dD51D793b91e630AdFb268a61A54fe1c7Bc/3249|Mint|Pickle|Cry|None|Crown|Carrot|Cheeky Smile
2923|GoblinTownHero #1799|87.04507073615137|https://quixotic.io/asset/0x0f027dD51D793b91e630AdFb268a61A54fe1c7Bc/1799|Spiky|Moss|Snake|Shield|Peach Fringe|Stars|Smirk
2924|GoblinTownHero #2140|87.0429712914085|https://quixotic.io/asset/0x0f027dD51D793b91e630AdFb268a61A54fe1c7Bc/2140|Vortex|Moss|Gazed|None|Shroom|Fern|Neutral Smile
2925|GoblinTownHero #117|87.02041542629213|https://quixotic.io/asset/0x0f027dD51D793b91e630AdFb268a61A54fe1c7Bc/117|Starry Orange|Pickle|Neutral|None|Star Bucket|Ether|Neutral Smile
2926|GoblinTownHero #2191|86.97430961234963|https://quixotic.io/asset/0x0f027dD51D793b91e630AdFb268a61A54fe1c7Bc/2191|Coconut|Fern|Snake|None|Blue Sideswept|Honey Cape|Neutral Smile
2927|GoblinTownHero #2940|86.96902988443408|https://quixotic.io/asset/0x0f027dD51D793b91e630AdFb268a61A54fe1c7Bc/2940|Coconut|Moss|Wayfarer|None|Pink Bear|Fern|Smirk
2928|GoblinTownHero #2232|86.9321388725749|https://quixotic.io/asset/0x0f027dD51D793b91e630AdFb268a61A54fe1c7Bc/2232|Orchid|Fern|Snake|Gold Ether|Mint Slicked|Fire|Neutral Smile
2929|GoblinTownHero #1207|86.92272576517726|https://quixotic.io/asset/0x0f027dD51D793b91e630AdFb268a61A54fe1c7Bc/1207|Starry Candy|Pickle|Hungover|None|Peach Bun|Carrot|Smirk
2930|GoblinTownHero #775|86.90416488175687|https://quixotic.io/asset/0x0f027dD51D793b91e630AdFb268a61A54fe1c7Bc/775|Spiky|Moss|Ghost|Edge|Salmon Short|Fern|Cheeky Smile
2931|GoblinTownHero #1322|86.89546799813773|https://quixotic.io/asset/0x0f027dD51D793b91e630AdFb268a61A54fe1c7Bc/1322|Vortex|Moss|Gazed|None|White Wavy|Rock|Neutral Smile
2932|GoblinTownHero #1341|86.88057465198185|https://quixotic.io/asset/0x0f027dD51D793b91e630AdFb268a61A54fe1c7Bc/1341|Mint|Sky|Snake|None|Pink Bear|Rock|Neutral Smile
2933|GoblinTownHero #1982|86.8284887063859|https://quixotic.io/asset/0x0f027dD51D793b91e630AdFb268a61A54fe1c7Bc/1982|Salmon|Moss|Neutral|None|Lemon Trapperer|Honey Cape|Cheeky Smile
2934|GoblinTownHero #2745|86.81716512818915|https://quixotic.io/asset/0x0f027dD51D793b91e630AdFb268a61A54fe1c7Bc/2745|Starry Orange|Moss|Ghost|None|Pink Bear|Lilly|Smirk
2935|GoblinTownHero #2189|86.75268342154361|https://quixotic.io/asset/0x0f027dD51D793b91e630AdFb268a61A54fe1c7Bc/2189|Coconut|Moss|Gazed|None|Pink Bear|Ribbon|Neutral Smile
2936|GoblinTownHero #1394|86.74126477142046|https://quixotic.io/asset/0x0f027dD51D793b91e630AdFb268a61A54fe1c7Bc/1394|Starry Orange|Sky|Hungover|None|Peach Fringe|Melting|Neutral Smile
2937|GoblinTownHero #250|86.67675416861368|https://quixotic.io/asset/0x0f027dD51D793b91e630AdFb268a61A54fe1c7Bc/250|Orchid|Sky|Angry|Gold Ether|Peach Bun|Punch|Neutral Smile
2938|GoblinTownHero #2731|86.6765371239055|https://quixotic.io/asset/0x0f027dD51D793b91e630AdFb268a61A54fe1c7Bc/2731|Pink|Pickle|Angry|Gold Ether|Dark Bedhead|Punch|Smirk
2939|GoblinTownHero #3179|86.67107748385548|https://quixotic.io/asset/0x0f027dD51D793b91e630AdFb268a61A54fe1c7Bc/3179|Salmon|Pickle|Snake|None|Afro|Overalls|Neutral Smile
2940|GoblinTownHero #1204|86.6217680245788|https://quixotic.io/asset/0x0f027dD51D793b91e630AdFb268a61A54fe1c7Bc/1204|Starry Orange|Pickle|Ghost|None|Mint Slicked|Punch|Smirk
