rank|name|score|link|Background|Body|Headgear|Mouse|Glasses
1|CattoPunk #2500|149.6519399999068|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/2500|Pink|Violet|Rainbow Cap|Blue|Sunglass
2|CattoPunk #1670|144.4890416053977|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/1670|Yellow|Violet|Mcap Black|Vape|3d
3|CattoPunk #3380|144.2775174365315|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/3380|Yellow|Violet|Green Hat|Cigarette|Vr-Blue
3|CattoPunk #8986|144.2775174365315|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/8986|Yellow|Violet|Green Hat|Cigarette|3d
5|CattoPunk #4787|143.27462000032577|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/4787|Green|BlackWhite|Green Hat|Blue|Orange Sunglass
6|CattoPunk #6275|142.14008066114437|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/6275|Orange|Zombile|Mcap Black|Blue|Blue Sunglass
7|CattoPunk #8983|138.6984638094306|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/8983|Pink|Violet|Rainbow Cap|Blue|None
8|CattoPunk #1712|138.6356215806472|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/1712|Green|Violet|Rainbow Cap|Pipe|Sunglass
8|CattoPunk #5869|138.6356215806472|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/5869|Blue|Violet|Mcap Black|Pipe|Vr
10|CattoPunk #545|138.63072059996102|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/545|Violet|Violet|Rainbow Cap|Spit|Blue Sunglass
10|CattoPunk #7454|138.63072059996102|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/7454|Green|Violet|Mcap Black|Spit|3d
12|CattoPunk #1038|138.1464811400471|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/1038|Pink|BlackWhite|Green Hat|Vape|Green Sunglass
12|CattoPunk #8536|138.1464811400471|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/8536|Blue|BlackWhite|Green Hat|Vape|Sunglass
14|CattoPunk #6186|138.12633597230473|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/6186|Orange|Tri colour|Green Hat|Blue|Green Sunglass
15|CattoPunk #8486|137.63872678669358|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/8486|Blue|Ape|Mcap Black|Blue|Vr-Blue
16|CattoPunk #4091|136.9951617931286|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/4091|Green|Zombile|Mcap Black|Vape|Vr-Blue
16|CattoPunk #4542|136.9951617931286|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/4542|Violet|Black lucky cat|Rainbow Cap|Vape|Vr
18|CattoPunk #4549|136.5339675756304|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/4549|Orange|Grey|Green Hat|Blue|Sunglass
19|CattoPunk #8429|135.3862493092161|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/8429|Green|Black lucky cat|Rainbow Cap|Red|Vr
19|CattoPunk #9860|135.3862493092161|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/9860|Green|Zombile|Rainbow Cap|Red|Yellow Sunglass
21|CattoPunk #8763|134.6354234833903|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/8763|Green|Blackbrown|Mcap Black|Blue|Yellow Sunglass
22|CattoPunk #4816|134.4928181205904|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/4816|Pink|Violet|Rainbow Cap|Black|Blue Sunglass
23|CattoPunk #296|134.45805858635995|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/296|Yellow|Violet|Mcap Black|Black|Orange Sunglass
24|CattoPunk #1197|132.98141710428897|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/1197|Green|Tri colour|Green Hat|Vape|Vr-Blue
24|CattoPunk #6288|132.98141710428897|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/6288|Violet|Tri colour|Green Hat|Vape|Violet Sunglass
26|CattoPunk #9685|132.73742323376712|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/9685|Yellow|Orange|Green Hat|Blue|Orange Sunglass
27|CattoPunk #3485|132.64083416420561|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/3485|Pink|Black lucky cat|Green Hat|Black|Vr-red
27|CattoPunk #4631|132.64083416420561|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/4631|Violet|Zombile|Green Hat|Black|Vr-Blue
27|CattoPunk #8808|132.64083416420561|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/8808|Green|Black lucky cat|Green Hat|Black|Vr-red
30|CattoPunk #9423|132.63723308370143|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/9423|Orange|Zombile|Green Hat|Black|Vr
31|CattoPunk #801|132.49020683817363|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/801|Violet|Ape|Rainbow Cap|Vape|Vr-Blue
31|CattoPunk #2755|132.49020683817363|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/2755|Blue|BlackWhite|Mcap Black|Vape|Vr
31|CattoPunk #4943|132.49020683817363|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/4943|Violet|BlackWhite|Rainbow Cap|Vape|Green Sunglass
34|CattoPunk #4134|132.27868266930744|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/4134|Pink|Ape|Green Hat|Pipe|Yellow Sunglass
34|CattoPunk #6901|132.27868266930744|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/6901|Green|BlackWhite|Green Hat|Cigarette|Vr-red
36|CattoPunk #1981|131.38544762711047|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/1981|Orange|Black|Green Hat|Vape|Yellow Sunglass
37|CattoPunk #2413|131.12736332238896|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/2413|Blue|Zombile|Rainbow Cap|Pipe|Green Sunglass
37|CattoPunk #8916|131.12736332238896|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/8916|Blue|Zombile|Mcap Black|Cigarette|Vr
37|CattoPunk #8964|131.12736332238896|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/8964|Violet|Black lucky cat|Mcap Black|Pipe|Sunglass
37|CattoPunk #9611|131.12736332238896|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/9611|Blue|Zombile|Mcap Black|Cigarette|Violet Sunglass
41|CattoPunk #7228|131.12376224188478|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/7228|Orange|Zombile|Rainbow Cap|Pipe|Vr
42|CattoPunk #2376|131.12246234170277|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/2376|Green|Zombile|Mcap Black|Spit|Vr-Blue
42|CattoPunk #4116|131.12246234170277|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/4116|Violet|Black lucky cat|Rainbow Cap|Spit|Sunglass
42|CattoPunk #5021|131.12246234170277|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/5021|Pink|Zombile|Mcap Black|Spit|Blue Sunglass
42|CattoPunk #6134|131.12246234170277|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/6134|Pink|Black lucky cat|Rainbow Cap|Spit|Vr-red
42|CattoPunk #8003|131.12246234170277|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/8003|Violet|Zombile|Mcap Black|Spit|Violet Sunglass
42|CattoPunk #8301|131.12246234170277|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/8301|Pink|Zombile|Mcap Black|Spit|Green Sunglass
48|CattoPunk #5800|131.11298487639976|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/5800|Yellow|Black lucky cat|Mcap Black|Cigarette|Yellow Sunglass
49|CattoPunk #300|131.10808389571358|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/300|Yellow|Zombile|Mcap Black|Spit|3d
49|CattoPunk #3874|131.10808389571358|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/3874|Yellow|Black lucky cat|Mcap Black|Spit|Violet Sunglass
51|CattoPunk #2930|130.88129435426114|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/2930|Blue|White Lucky Cat|Rainbow Cap|Blue|Vr-Blue
51|CattoPunk #4099|130.88129435426114|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/4099|Violet|Grey|Rainbow Cap|Blue|Vr-Blue
51|CattoPunk #7047|130.88129435426114|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/7047|Violet|White Lucky Cat|Mcap Black|Blue|Vr
54|CattoPunk #1382|130.87769327375696|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/1382|Orange|White Lucky Cat|Mcap Black|Blue|3d
54|CattoPunk #1504|130.87769327375696|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/1504|Orange|BlackWhite|Rainbow Cap|Red|3d
56|CattoPunk #6763|129.92196004696575|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/6763|Blue|Alien|Green Hat|Vape|3d
57|CattoPunk #8971|129.89797787822027|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/8971|Orange|Alien|Green Hat|Vape|Orange Sunglass
58|CattoPunk #3897|129.86781029528927|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/3897|Green|Violet|Green Beret|Vape|Yellow Sunglass
58|CattoPunk #5693|129.86781029528927|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/5693|Green|Violet|Green Beret|Vape|Sunglass
60|CattoPunk #7903|129.48690353487035|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/7903|Pink|Blackbrown|Rainbow Cap|Vape|Yellow Sunglass
60|CattoPunk #8145|129.48690353487035|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/8145|Blue|Blackbrown|Mcap Black|Vape|Violet Sunglass
62|CattoPunk #3899|129.27537936600416|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/3899|Pink|Blackbrown|Green Hat|Pipe|Yellow Sunglass
62|CattoPunk #7239|129.27537936600416|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/7239|Violet|Blackbrown|Green Hat|Pipe|Vr
64|CattoPunk #7035|129.25609993932878|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/7035|Yellow|Blackbrown|Green Hat|Spit|Vr-red
65|CattoPunk #517|129.19201515148347|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/517|Orange|Violet|Green Hat|Black|None
66|CattoPunk #7531|128.2588978113768|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/7531|Violet|Violet|Soldier|Red|3d
66|CattoPunk #7799|128.2588978113768|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/7799|Green|Violet|Green Beret|Red|Green Sunglass
68|CattoPunk #9105|128.25529673087263|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/9105|Orange|Violet|Green Beret|Red|3d
69|CattoPunk #9061|128.13227812874646|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/9061|Orange|BlackWhite|Green Hat|Black|3d
70|CattoPunk #3355|127.87799105095786|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/3355|Green|Blackbrown|Mcap Black|Red|Yellow Sunglass
71|CattoPunk #3050|127.68214539017102|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/3050|Green|Violet|Mcap Black|Cigarette|None
72|CattoPunk #8781|127.59968065073217|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/8781|Orange|Orange|Green Hat|Vape|Orange Sunglass
73|CattoPunk #8430|127.50807198555097|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/8430|Blue|Zombile|Green Beret|Blue|Vr-red
74|CattoPunk #7367|127.49369353956179|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/7367|Yellow|Black lucky cat|Soldier|Blue|Sunglass
75|CattoPunk #3673|127.1930049495709|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/3673|Pink|BlackWhite|Green Hat|Vape|None
76|CattoPunk #2330|127.11361863354931|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/2330|Green|Tri colour|Green Hat|Pipe|Sunglass
76|CattoPunk #6664|127.11361863354931|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/6664|Violet|Tri colour|Green Hat|Cigarette|Vr-red
78|CattoPunk #8394|127.10871765286312|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/8394|Pink|Tri colour|Green Hat|Spit|Vr-Blue
79|CattoPunk #9948|127.10153002013496|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/9948|Yellow|Orange|Rainbow Cap|Blue|Vr
80|CattoPunk #1918|126.98455986233215|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/1918|Violet|Black lucky cat|Rainbow Cap|Black|3d
80|CattoPunk #7119|126.98455986233215|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/7119|Blue|Zombile|Rainbow Cap|Black|Sunglass
82|CattoPunk #9432|126.97018141634297|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/9432|Yellow|Zombile|Mcap Black|Black|3d
83|CattoPunk #1266|126.96417877409087|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/1266|Pink|Zombile|Rainbow Cap|Black|Orange Sunglass
83|CattoPunk #3460|126.96417877409087|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/3460|Blue|Black lucky cat|Rainbow Cap|Black|Orange Sunglass
85|CattoPunk #7299|126.62240836743399|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/7299|Blue|BlackWhite|Mcap Black|Cigarette|Vr
85|CattoPunk #7901|126.62240836743399|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/7901|Pink|BlackWhite|Rainbow Cap|Cigarette|Sunglass
87|CattoPunk #9972|126.6188072869298|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/9972|Orange|BlackWhite|Rainbow Cap|Cigarette|Violet Sunglass
88|CattoPunk #3965|126.6175073867478|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/3965|Green|BlackWhite|Rainbow Cap|Spit|Violet Sunglass
88|CattoPunk #5992|126.6175073867478|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/5992|Pink|Ape|Rainbow Cap|Spit|Yellow Sunglass
90|CattoPunk #8917|126.60312894075862|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/8917|Yellow|Ape|Rainbow Cap|Spit|Yellow Sunglass
91|CattoPunk #1488|126.04168560265241|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/1488|Pink|Black lucky cat|Mcap Black|Vape|None
92|CattoPunk #95|126.03808452214822|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/95|Orange|Zombile|Mcap Black|Vape|None
93|CattoPunk #1445|126.01475033556517|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/1445|Violet|Orange|Green Hat|Red|Vr
94|CattoPunk #4949|125.81578298779704|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/4949|Yellow|Zombile|Green Hat|Cigarette|None
95|CattoPunk #913|125.7327744057412|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/913|Blue|White Lucky Cat|Rainbow Cap|Vape|Green Sunglass
95|CattoPunk #1375|125.7327744057412|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/1375|Blue|Black|Rainbow Cap|Vape|Vr
95|CattoPunk #2852|125.7327744057412|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/2852|Violet|White Lucky Cat|Rainbow Cap|Vape|Vr-Blue
95|CattoPunk #3119|125.7327744057412|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/3119|Violet|Grey|Mcap Black|Vape|Vr-red
95|CattoPunk #4479|125.7327744057412|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/4479|Blue|Grey|Mcap Black|Vape|Vr
95|CattoPunk #9596|125.7327744057412|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/9596|Pink|Grey|Mcap Black|Vape|Yellow Sunglass
101|CattoPunk #6063|125.71623031850302|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/6063|Pink|Tri colour|Rainbow Cap|Red|Yellow Sunglass
102|CattoPunk #1843|125.521250236875|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/1843|Pink|White Lucky Cat|Green Hat|Cigarette|Sunglass
102|CattoPunk #2011|125.521250236875|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/2011|Pink|White Lucky Cat|Green Hat|Pipe|3d
102|CattoPunk #2427|125.521250236875|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/2427|Pink|White Lucky Cat|Green Hat|Cigarette|Green Sunglass
102|CattoPunk #2523|125.521250236875|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/2523|Violet|Grey|Green Hat|Pipe|Vr
106|CattoPunk #9070|125.51764915637082|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/9070|Orange|Grey|Green Hat|Pipe|Violet Sunglass
106|CattoPunk #9195|125.51764915637082|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/9195|Orange|White Lucky Cat|Green Hat|Cigarette|Green Sunglass
108|CattoPunk #6113|125.51634925618882|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/6113|Pink|White Lucky Cat|Green Hat|Spit|Blue Sunglass
108|CattoPunk #9363|125.51634925618882|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/9363|Blue|Black|Green Hat|Spit|Vr-red
110|CattoPunk #2643|125.51274817568464|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/2643|Orange|Grey|Green Hat|Spit|3d
111|CattoPunk #5370|125.50086914863373|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/5370|Violet|White Lucky Cat|Green Hat|Pipe|Orange Sunglass
112|CattoPunk #9090|125.13257590594735|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/9090|Blue|Blackbrown|Green Hat|Black|Sunglass
113|CattoPunk #1044|125.11219481770607|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/1044|Blue|Blackbrown|Green Hat|Black|Orange Sunglass
114|CattoPunk #1617|124.12386192182872|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/1617|Green|White Lucky Cat|Rainbow Cap|Red|Yellow Sunglass
114|CattoPunk #1676|124.12386192182872|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/1676|Blue|Grey|Mcap Black|Red|Green Sunglass
114|CattoPunk #2252|124.12386192182872|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/2252|Pink|Black|Rainbow Cap|Red|Vr-red
117|CattoPunk #3815|124.05416157622611|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/3815|Pink|Alien|Green Hat|Pipe|Vr-Blue
118|CattoPunk #1186|124.04926059553992|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/1186|Violet|Alien|Green Hat|Spit|Vr
119|CattoPunk #929|124.03978313023694|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/929|Yellow|Alien|Green Hat|Pipe|Blue Sunglass
120|CattoPunk #1779|124.00001182454963|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/1779|Pink|Violet|Soldier|Cigarette|Green Sunglass
121|CattoPunk #7206|123.99150976335926|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/7206|Orange|Violet|Soldier|Spit|Vr-red
122|CattoPunk #7994|123.98563337856045|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/7994|Yellow|Violet|Green Beret|Cigarette|Blue Sunglass
123|CattoPunk #2792|123.6191050641307|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/2792|Pink|Blackbrown|Mcap Black|Pipe|Blue Sunglass
123|CattoPunk #7155|123.6191050641307|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/7155|Violet|Blackbrown|Mcap Black|Pipe|Violet Sunglass
125|CattoPunk #676|123.6155039836265|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/676|Orange|Blackbrown|Rainbow Cap|Pipe|Vr-red
126|CattoPunk #5627|123.6142040834445|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/5627|Pink|Blackbrown|Rainbow Cap|Spit|Vr-Blue
127|CattoPunk #4428|123.53934193011422|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/4428|Pink|Violet|Rainbow Cap|Black|None
127|CattoPunk #7296|123.53934193011422|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/7296|Blue|Violet|Mcap Black|Black|None
127|CattoPunk #8831|123.53934193011422|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/8831|Blue|Violet|Mcap Black|Black|None
130|CattoPunk #2085|122.98873858460684|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/2085|Yellow|BlackWhite|Green Beret|Blue|3d
131|CattoPunk #1721|122.96721409298833|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/1721|Orange|Tri colour|Green Hat|Black|Vr
132|CattoPunk #3715|122.95643672750334|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/3715|Yellow|Tri colour|Green Hat|Black|Yellow Sunglass
133|CattoPunk #5932|122.95043408525123|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/5932|Pink|Tri colour|Green Hat|Black|Orange Sunglass
134|CattoPunk #3882|122.75621966127014|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/3882|Pink|White|Rainbow Cap|Vape|Violet Sunglass
134|CattoPunk #9731|122.75621966127014|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/9731|Green|White|Mcap Black|Vape|Vr-red
136|CattoPunk #9115|122.74184121528096|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/9115|Yellow|White|Mcap Black|Vape|Vr
137|CattoPunk #9861|122.60753772118736|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/9861|Violet|White|Green Hat|Blue|None
138|CattoPunk #7345|122.54469549240395|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/7345|Blue|White|Green Hat|Pipe|Green Sunglass
139|CattoPunk #2983|122.54109441189975|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/2983|Orange|White|Green Hat|Pipe|Green Sunglass
139|CattoPunk #9755|122.54109441189975|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/9755|Orange|White|Green Hat|Pipe|Sunglass
141|CattoPunk #6143|122.53979451171776|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/6143|Blue|White|Green Hat|Spit|Yellow Sunglass
141|CattoPunk #7499|122.53979451171776|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/7499|Violet|White|Green Hat|Spit|Blue Sunglass
143|CattoPunk #2683|122.53031704641477|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/2683|Yellow|White|Green Hat|Cigarette|Sunglass
143|CattoPunk #8666|122.53031704641477|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/8666|Yellow|White|Green Hat|Pipe|Violet Sunglass
145|CattoPunk #1614|122.4796049073772|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/1614|Blue|BlackWhite|Rainbow Cap|Black|Violet Sunglass
145|CattoPunk #4359|122.4796049073772|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/4359|Pink|Ape|Rainbow Cap|Black|Yellow Sunglass
