_rank|_name|_score|_link|Background|Type
1|Hyper Ghost #2402|31.507282856759296|https://ipfs.io/ipfs/QmX1SBUGgvGyAtgeThWu5KMvMi2vVWSe4xUdUDGekvXWqF/2402.png|Lightslategray|Mor Phi Ghost
1|Hyper Ghost #2500|31.507282856759296|https://ipfs.io/ipfs/QmX1SBUGgvGyAtgeThWu5KMvMi2vVWSe4xUdUDGekvXWqF/2500.png|Lightslategray|Mor Phi Ghost
1|Hyper Ghost #2536|31.507282856759296|https://ipfs.io/ipfs/QmX1SBUGgvGyAtgeThWu5KMvMi2vVWSe4xUdUDGekvXWqF/2536.png|Lightslategray|Mor Phi Ghost
1|Hyper Ghost #2560|31.507282856759296|https://ipfs.io/ipfs/QmX1SBUGgvGyAtgeThWu5KMvMi2vVWSe4xUdUDGekvXWqF/2560.png|Yellow|Mor Phi Ghost
1|Hyper Ghost #2639|31.507282856759296|https://ipfs.io/ipfs/QmX1SBUGgvGyAtgeThWu5KMvMi2vVWSe4xUdUDGekvXWqF/2639.png|Yellow|Mor Phi Ghost
1|Hyper Ghost #2778|31.507282856759296|https://ipfs.io/ipfs/QmX1SBUGgvGyAtgeThWu5KMvMi2vVWSe4xUdUDGekvXWqF/2778.png|Lightslategray|Mor Phi Ghost
1|Hyper Ghost #2860|31.507282856759296|https://ipfs.io/ipfs/QmX1SBUGgvGyAtgeThWu5KMvMi2vVWSe4xUdUDGekvXWqF/2860.png|Yellow|Mor Phi Ghost
1|Hyper Ghost #2983|31.507282856759296|https://ipfs.io/ipfs/QmX1SBUGgvGyAtgeThWu5KMvMi2vVWSe4xUdUDGekvXWqF/2983.png|Lightslategray|Mor Phi Ghost
1|Hyper Ghost #3013|31.507282856759296|https://ipfs.io/ipfs/QmX1SBUGgvGyAtgeThWu5KMvMi2vVWSe4xUdUDGekvXWqF/3013.png|Yellow|Mor Phi Ghost
1|Hyper Ghost #3105|31.507282856759296|https://ipfs.io/ipfs/QmX1SBUGgvGyAtgeThWu5KMvMi2vVWSe4xUdUDGekvXWqF/3105.png|Lightslategray|Mor Phi Ghost
1|Hyper Ghost #3129|31.507282856759296|https://ipfs.io/ipfs/QmX1SBUGgvGyAtgeThWu5KMvMi2vVWSe4xUdUDGekvXWqF/3129.png|Lightslategray|Mor Phi Ghost
1|Hyper Ghost #3130|31.507282856759296|https://ipfs.io/ipfs/QmX1SBUGgvGyAtgeThWu5KMvMi2vVWSe4xUdUDGekvXWqF/3130.png|Lightslategray|Mor Phi Ghost
1|Hyper Ghost #3134|31.507282856759296|https://ipfs.io/ipfs/QmX1SBUGgvGyAtgeThWu5KMvMi2vVWSe4xUdUDGekvXWqF/3134.png|Yellow|Mor Phi Ghost
1|Hyper Ghost #3199|31.507282856759296|https://ipfs.io/ipfs/QmX1SBUGgvGyAtgeThWu5KMvMi2vVWSe4xUdUDGekvXWqF/3199.png|Yellow|Mor Phi Ghost
1|Hyper Ghost #3330|31.507282856759296|https://ipfs.io/ipfs/QmX1SBUGgvGyAtgeThWu5KMvMi2vVWSe4xUdUDGekvXWqF/3330.png|Yellow|Mor Phi Ghost
1|Hyper Ghost #3441|31.507282856759296|https://ipfs.io/ipfs/QmX1SBUGgvGyAtgeThWu5KMvMi2vVWSe4xUdUDGekvXWqF/3441.png|Yellow|Mor Phi Ghost
1|Hyper Ghost #3461|31.507282856759296|https://ipfs.io/ipfs/QmX1SBUGgvGyAtgeThWu5KMvMi2vVWSe4xUdUDGekvXWqF/3461.png|Lightslategray|Mor Phi Ghost
1|Hyper Ghost #3469|31.507282856759296|https://ipfs.io/ipfs/QmX1SBUGgvGyAtgeThWu5KMvMi2vVWSe4xUdUDGekvXWqF/3469.png|Yellow|Mor Phi Ghost
1|Hyper Ghost #3730|31.507282856759296|https://ipfs.io/ipfs/QmX1SBUGgvGyAtgeThWu5KMvMi2vVWSe4xUdUDGekvXWqF/3730.png|Yellow|Mor Phi Ghost
1|Hyper Ghost #3758|31.507282856759296|https://ipfs.io/ipfs/QmX1SBUGgvGyAtgeThWu5KMvMi2vVWSe4xUdUDGekvXWqF/3758.png|Yellow|Mor Phi Ghost
1|Hyper Ghost #3840|31.507282856759296|https://ipfs.io/ipfs/QmX1SBUGgvGyAtgeThWu5KMvMi2vVWSe4xUdUDGekvXWqF/3840.png|Lightslategray|Mor Phi Ghost
1|Hyper Ghost #3883|31.507282856759296|https://ipfs.io/ipfs/QmX1SBUGgvGyAtgeThWu5KMvMi2vVWSe4xUdUDGekvXWqF/3883.png|Yellow|Mor Phi Ghost
1|Hyper Ghost #3966|31.507282856759296|https://ipfs.io/ipfs/QmX1SBUGgvGyAtgeThWu5KMvMi2vVWSe4xUdUDGekvXWqF/3966.png|Lightslategray|Mor Phi Ghost
1|Hyper Ghost #3974|31.507282856759296|https://ipfs.io/ipfs/QmX1SBUGgvGyAtgeThWu5KMvMi2vVWSe4xUdUDGekvXWqF/3974.png|Yellow|Mor Phi Ghost
1|Hyper Ghost #4035|31.507282856759296|https://ipfs.io/ipfs/QmX1SBUGgvGyAtgeThWu5KMvMi2vVWSe4xUdUDGekvXWqF/4035.png|Lightslategray|Mor Phi Ghost
1|Hyper Ghost #4073|31.507282856759296|https://ipfs.io/ipfs/QmX1SBUGgvGyAtgeThWu5KMvMi2vVWSe4xUdUDGekvXWqF/4073.png|Yellow|Mor Phi Ghost
1|Hyper Ghost #4081|31.507282856759296|https://ipfs.io/ipfs/QmX1SBUGgvGyAtgeThWu5KMvMi2vVWSe4xUdUDGekvXWqF/4081.png|Yellow|Mor Phi Ghost
1|Hyper Ghost #4141|31.507282856759296|https://ipfs.io/ipfs/QmX1SBUGgvGyAtgeThWu5KMvMi2vVWSe4xUdUDGekvXWqF/4141.png|Lightslategray|Mor Phi Ghost
1|Hyper Ghost #4390|31.507282856759296|https://ipfs.io/ipfs/QmX1SBUGgvGyAtgeThWu5KMvMi2vVWSe4xUdUDGekvXWqF/4390.png|Yellow|Mor Phi Ghost
1|Hyper Ghost #4497|31.507282856759296|https://ipfs.io/ipfs/QmX1SBUGgvGyAtgeThWu5KMvMi2vVWSe4xUdUDGekvXWqF/4497.png|Yellow|Mor Phi Ghost
1|Hyper Ghost #4518|31.507282856759296|https://ipfs.io/ipfs/QmX1SBUGgvGyAtgeThWu5KMvMi2vVWSe4xUdUDGekvXWqF/4518.png|Lightslategray|Mor Phi Ghost
1|Hyper Ghost #4657|31.507282856759296|https://ipfs.io/ipfs/QmX1SBUGgvGyAtgeThWu5KMvMi2vVWSe4xUdUDGekvXWqF/4657.png|Lightslategray|Mor Phi Ghost
1|Hyper Ghost #4704|31.507282856759296|https://ipfs.io/ipfs/QmX1SBUGgvGyAtgeThWu5KMvMi2vVWSe4xUdUDGekvXWqF/4704.png|Yellow|Mor Phi Ghost
1|Hyper Ghost #4742|31.507282856759296|https://ipfs.io/ipfs/QmX1SBUGgvGyAtgeThWu5KMvMi2vVWSe4xUdUDGekvXWqF/4742.png|Lightslategray|Mor Phi Ghost
1|Hyper Ghost #4745|31.507282856759296|https://ipfs.io/ipfs/QmX1SBUGgvGyAtgeThWu5KMvMi2vVWSe4xUdUDGekvXWqF/4745.png|Yellow|Mor Phi Ghost
1|Hyper Ghost #4816|31.507282856759296|https://ipfs.io/ipfs/QmX1SBUGgvGyAtgeThWu5KMvMi2vVWSe4xUdUDGekvXWqF/4816.png|Yellow|Mor Phi Ghost
1|Hyper Ghost #4835|31.507282856759296|https://ipfs.io/ipfs/QmX1SBUGgvGyAtgeThWu5KMvMi2vVWSe4xUdUDGekvXWqF/4835.png|Lightslategray|Mor Phi Ghost
1|Hyper Ghost #4836|31.507282856759296|https://ipfs.io/ipfs/QmX1SBUGgvGyAtgeThWu5KMvMi2vVWSe4xUdUDGekvXWqF/4836.png|Lightslategray|Mor Phi Ghost
1|Hyper Ghost #4875|31.507282856759296|https://ipfs.io/ipfs/QmX1SBUGgvGyAtgeThWu5KMvMi2vVWSe4xUdUDGekvXWqF/4875.png|Yellow|Mor Phi Ghost
1|Hyper Ghost #4908|31.507282856759296|https://ipfs.io/ipfs/QmX1SBUGgvGyAtgeThWu5KMvMi2vVWSe4xUdUDGekvXWqF/4908.png|Lightslategray|Mor Phi Ghost
1|Hyper Ghost #4948|31.507282856759296|https://ipfs.io/ipfs/QmX1SBUGgvGyAtgeThWu5KMvMi2vVWSe4xUdUDGekvXWqF/4948.png|Lightslategray|Mor Phi Ghost
73|Hyper Ghost #6|31.37099358974359|https://ipfs.io/ipfs/QmX1SBUGgvGyAtgeThWu5KMvMi2vVWSe4xUdUDGekvXWqF/6.png|Orange|Mor Phi Ghost
73|Hyper Ghost #9|31.37099358974359|https://ipfs.io/ipfs/QmX1SBUGgvGyAtgeThWu5KMvMi2vVWSe4xUdUDGekvXWqF/9.png|Orange Chocolate|Mor Phi Ghost
73|Hyper Ghost #12|31.37099358974359|https://ipfs.io/ipfs/QmX1SBUGgvGyAtgeThWu5KMvMi2vVWSe4xUdUDGekvXWqF/12.png|Orangered|Mor Phi Ghost
73|Hyper Ghost #19|31.37099358974359|https://ipfs.io/ipfs/QmX1SBUGgvGyAtgeThWu5KMvMi2vVWSe4xUdUDGekvXWqF/19.png|Lemon|Mor Phi Ghost
73|Hyper Ghost #21|31.37099358974359|https://ipfs.io/ipfs/QmX1SBUGgvGyAtgeThWu5KMvMi2vVWSe4xUdUDGekvXWqF/21.png|Green|Mor Phi Ghost
73|Hyper Ghost #29|31.37099358974359|https://ipfs.io/ipfs/QmX1SBUGgvGyAtgeThWu5KMvMi2vVWSe4xUdUDGekvXWqF/29.png|Green|Mor Phi Ghost
73|Hyper Ghost #34|31.37099358974359|https://ipfs.io/ipfs/QmX1SBUGgvGyAtgeThWu5KMvMi2vVWSe4xUdUDGekvXWqF/34.png|Orange Chocolate|Mor Phi Ghost
73|Hyper Ghost #38|31.37099358974359|https://ipfs.io/ipfs/QmX1SBUGgvGyAtgeThWu5KMvMi2vVWSe4xUdUDGekvXWqF/38.png|Tomato|Mor Phi Ghost
73|Hyper Ghost #48|31.37099358974359|https://ipfs.io/ipfs/QmX1SBUGgvGyAtgeThWu5KMvMi2vVWSe4xUdUDGekvXWqF/48.png|Skyblue|Mor Phi Ghost
73|Hyper Ghost #49|31.37099358974359|https://ipfs.io/ipfs/QmX1SBUGgvGyAtgeThWu5KMvMi2vVWSe4xUdUDGekvXWqF/49.png|Skyblue|Mor Phi Ghost
73|Hyper Ghost #53|31.37099358974359|https://ipfs.io/ipfs/QmX1SBUGgvGyAtgeThWu5KMvMi2vVWSe4xUdUDGekvXWqF/53.png|Orange|Mor Phi Ghost
73|Hyper Ghost #58|31.37099358974359|https://ipfs.io/ipfs/QmX1SBUGgvGyAtgeThWu5KMvMi2vVWSe4xUdUDGekvXWqF/58.png|Lightskyblue|Mor Phi Ghost
73|Hyper Ghost #71|31.37099358974359|https://ipfs.io/ipfs/QmX1SBUGgvGyAtgeThWu5KMvMi2vVWSe4xUdUDGekvXWqF/71.png|Lightseagreen|Mor Phi Ghost
73|Hyper Ghost #76|31.37099358974359|https://ipfs.io/ipfs/QmX1SBUGgvGyAtgeThWu5KMvMi2vVWSe4xUdUDGekvXWqF/76.png|Green|Mor Phi Ghost
73|Hyper Ghost #92|31.37099358974359|https://ipfs.io/ipfs/QmX1SBUGgvGyAtgeThWu5KMvMi2vVWSe4xUdUDGekvXWqF/92.png|Red|Mor Phi Ghost
73|Hyper Ghost #98|31.37099358974359|https://ipfs.io/ipfs/QmX1SBUGgvGyAtgeThWu5KMvMi2vVWSe4xUdUDGekvXWqF/98.png|Lemon|Mor Phi Ghost
73|Hyper Ghost #104|31.37099358974359|https://ipfs.io/ipfs/QmX1SBUGgvGyAtgeThWu5KMvMi2vVWSe4xUdUDGekvXWqF/104.png|Mediumslateblue|Mor Phi Ghost
73|Hyper Ghost #108|31.37099358974359|https://ipfs.io/ipfs/QmX1SBUGgvGyAtgeThWu5KMvMi2vVWSe4xUdUDGekvXWqF/108.png|Orange|Mor Phi Ghost
73|Hyper Ghost #112|31.37099358974359|https://ipfs.io/ipfs/QmX1SBUGgvGyAtgeThWu5KMvMi2vVWSe4xUdUDGekvXWqF/112.png|Lightpink|Mor Phi Ghost
73|Hyper Ghost #121|31.37099358974359|https://ipfs.io/ipfs/QmX1SBUGgvGyAtgeThWu5KMvMi2vVWSe4xUdUDGekvXWqF/121.png|Orangered|Mor Phi Ghost
73|Hyper Ghost #138|31.37099358974359|https://ipfs.io/ipfs/QmX1SBUGgvGyAtgeThWu5KMvMi2vVWSe4xUdUDGekvXWqF/138.png|Lightpink|Mor Phi Ghost
73|Hyper Ghost #139|31.37099358974359|https://ipfs.io/ipfs/QmX1SBUGgvGyAtgeThWu5KMvMi2vVWSe4xUdUDGekvXWqF/139.png|Yelllow|Mor Phi Ghost
73|Hyper Ghost #141|31.37099358974359|https://ipfs.io/ipfs/QmX1SBUGgvGyAtgeThWu5KMvMi2vVWSe4xUdUDGekvXWqF/141.png|Green|Mor Phi Ghost
73|Hyper Ghost #151|31.37099358974359|https://ipfs.io/ipfs/QmX1SBUGgvGyAtgeThWu5KMvMi2vVWSe4xUdUDGekvXWqF/151.png|Lightseagreen|Mor Phi Ghost
73|Hyper Ghost #166|31.37099358974359|https://ipfs.io/ipfs/QmX1SBUGgvGyAtgeThWu5KMvMi2vVWSe4xUdUDGekvXWqF/166.png|Orange Chocolate|Mor Phi Ghost
73|Hyper Ghost #174|31.37099358974359|https://ipfs.io/ipfs/QmX1SBUGgvGyAtgeThWu5KMvMi2vVWSe4xUdUDGekvXWqF/174.png|Orangered|Mor Phi Ghost
73|Hyper Ghost #184|31.37099358974359|https://ipfs.io/ipfs/QmX1SBUGgvGyAtgeThWu5KMvMi2vVWSe4xUdUDGekvXWqF/184.png|Yelllow|Mor Phi Ghost
73|Hyper Ghost #229|31.37099358974359|https://ipfs.io/ipfs/QmX1SBUGgvGyAtgeThWu5KMvMi2vVWSe4xUdUDGekvXWqF/229.png|Yellowgreen|Mor Phi Ghost
