rank|name|score|link|Background|Body|Tattoo|Nose|Mouth|Eyes|On eyes|Clothes|Accessorie|Head|Smokes
30|Oliens #1308|432.41801040282536|https://quixotic.io/asset/0x69a68eb548A37ee475D9f89646945588558796D1/1307|ice latte back |light skin ||funny nose |joker mouth|bruised eye ||black suit & red tie ||braid black|
31|Oliens #613|430.16419440280316|https://quixotic.io/asset/0x69a68eb548A37ee475D9f89646945588558796D1/612|haha |bunrt umber ||funny nose |closed mouth |bored eyes ||naked ||mohak|blunt 
32|Oliens #1134|426.2967592117554|https://quixotic.io/asset/0x69a68eb548A37ee475D9f89646945588558796D1/1133|shades of gray |baby blue ||wierd nose |wide mouth|punky eyes ||blue Tshirt ||rice hat |cigarette 
33|Oliens #49|422.20827119580605|https://quixotic.io/asset/0x69a68eb548A37ee475D9f89646945588558796D1/48|haha |gray bluish ||big fat nose |wide mouth|sus eyes||green vintage shirt ||short wavy hair |
34|Oliens #193|421.3831643000475|https://quixotic.io/asset/0x69a68eb548A37ee475D9f89646945588558796D1/192|haha |green ||bignose |wild mouth |tierd eyes sinning ||deep green vintage shirt ||short hair |cigarette 
35|Oliens #759|421.2158933224035|https://quixotic.io/asset/0x69a68eb548A37ee475D9f89646945588558796D1/758|orange to purple |light virdian |will i ever go home tattoo |nose2 |wondering mouth |tierd eyes ||purple vintage shirt |gold ring|egyptian|
36|Oliens #1821|420.3647142462456|https://quixotic.io/asset/0x69a68eb548A37ee475D9f89646945588558796D1/1820|glittery night sky |light skin ||bignose |small lips|cool eyes ||cowboy shirt vintage ||rice hat |
37|Oliens #1562|416.0609608238175|https://quixotic.io/asset/0x69a68eb548A37ee475D9f89646945588558796D1/1561|galaxy |light lime yellow ||big fat nose |wild mouth |Oeyes shiny ||decolte ||bald |
38|Oliens #2060|414.0971523313787|https://quixotic.io/asset/0x69a68eb548A37ee475D9f89646945588558796D1/2059|light blue |sky blue body ||wierd nose |wondering mouth |punky eyes ||under shirt ||rice hat |cigarette 
39|Oliens #667|402.78707385431824|https://quixotic.io/asset/0x69a68eb548A37ee475D9f89646945588558796D1/666|shades of gray |dark brown ||funny nose |open mouth |punky eyes |sun glasses |navy suit ||black robe and dark sing |
40|Oliens #1078|401.9180908705242|https://quixotic.io/asset/0x69a68eb548A37ee475D9f89646945588558796D1/1077|brown and blue |sun burn white skin ||Onose |open mouth |cool eyes |sun glasses |blue suit ||cap |
41|Oliens #715|400.1415409086455|https://quixotic.io/asset/0x69a68eb548A37ee475D9f89646945588558796D1/714|haha |baby blue ||big fat nose |wide mouth|tierd eyes ||pink shirt with a line ||bald |
42|Oliens #1718|396.2124537053239|https://quixotic.io/asset/0x69a68eb548A37ee475D9f89646945588558796D1/1717|blackhole |sky blue body ||Onose |wild mouth |punky eyes ||red Tshirt ||rice hat |
43|Oliens #1133|394.76971606184014|https://quixotic.io/asset/0x69a68eb548A37ee475D9f89646945588558796D1/1132|pink back |green ||wierd nose |closed mouth |sus eyes||pizza planet guy t shirt ||egyptian|
44|Oliens #1732|392.06920891613527|https://quixotic.io/asset/0x69a68eb548A37ee475D9f89646945588558796D1/1731|purple back |raw umber |tear tattoo |Onose |wondering mouth |joker eyes ||blue bathrobe ||white long hair |
45|Oliens #1461|391.79808012072345|https://quixotic.io/asset/0x69a68eb548A37ee475D9f89646945588558796D1/1460|galaxy |light skin ||Onose |wild mouth |cool eyes ||navy suit ||cap |blunt 
46|Oliens #1390|387.94744612118205|https://quixotic.io/asset/0x69a68eb548A37ee475D9f89646945588558796D1/1389|black and purple |dark brown |fuck off tattoo |funny nose |closed mouth |joker eyes |sun glasses |pizza planet guy t shirt ||black long hair |
47|Oliens #1928|385.21703583609667|https://quixotic.io/asset/0x69a68eb548A37ee475D9f89646945588558796D1/1927|orange |baby blue ||nose2 |wild mouth |tierd eyes sinning ||pink shirt with a line ||cap |cigarette 
48|Oliens #36|377.41234785463104|https://quixotic.io/asset/0x69a68eb548A37ee475D9f89646945588558796D1/35|orange to purple |bunrt umber |stiches |nose2 |wide mouth|punky eyes ||purple cowboy shirt |silver ring |head band |cigarette 
49|Oliens #1561|376.73642903911275|https://quixotic.io/asset/0x69a68eb548A37ee475D9f89646945588558796D1/1560|pizza planet |raw umber ||Onose |wondering mouth |cool eyes |sun glasses |jedi robe ||marron cowboy hat |
50|Oliens #1798|372.9741131381487|https://quixotic.io/asset/0x69a68eb548A37ee475D9f89646945588558796D1/1797|wormhole |light lime yellow ||Onose |wondering mouth |cool eyes ||green suit |gold ring|cap |
51|Oliens #180|369.5056755560023|https://quixotic.io/asset/0x69a68eb548A37ee475D9f89646945588558796D1/179|pink to blue |sun burn white skin ||funny nose |wondering mouth |punky eyes ||triditional robe ||head band |
52|Oliens #215|368.3652995679166|https://quixotic.io/asset/0x69a68eb548A37ee475D9f89646945588558796D1/214|glittery night sky |pale lime yellow ||Onose |wondering mouth |cool eyes ||decolte ||bald |
53|Oliens #1337|357.3504129077338|https://quixotic.io/asset/0x69a68eb548A37ee475D9f89646945588558796D1/1336|blackhole |dark brown ||Onose |wild mouth |tierd eyes ||simple gray vintage shirt |silver ring |egyptian|
54|Oliens #1751|355.3827678613953|https://quixotic.io/asset/0x69a68eb548A37ee475D9f89646945588558796D1/1750|black and purple |gray bluish ||wierd nose |wide mouth|sus eyes||vintage shirt with a line |silver ring |black robe and dark sing |
55|Oliens #806|354.89137657918565|https://quixotic.io/asset/0x69a68eb548A37ee475D9f89646945588558796D1/805|wine red |pickle green ||wierd nose |wondering mouth |cool eyes ||black suit ||cap |blunt 
56|Oliens #1271|351.3897077736795|https://quixotic.io/asset/0x69a68eb548A37ee475D9f89646945588558796D1/1270|sangria red |pale lime yellow ||Onose |wondering mouth |tierd eyes ||simple gray vintage shirt ||cap |
57|Oliens #143|350.8302395496235|https://quixotic.io/asset/0x69a68eb548A37ee475D9f89646945588558796D1/142|brown and blue |bunrt umber ||Onose |wondering mouth |punky eyes ||magenta shirt with a line ||black robe and dark sing |
58|Oliens #1049|348.3615095853554|https://quixotic.io/asset/0x69a68eb548A37ee475D9f89646945588558796D1/1048|gray |light skin ||wierd nose |closed mouth |Oeyes ||blue Tshirt ||black robe and dark sing |blunt 
59|Oliens #2125|346.33340116311314|https://quixotic.io/asset/0x69a68eb548A37ee475D9f89646945588558796D1/2124|wormhole |green ||Onose |small lips|sus eyes||blue suit ||egyptian|
