rank|name|score|link|aura|weapon|body|eye|clothes|accessory_ear|mouth|accessory_face|hair|headgear|style
1300|Genesis Kami #260|612.293338494225|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/260|Umber|Gray scythe|Cream|Red angry eyes|Blue hood|Gold ring 1|Angry|Houtai cheek & nose|Gray oppa|Rad devil horn|present
1301|Genesis Kami #4406|612.1928064882347|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/4406|Blizzard night|Gray scythe|Black|Green good boy|Red gangster suit|Silver spear|Gritted|Bandage cheek & nose|Brownish orange disheveled|Angry mask|present
1302|Genesis Kami #790|612.1402947054434|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/790|Porpoise earth fairy|Red wand|White|Purple determined|Purple tribal|Gold chain|Smirk|White demon mask|Purple madara|Black kitsune ears|fantasy
1303|Genesis Kami #4090|612.1195058253269|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/4090|Sandstone maple leaf|Silver buster sword|Cream|Green gentle|Blue cape|Gold double ring right 1|Smile|Black kamen|Gold oppa|White magic hat|present
1304|Genesis Kami #2217|612.0455797220847|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/2217|Porpoise earth fairy|Gold buster sword|White|Yellow good boy|Blue cape|None|Neutral|Bandage nose|Brown madara|Black cat ears|present
1305|Genesis Kami #2821|611.8313233023256|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/2821|Sky|Gold berserker|White|Sky blue angry eyes|Purple wizard|Silver skull|Gritted|Red cyberpunk glasses|Black madara|Anubis ears|fantasy
1306|Genesis Kami #2216|611.806605270639|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/2216|Mahogany|Spear|Brown|Sky blue satan|Black gold samurai|Gold dot|Smile with teeth|Black kamen|Brown ikemen|White baby cat|ancient
1307|Genesis Kami #2014|611.7734907386866|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/2014|Oat grass flower|Katana 2|Gray|Black good boy|Blue cape|Silver four ring right|Blue gum|None|White slick hair|None|present
1308|Genesis Kami #2681|611.7459886945597|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/2681|Porpoise forest fairy|None|Titanium|Red grievous|White father|Gold spear|Smile with teeth|Black mekakushi|White wuxia|White cat ears|present
1309|Genesis Kami #2039|611.5818628011697|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/2039|Blizzard|Red wand|Cream|Green strained|Red white clown|Gold feather|Rose|Red cyberpunk glasses|Mint ikemen|Gold satan horn|fantasy
1310|Genesis Kami #5323|611.5395166441098|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/5323|Wood|None|Titanium|Green aggressive|Blue gangster suit|Silver double long right|Green gum|Bandage nose|Mint under cut|White baby cat|present
1311|Genesis Kami #4607|611.5162390778465|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/4607|Silver|Berserker blade|White|White strained|Black red kimono|White feather|Cigar|Black mekakushi|Mint wuxia|Bamboohat|ancient
1312|Genesis Kami #3578|611.4617713687755|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/3578|Hazelnut|Red wand|White|Yellow gangsta|Black gangster suit|nail|Green gum|Bandage nose|Brown japan bangs|White cat ears|present
1313|Genesis Kami #3725|611.3164863414597|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/3725|Hickory|Spear|Cream|Green demon|Blue gangster suit|Silver spear|Rose|Red opera kamen|Black harajuku|Gold sky blue imperial crown s|present
1314|Genesis Kami #4503|611.3019295325352|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/4503|Coin black red thunder|Silver berserker|Cream|Pink determined|Purple lord|Silver skull|Blue rose|White kamen|Red disheveled|Gold red imperial crown|fantasy
1315|Genesis Kami #3251|611.2399920088518|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/3251|Blizzard night|Shikigami|White|Pink gangsta|Blue priest|None|Smile with teeth|Ninja mask|Gray harajuku|Gray tengu|ancient
1316|Genesis Kami #4916|611.1689376040042|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/4916|Sandstone|Gold buster sword|Cream|White grievous|White gakuran|Gold spear|Mild smile|None|Black wuxia|White kitsune ears|present
1317|Genesis Kami #3235|611.0824606376909|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/3235|Blush|None|Cream|Sky blue gentle|Purple turtle|Silver ring 1|Smile with teeth|Houtai cheek & nose|Gold wuxia|Gray baby cat|present
1318|Genesis Kami #1018|610.9106254485312|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/1018|Blizzard|Shikigami|Gray|Purple satan|White onmyoji|Yellow fan|Smile with teeth|Houtai nose|Red long hair|Black tengu|ancient
1319|Genesis Kami #3388|610.8688768815238|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/3388|Oat maple leaf|None|White|Green good boy|Black turtle|Sky blue feather|Gritted|None|Purple slick hair|White kitsune ears|present
1320|Genesis Kami #3670|610.5748966336544|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/3670|Flint|Red wand|Black|Black vampire|Red white clown|Silver double long right|Blue rose|Gold cyberpunk glasses|Gold kpop 1|Gold red imperial crown|fantasy
1321|Genesis Kami #1777|610.5489345003826|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/1777|Pewter|Red wand|Cream|Purple grievous|Black angel|Silver chain|Purple rose|Black kamen|Gold cornrow braids|Silver red imperial crown|fantasy
1322|Genesis Kami #1806|610.4574008519993|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/1806|Pewter|Katana 2|White|Purple angry eyes|Red black kimono|None|Smirk|Black pirate eyepatch|Gray kpop 1|Kitsune mask|ancient
1323|Genesis Kami #4471|610.4550286471438|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/4471|Immortal coin dark feather aura|Katana 1|Gray|Yellow angry eyes|Black shirt|Gold triple ring right|Smirk|Danzo mekakushi houtai|Gray disheveled|Black kitsune ears|present
1324|Genesis Kami #3874|610.2524528627358|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/3874|Blizzard night|None|Cream|White strained|Purple cyberpunk suit|Black spear|White rose|Bandage cheek & nose|Red under cut|Gold purple imperial crown|fantasy
1325|Genesis Kami #2079|610.2041049510075|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/2079|Hazel wood dry leaves|Katana 2|Black|Pink grievous|Yellow priest|Silver short long|Neutral|Mommy mask|Brownish orange slick hair|None|ancient
1326|Genesis Kami #322|610.1456903285768|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/322|Blizzard night|Silver berserker|Cream|Red strained|Red lord|Gold ring 1|White rose|Gold cyberpunk glasses|Brownish orange long hair|Gold minotaur horn|fantasy
1327|Genesis Kami #893|609.9578276167819|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/893|Shadow|None|Black|Sky blue satan|White gakuran|Silver triple ring right|Blue rose|Red mekakushi|Purple cornrow braids|White devil horn|present
1328|Genesis Kami #4933|609.8951210665006|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/4933|Umber|Katana 1|Gray|Purple cold|Jacket hood|nail|Smile with teeth|Black opera kamen|Brownish orange shonen|White baby cat|present
1329|Genesis Kami #4856|609.86526466394|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/4856|Flint|Katana 2|Cream|White aggressive|Purple onmyoji|Gold double ring right 1|Neutral|Mekakushi houtai|Mint cornrow braids|Brownish orange kitsune ears|ancient
1330|Genesis Kami #3253|609.7866193879466|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/3253|Cyberpunk system|Red wand|White|Black cold|Red cyberpunk suit|Gold double long right|Blue rose|Black danzo mekakushi|Brownish orange cornrow braids|None|fantasy
1331|Genesis Kami #5212|609.7865393653065|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/5212|Immortal coin dark feather aura|Red wand|White|Green demon|Gold lord|Gold chain|Haha|Black danzo mekakushi|Red disheveled|Black cat ears|fantasy
1332|Genesis Kami #3357|609.4747899679468|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/3357|Immortal black god feather aura|Berserker blade|Gray|Pink strained|Yellow priest|Silver triple ring right|Mild smile|Houtai all|Brownish orange disheveled|None|ancient
